Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Planktothrix	#6	#7	#8	#9	Turbidity	unbound Phycocyanin	Yellow substances	Total conc.	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	Planktothrix	#6	#7	#8	#9	Turbidity	unbound Phycocyanin	Yellow substances	Total cell count	LED 1 [700 nm] det. 1	LED 3 [525 nm] det. 1	LED 4 [570 nm] det. 1	LED 5 [610 nm] det. 1	LED 6 [370 nm] det. 1	LED 7 [590 nm] det. 1	LED 8 [470 nm] det. 1	LED 1 [700 nm] det. 2	LED 3 [525 nm] det. 2	LED 4 [570 nm] det. 2	LED 5 [610 nm] det. 2	LED 6 [370 nm] det. 2	LED 7 [590 nm] det. 2	LED 8 [470 nm] det. 2	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	FTU	µg/l	r.u.	µg/l	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	FTU	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
10/14/2022 7:44:49 AM	2.63	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	2.19	1.55	0.52	2.91	0.06	11.73	1394	0	124	0	0	0	0	0	0	0	0	0	1518	10.51	4.41	1.82	5.68	25.25	6.32	16.85	3.40	3.64	7.54	5.61	21.40	6.50	8.67	1.01	27.29	22.16
10/14/2022 7:44:52 AM	2.65	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	2.17	1.57	0.52	2.93	0.06	11.74	1403	0	129	0	0	0	0	0	0	0	0	0	1531	10.43	4.43	1.80	5.75	25.27	6.38	17.01	3.53	3.66	7.70	5.67	21.39	6.52	8.82	1.01	27.32	22.13
10/14/2022 7:44:54 AM	2.61	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	2.17	1.55	0.53	2.93	0.06	11.73	1382	0	145	0	0	0	0	0	0	0	0	0	1527	10.40	4.50	1.79	5.75	25.39	6.33	17.05	3.50	3.79	7.63	5.59	21.42	6.51	8.86	1.01	27.33	22.16
10/14/2022 7:44:57 AM	2.67	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	2.21	1.53	0.53	2.99	0.06	11.73	1413	0	146	0	0	0	0	0	0	0	0	0	1559	10.59	4.51	1.81	5.72	25.59	6.37	17.19	3.51	3.69	7.59	5.45	21.38	6.47	8.80	1.01	27.33	22.13
10/14/2022 7:45:00 AM	2.67	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	2.22	1.57	0.52	2.95	0.06	11.74	1413	0	129	0	0	0	0	0	0	0	0	0	1543	10.64	4.46	1.88	5.76	25.46	6.32	17.02	3.41	3.75	7.67	5.62	21.37	6.63	8.72	1.01	27.32	22.17
10/14/2022 7:45:03 AM	2.58	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	2.19	1.55	0.52	2.91	0.06	11.75	1368	0	146	0	0	0	0	0	0	0	0	0	1514	10.49	4.48	1.84	5.68	25.23	6.21	17.02	3.47	3.69	7.67	5.64	21.40	6.55	8.80	1.01	27.33	22.17
10/14/2022 7:45:06 AM	2.69	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	2.20	1.55	0.52	2.98	0.06	11.73	1427	0	129	0	0	0	0	0	0	0	0	0	1555	10.55	4.48	1.87	5.83	25.51	6.20	17.09	3.38	3.68	7.43	5.54	21.31	6.61	8.84	1.01	27.32	22.16
10/14/2022 7:45:08 AM	2.75	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	2.20	1.55	0.52	3.00	0.06	11.74	1458	0	113	0	0	0	0	0	0	0	0	0	1570	10.55	4.40	1.87	5.78	25.46	6.35	17.10	3.38	3.73	7.59	5.52	21.24	6.58	8.79	1.01	27.31	22.14
10/14/2022 7:45:11 AM	2.59	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	2.21	1.55	0.52	2.92	0.05	11.73	1375	0	145	0	0	0	0	0	0	0	0	0	1520	10.60	4.49	1.82	5.67	25.27	6.24	17.02	3.54	3.71	7.78	5.60	21.35	6.55	8.81	1.01	27.32	22.14
