Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/23/2022 10:08:10	7.91	0.00	24.32	0.00	0.00	0.00	0.00	0.67	32.22	73.03	-0.52	21.83	4191	0	10942	0	0	0	0	0	15133	425.65	38.61	7.74	16.20	60.67	21.34	79.49	0.95	24.81	27.91
8/23/2022 10:08:15	7.76	0.00	24.04	0.00	0.00	0.00	0.00	0.65	31.80	73.10	-0.51	21.85	4112	0	10818	0	0	0	0	0	14929	426.09	38.13	7.67	16.08	59.81	21.13	78.37	0.95	24.74	27.91
8/23/2022 10:08:18	7.41	0.00	23.73	0.00	0.00	0.00	0.00	0.64	31.14	73.09	-0.51	21.83	3927	0	10677	0	0	0	0	0	14604	426.03	37.56	7.65	16.01	58.68	20.71	76.83	0.95	24.98	27.93
8/23/2022 10:08:21	6.92	0.00	22.50	0.00	0.00	0.00	0.00	0.65	29.43	73.11	-0.52	21.87	3670	0	10126	0	0	0	0	0	13796	426.15	35.68	7.26	15.19	56.11	20.00	72.84	0.95	25.01	27.88
8/23/2022 10:08:24	6.89	0.00	21.09	0.00	0.00	0.00	0.00	0.60	27.97	73.26	-0.52	21.75	3650	0	9488	0	0	0	0	0	13139	426.99	33.60	7.02	14.53	53.14	18.91	68.99	0.95	25.11	27.98
8/23/2022 10:08:26	6.21	0.00	19.41	0.00	0.00	0.00	0.00	0.61	25.62	73.25	-0.53	21.78	3293	0	8734	0	0	0	0	0	12027	426.95	31.05	6.45	13.47	49.54	17.58	63.62	0.95	25.13	27.91
8/23/2022 10:08:29	6.14	0.00	18.40	0.00	0.00	0.00	0.00	0.58	24.54	73.39	-0.52	21.82	3254	0	8281	0	0	0	0	0	11535	427.75	29.54	6.33	13.07	47.45	17.01	60.70	0.95	25.09	27.88
8/23/2022 10:08:32	5.80	0.00	17.64	0.00	0.00	0.00	0.00	0.56	23.44	73.51	-0.52	21.82	3072	0	7939	0	0	0	0	0	11011	428.47	28.34	6.11	12.47	45.50	16.28	58.15	0.95	25.21	27.82
8/23/2022 10:08:35	5.31	0.00	16.94	0.00	0.00	0.00	0.00	0.58	22.26	73.46	-0.52	21.84	2817	0	7624	0	0	0	0	0	10441	428.19	27.22	5.84	12.10	43.84	15.76	55.49	0.95	25.25	27.83
8/23/2022 10:08:37	5.42	0.00	16.19	0.00	0.00	0.00	0.00	0.52	21.61	73.43	-0.53	21.84	2872	0	7287	0	0	0	0	0	10159	428.01	26.12	5.60	11.83	42.13	15.27	53.49	0.95	25.32	27.84
8/23/2022 10:08:40	4.65	0.06	15.69	0.00	0.00	0.00	0.00	0.59	20.40	73.42	-0.52	21.80	2464	64	7060	0	0	0	0	0	9587	427.96	25.28	5.59	11.38	40.93	14.74	51.20	0.95	25.34	27.85
8/23/2022 10:08:43	4.94	0.07	15.39	0.00	0.00	0.00	0.00	0.56	20.39	73.36	-0.52	21.82	2616	68	6926	0	0	0	0	0	9610	427.59	24.92	5.48	11.37	40.53	14.65	50.84	0.95	25.49	27.87
8/23/2022 10:08:46	4.90	0.01	15.22	0.00	0.00	0.00	0.00	0.54	20.13	73.34	-0.52	21.81	2599	11	6848	0	0	0	0	0	9457	427.49	24.62	5.36	11.09	40.01	14.44	50.27	0.95	25.54	27.78
8/23/2022 10:08:49	5.24	0.08	14.86	0.00	0.00	0.00	0.00	0.55	20.18	73.38	-0.51	21.73	2775	79	6688	0	0	0	0	0	9542	427.71	24.26	5.37	11.17	39.88	14.50	50.00	0.95	25.49	27.85
8/23/2022 10:08:51	5.07	0.01	15.04	0.02	0.00	0.00	0.00	0.51	20.14	73.32	-0.53	21.75	2685	5	6769	1	0	0	0	0	9460	427.36	24.39	5.46	10.94	39.64	14.54	50.02	0.95	25.64	27.84
8/23/2022 10:08:54	4.80	0.03	14.72	0.00	0.00	0.00	0.00	0.55	19.54	73.30	-0.52	21.71	2543	28	6622	0	0	0	0	0	9193	427.26	23.90	5.22	10.83	39.07	14.08	48.86	0.95	25.66	27.87
8/23/2022 10:08:57	4.65	0.12	14.25	0.00	0.00	0.00	0.00	0.55	19.02	73.28	-0.53	21.70	2462	120	6414	0	0	0	0	0	8996	427.14	23.23	5.15	10.69	38.08	13.94	47.43	0.95	25.60	27.89
8/23/2022 10:09:00	4.71	0.12	14.17	0.00	0.00	0.00	0.00	0.57	19.00	73.20	-0.52	21.70	2499	122	6374	0	0	0	0	0	8996	426.67	23.17	5.15	10.69	38.22	13.89	47.44	0.95	25.69	27.93
8/23/2022 10:09:02	4.59	0.14	14.11	0.00	0.00	0.00	0.00	0.53	18.85	73.31	-0.52	21.72	2434	145	6352	0	0	0	0	0	8930	427.33	23.00	5.19	10.59	37.61	13.91	46.91	0.95	25.73	27.88
8/23/2022 10:09:05	4.79	0.09	13.73	0.00	0.00	0.00	0.00	0.55	18.61	73.19	-0.52	21.73	2539	86	6179	0	0	0	0	0	8803	426.61	22.53	5.06	10.45	37.34	13.49	46.39	0.95	25.80	27.85
8/23/2022 10:09:08	4.23	0.15	13.77	0.00	0.00	0.00	0.00	0.57	18.15	73.25	-0.52	21.70	2244	151	6196	0	0	0	0	0	8590	426.93	22.48	5.05	10.34	37.00	13.49	45.64	0.95	25.80	27.95
8/23/2022 10:09:11	4.47	0.15	13.64	0.00	0.00	0.00	0.00	0.58	18.26	73.39	-0.52	21.65	2367	150	6140	0	0	0	0	0	8656	427.75	22.39	4.95	10.40	37.10	13.48	45.75	0.95	25.90	27.85
8/23/2022 10:09:15	4.09	0.20	13.62	0.00	0.00	0.00	0.00	0.61	17.91	73.45	-0.52	21.67	2167	200	6130	0	0	0	0	0	8497	428.10	22.29	5.09	10.31	36.89	13.43	45.18	0.95	25.95	27.95
8/23/2022 10:09:18	4.30	0.23	13.42	0.00	0.00	0.00	0.00	0.59	17.94	73.40	-0.52	21.67	2277	227	6039	0	0	0	0	0	8542	427.84	22.07	5.00	10.32	36.70	13.48	44.99	0.95	25.98	27.93
8/23/2022 10:09:21	4.27	0.18	13.87	0.01	0.00	0.00	0.00	0.59	18.32	73.28	-0.52	21.59	2261	177	6240	0	0	0	0	0	8679	427.10	22.65	5.14	10.36	37.35	13.76	46.02	0.95	26.08	27.85
8/23/2022 10:09:24	4.96	0.15	14.00	0.00	0.00	0.00	0.00	0.54	19.11	73.33	-0.52	21.65	2629	149	6298	0	0	0	0	0	9076	427.42	22.97	5.20	10.66	38.03	14.03	47.34	0.95	26.02	27.94
8/23/2022 10:09:27	4.68	0.19	14.48	0.00	0.00	0.00	0.00	0.59	19.35	73.31	-0.52	21.57	2479	193	6514	0	0	0	0	0	9186	427.30	23.66	5.30	10.98	39.01	14.27	48.29	0.95	26.07	27.93
8/23/2022 10:09:29	4.75	0.15	14.78	0.00	0.00	0.00	0.00	0.57	19.67	73.32	-0.52	21.61	2516	146	6650	0	0	0	0	0	9313	427.39	24.04	5.38	11.07	39.32	14.39	49.02	0.95	26.11	27.95
8/23/2022 10:09:32	4.63	0.11	14.80	0.00	0.00	0.00	0.00	0.55	19.54	73.36	-0.52	21.58	2456	106	6658	0	0	0	0	0	9220	427.59	23.99	5.23	10.96	39.01	14.27	48.76	0.95	26.15	27.91
8/23/2022 10:09:35	4.70	0.10	14.88	0.00	0.00	0.00	0.00	0.56	19.68	73.27	-0.53	21.62	2491	100	6697	0	0	0	0	0	9287	427.08	24.13	5.38	10.93	39.34	14.41	49.15	0.95	26.17	27.89
8/23/2022 10:09:38	4.71	0.18	14.70	0.00	0.00	0.00	0.00	0.59	19.59	73.25	-0.51	21.63	2496	184	6613	0	0	0	0	0	9293	426.94	23.98	5.29	11.09	39.41	14.43	48.88	0.95	26.21	27.94
8/23/2022 10:09:40	4.87	0.11	14.21	0.00	0.00	0.00	0.00	0.53	19.19	73.25	-0.52	21.51	2579	112	6396	0	0	0	0	0	9087	426.97	23.24	5.10	10.76	38.18	13.96	47.66	0.95	26.20	27.89
8/23/2022 10:09:43	4.64	0.13	14.27	0.00	0.00	0.00	0.00	0.55	19.04	73.18	-0.52	21.54	2461	126	6420	0	0	0	0	0	9007	426.53	23.25	5.25	10.75	38.12	13.90	47.47	0.95	26.24	27.97
8/23/2022 10:09:46	4.41	0.16	14.36	0.00	0.00	0.00	0.00	0.55	18.93	73.15	-0.52	21.61	2339	157	6463	0	0	0	0	0	8959	426.37	23.33	5.16	10.68	37.99	14.05	47.29	0.95	26.27	27.94
8/23/2022 10:09:49	4.38	0.13	14.00	0.00	0.00	0.00	0.00	0.55	18.51	73.26	-0.53	21.47	2319	134	6301	0	0	0	0	0	8754	426.99	22.80	5.12	10.45	37.34	13.70	46.35	0.95	26.27	27.93
8/23/2022 10:09:51	4.34	0.22	13.31	0.00	0.00	0.00	0.00	0.55	17.87	73.25	-0.52	21.65	2301	222	5988	0	0	0	0	0	8511	426.93	21.87	4.98	10.34	36.16	13.33	44.58	0.95	26.23	27.93
8/23/2022 10:09:54	4.31	0.20	13.21	0.00	0.00	0.00	0.00	0.56	17.73	73.06	-0.52	21.47	2284	205	5946	0	0	0	0	0	8435	425.85	21.73	4.90	10.11	36.06	13.35	44.34	0.95	26.32	28.00
8/23/2022 10:09:57	4.37	0.20	13.09	0.00	0.00	0.00	0.00	0.57	17.65	72.62	-0.51	21.49	2314	199	5890	0	0	0	0	0	8403	423.28	21.58	4.93	10.16	35.97	13.16	44.17	0.95	26.28	27.93
8/23/2022 10:10:00	4.32	0.27	12.75	0.00	0.00	0.00	0.00	0.56	17.34	71.53	-0.53	21.47	2288	273	5738	0	0	0	0	0	8299	416.93	21.11	4.87	10.10	35.22	13.09	43.18	0.95	26.37	27.95
8/23/2022 10:10:02	3.63	0.39	12.39	0.00	0.00	0.00	0.00	0.60	16.41	70.16	-0.53	21.58	1922	386	5577	0	0	0	0	0	7885	408.91	20.49	4.82	9.81	34.16	12.88	41.27	0.95	26.39	27.97
8/23/2022 10:10:05	4.00	0.36	11.89	0.00	0.00	0.00	0.00	0.61	16.25	68.35	-0.53	21.54	2121	363	5351	0	0	0	0	0	7834	398.36	19.94	4.59	9.71	33.92	12.60	40.77	0.95	26.37	27.99
8/23/2022 10:10:08	3.89	0.50	11.55	0.00	0.00	0.00	0.00	0.66	15.93	65.87	-0.53	21.51	2060	495	5197	0	0	0	0	0	7752	383.93	19.55	4.63	9.75	33.72	12.64	39.97	0.95	26.45	28.00
8/23/2022 10:10:11	4.32	0.43	12.06	0.00	0.00	0.00	0.00	0.58	16.81	64.84	-0.52	21.40	2289	428	5427	0	0	0	0	0	8144	377.92	20.26	4.72	10.03	34.37	13.03	41.61	0.95	26.48	27.98
8/23/2022 10:10:13	4.67	0.36	12.94	0.00	0.00	0.00	0.00	0.57	17.97	66.30	-0.52	21.37	2477	358	5822	0	0	0	0	0	8657	386.45	21.55	5.01	10.49	36.22	13.60	44.38	0.95	26.51	27.95
8/23/2022 10:10:18	4.74	0.30	14.08	0.00	0.00	0.00	0.00	0.55	19.11	67.44	-0.52	21.49	2510	296	6336	0	0	0	0	0	9142	393.11	23.10	5.22	10.95	38.02	14.32	47.19	0.95	26.55	28.19
8/23/2022 10:10:21	5.08	0.21	14.91	0.00	0.00	0.00	0.00	0.54	20.20	68.10	-0.54	21.47	2694	209	6710	0	0	0	0	0	9613	396.92	24.33	5.41	11.36	39.78	14.83	49.83	0.95	26.53	28.02
8/23/2022 10:10:24	5.02	0.18	15.17	0.00	0.00	0.00	0.00	0.55	20.37	68.43	-0.52	21.49	2660	184	6826	0	0	0	0	0	9670	398.84	24.65	5.48	11.36	40.17	14.97	50.37	0.95	26.59	28.02
8/23/2022 10:10:27	5.25	0.08	15.51	0.00	0.00	0.00	0.00	0.51	20.84	68.44	-0.51	21.53	2783	77	6980	0	0	0	0	0	9840	398.89	25.11	5.56	11.41	40.71	15.04	51.47	0.95	26.61	28.01
8/23/2022 10:10:29	5.04	0.22	15.21	0.00	0.00	0.00	0.00	0.53	20.47	67.89	-0.52	21.53	2673	220	6844	0	0	0	0	0	9737	395.73	24.71	5.54	11.46	40.18	15.10	50.46	0.95	26.58	28.08
8/23/2022 10:10:32	4.68	0.29	14.85	0.00	0.00	0.00	0.00	0.58	19.81	67.91	-0.52	21.51	2479	287	6681	0	0	0	0	0	9448	395.84	24.21	5.37	11.31	39.60	14.83	49.17	0.95	26.61	28.03
8/23/2022 10:10:35	4.81	0.29	14.32	0.00	0.00	0.00	0.00	0.57	19.42	67.99	-0.52	21.60	2548	293	6443	0	0	0	0	0	9284	396.31	23.48	5.43	11.10	38.72	14.49	48.03	0.95	26.66	27.92
8/23/2022 10:10:38	4.64	0.27	13.93	0.03	0.00	0.00	0.00	0.56	18.87	68.01	-0.51	21.46	2458	267	6268	1	0	0	0	0	8995	396.40	22.91	5.27	10.78	37.79	14.20	46.78	0.95	26.75	28.06
8/23/2022 10:10:40	4.66	0.21	14.49	0.00	0.00	0.00	0.00	0.54	19.36	68.38	-0.51	21.48	2468	214	6522	0	0	0	0	0	9204	398.53	23.60	5.37	11.04	38.50	14.29	48.03	0.95	26.66	28.06
