Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Planktothrix	#6	#7	#8	#9	Turbidity	unbound Phycocyanin	Yellow substances	Total conc.	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	Planktothrix	#6	#7	#8	#9	Turbidity	unbound Phycocyanin	Yellow substances	Total cell count	LED 1 [700 nm] det. 1	LED 3 [525 nm] det. 1	LED 4 [570 nm] det. 1	LED 5 [610 nm] det. 1	LED 6 [370 nm] det. 1	LED 7 [590 nm] det. 1	LED 8 [470 nm] det. 1	LED 1 [700 nm] det. 2	LED 3 [525 nm] det. 2	LED 4 [570 nm] det. 2	LED 5 [610 nm] det. 2	LED 6 [370 nm] det. 2	LED 7 [590 nm] det. 2	LED 8 [470 nm] det. 2	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	FTU	µg/l	r.u.	µg/l	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	FTU	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/17/2023 09:42:18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.68	0.87	0.00	0.00	-0.01	20.42	0	0	0	0	0	0	0	0	0	0	0	0	0	20.92	0.33	0.25	0.03	3.02	0.33	0.59	2.19	0.70	0.69	6.52	3.25	5.80	0.53	1.00	36.21	29.97
7/17/2023 09:42:21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.73	0.87	0.00	0.00	-0.00	20.44	0	0	0	0	0	0	0	0	0	0	0	0	0	21.12	0.22	0.27	-0.06	3.14	0.32	0.63	2.17	0.75	0.70	6.45	3.32	5.75	0.63	1.00	36.24	30.03
7/17/2023 09:42:23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.67	0.89	0.00	0.00	-0.01	20.42	0	0	0	0	0	0	0	0	0	0	0	0	0	20.88	0.38	0.26	0.01	3.05	0.45	0.63	2.10	0.70	0.68	6.63	3.25	5.87	0.51	1.00	36.25	30.03
7/17/2023 09:42:26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.70	0.88	0.00	0.00	-0.01	20.44	0	0	0	0	0	0	0	0	0	0	0	0	0	20.98	0.26	0.25	0.00	3.03	0.28	0.66	2.15	0.67	0.61	6.59	3.28	5.86	0.64	1.00	36.25	30.02
7/17/2023 09:42:29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.69	0.88	0.00	0.00	-0.01	20.41	0	0	0	0	0	0	0	0	0	0	0	0	0	20.95	0.26	0.25	-0.05	3.07	0.33	0.57	2.17	0.67	0.70	6.70	3.25	5.76	0.62	1.00	36.24	30.06
7/17/2023 09:42:31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.70	0.86	0.00	0.00	-0.01	20.43	0	0	0	0	0	0	0	0	0	0	0	0	0	21.00	0.35	0.26	-0.03	3.05	0.28	0.63	2.13	0.76	0.63	6.48	3.30	5.60	0.57	1.00	36.27	30.08
7/17/2023 09:42:34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.65	0.88	0.00	0.00	-0.01	20.43	0	0	0	0	0	0	0	0	0	0	0	0	0	20.80	0.22	0.34	-0.05	3.07	0.30	0.62	2.18	0.79	0.71	6.57	3.29	5.82	0.61	1.00	36.24	30.02
7/17/2023 09:42:37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.63	0.88	0.00	0.00	-0.01	20.43	0	0	0	0	0	0	0	0	0	0	0	0	0	20.70	0.36	0.24	-0.10	3.10	0.24	0.67	2.21	0.67	0.72	6.72	3.24	5.80	0.67	1.00	36.25	30.06
7/17/2023 09:42:40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.68	0.86	0.00	0.00	-0.01	20.44	0	0	0	0	0	0	0	0	0	0	0	0	0	20.92	0.28	0.31	-0.16	3.02	0.24	0.65	2.22	0.69	0.68	6.60	3.26	5.73	0.59	1.00	36.25	30.00
7/17/2023 09:42:42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.68	0.87	0.00	0.00	-0.01	20.43	0	0	0	0	0	0	0	0	0	0	0	0	0	20.90	0.30	0.27	-0.00	2.89	0.37	0.61	2.25	0.61	0.66	6.65	3.28	5.77	0.53	1.00	36.25	30.00
7/17/2023 09:42:45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.69	0.87	0.00	0.00	-0.01	20.44	0	0	0	0	0	0	0	0	0	0	0	0	0	20.96	0.32	0.26	-0.12	3.08	0.27	0.72	2.14	0.71	0.61	6.52	3.10	5.88	0.67	1.00	36.26	30.05
7/17/2023 09:42:48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.66	0.88	0.00	0.00	-0.01	20.44	0	0	0	0	0	0	0	0	0	0	0	0	0	20.82	0.29	0.31	0.00	3.02	0.30	0.66	2.12	0.67	0.59	6.63	3.26	5.77	0.59	1.00	36.25	29.99
7/17/2023 09:42:51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.70	0.87	0.00	0.00	-0.01	20.43	0	0	0	0	0	0	0	0	0	0	0	0	0	20.97	0.29	0.36	-0.11	2.99	0.32	0.74	2.23	0.73	0.63	6.61	3.24	5.72	0.59	1.00	36.25	30.03
