Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
4/27/2022 09:32:29	0.54	4.30	0.00	0.34	0.00	0.00	0.00	1.60	5.18	12.18	-0.42	17.46	287	4302	0	10	0	0	0	0	4600	70.95	5.17	2.82	9.26	21.07	15.10	11.16	0.96	19.11	21.52
4/27/2022 09:32:34	0.34	4.66	0.00	0.31	0.00	0.00	0.00	1.78	5.31	8.18	-0.40	17.47	182	4656	0	9	0	0	0	0	4847	47.61	5.55	3.05	10.04	22.67	15.66	11.68	0.96	19.14	21.54
4/27/2022 09:32:37	0.17	5.22	0.00	0.25	0.00	0.00	0.00	1.73	5.64	9.33	-0.41	17.42	90	5223	0	7	0	0	0	0	5320	54.32	5.32	3.10	10.72	22.07	17.19	10.95	0.96	19.22	21.57
4/27/2022 09:32:40	0.35	5.19	0.00	0.22	0.00	0.00	0.00	1.57	5.77	10.64	-0.41	17.40	186	5194	0	7	0	0	0	0	5387	61.94	4.95	3.13	10.55	20.73	17.25	10.42	0.96	19.29	21.63
4/27/2022 09:32:43	0.42	4.46	0.00	0.22	0.00	0.00	0.00	1.40	5.10	6.80	-0.42	17.42	221	4465	0	7	0	0	0	0	4693	39.57	4.53	2.80	9.23	18.76	15.28	9.60	0.96	19.38	21.63
4/27/2022 09:32:45	0.44	4.36	0.00	0.30	0.00	0.00	0.00	1.43	5.10	7.63	-0.41	17.35	231	4364	0	9	0	0	0	0	4604	44.43	4.52	2.71	8.82	19.22	15.60	9.98	0.96	19.46	21.58
4/27/2022 09:32:48	0.36	4.93	0.00	0.13	0.00	0.00	0.00	1.46	5.42	6.05	-0.40	17.32	189	4933	0	4	0	0	0	0	5126	35.19	4.50	2.82	9.80	19.36	16.49	9.62	0.96	19.57	21.75
4/27/2022 09:32:51	0.30	4.59	0.00	0.34	0.00	0.00	0.00	1.31	5.22	5.12	-0.43	17.33	160	4586	0	10	0	0	0	0	4756	29.80	4.36	2.80	9.14	18.03	16.29	9.22	0.96	19.52	21.73
4/27/2022 09:32:54	0.34	4.84	0.00	0.24	0.00	0.00	0.00	1.39	5.42	5.68	-0.42	17.41	178	4845	0	7	0	0	0	0	5030	33.04	4.59	2.85	9.81	18.78	16.45	9.47	0.96	19.58	21.58
4/27/2022 09:32:56	0.36	5.00	0.00	0.12	0.00	0.00	0.00	1.34	5.47	7.26	-0.41	17.30	192	4997	0	3	0	0	0	0	5192	42.27	4.38	2.81	10.00	18.24	16.48	9.00	0.96	19.66	21.60
4/27/2022 09:32:59	0.14	4.46	0.00	0.37	0.00	0.00	0.00	1.37	4.96	7.63	-0.41	17.22	73	4457	0	11	0	0	0	0	4541	44.39	4.42	2.66	8.81	18.41	16.07	9.30	0.96	19.58	21.53
4/27/2022 09:33:02	0.44	4.59	0.00	0.26	0.00	0.00	0.00	1.26	5.28	5.50	-0.39	17.31	233	4589	0	8	0	0	0	0	4829	32.01	4.30	2.59	9.18	17.59	16.07	9.02	0.96	19.73	21.60
4/27/2022 09:33:05	0.63	3.82	0.00	0.35	0.00	0.00	0.00	1.17	4.80	7.50	-0.40	17.25	333	3819	0	10	0	0	0	0	4162	43.67	3.98	2.62	7.77	16.82	14.47	9.11	0.96	19.75	21.58
4/27/2022 09:33:07	0.36	3.92	0.00	0.44	0.00	0.00	0.00	1.33	4.73	7.85	-0.42	17.21	193	3918	0	13	0	0	0	0	4125	45.69	4.47	2.65	8.14	18.16	14.71	9.65	0.96	19.92	21.65
4/27/2022 09:33:10	0.67	3.90	0.00	0.20	0.00	0.00	0.00	1.20	4.77	9.64	-0.42	17.37	357	3896	0	6	0	0	0	0	4259	56.13	4.01	2.51	8.05	16.89	13.98	8.97	0.96	19.88	21.59
4/27/2022 09:33:13	0.35	4.11	0.00	0.28	0.00	0.00	0.00	1.32	4.74	9.30	-0.42	17.24	185	4109	0	8	0	0	0	0	4303	54.13	4.19	2.50	8.20	17.87	14.91	9.19	0.96	19.96	21.62
4/27/2022 09:33:16	0.43	3.85	0.00	0.41	0.00	0.00	0.00	1.24	4.69	7.78	-0.41	17.20	230	3847	0	12	0	0	0	0	4089	45.27	4.25	2.52	7.91	17.33	14.54	9.24	0.96	19.97	21.62
4/27/2022 09:33:18	0.51	3.54	0.00	0.30	0.00	0.00	0.00	1.18	4.35	7.06	-0.41	17.31	269	3539	0	9	0	0	0	0	3817	41.07	3.95	2.40	7.35	16.50	13.32	8.79	0.96	20.05	21.62
4/27/2022 09:33:21	0.16	3.80	0.00	0.49	0.00	0.00	0.00	1.22	4.45	8.37	-0.43	17.22	86	3798	0	15	0	0	0	0	3898	48.70	4.06	2.66	7.58	16.94	14.74	8.86	0.96	20.10	21.69
4/27/2022 09:33:24	0.41	3.87	0.00	0.36	0.00	0.00	0.00	1.15	4.64	6.91	-0.42	17.20	215	3871	0	11	0	0	0	0	4097	40.23	3.99	2.59	7.89	16.33	14.42	8.62	0.96	20.10	21.63
4/27/2022 09:33:27	0.31	3.38	0.00	0.40	0.00	0.00	0.00	1.22	4.09	6.43	-0.41	17.24	162	3380	0	12	0	0	0	0	3554	37.39	4.15	2.42	7.18	16.74	12.99	8.88	0.96	20.21	21.71
4/27/2022 09:33:30	0.07	4.13	0.00	0.56	0.00	0.00	0.00	1.28	4.77	9.33	-0.43	17.25	38	4134	0	17	0	0	0	0	4189	54.32	4.30	2.84	8.20	17.66	15.86	9.18	0.96	20.33	21.69
4/27/2022 09:33:34	0.23	3.32	0.00	0.55	0.00	0.00	0.00	1.13	4.10	6.57	-0.42	17.35	124	3316	0	17	0	0	0	0	3457	38.24	3.95	2.43	6.77	16.02	13.64	8.63	0.96	20.34	21.65
4/27/2022 09:33:37	0.33	3.03	0.00	0.47	0.00	0.00	0.00	1.11	3.83	6.49	-0.43	17.30	175	3029	0	14	0	0	0	0	3218	37.73	3.89	2.25	6.42	15.59	12.43	8.46	0.96	20.30	21.67
4/27/2022 09:33:40	0.35	3.80	0.00	0.34	0.00	0.00	0.00	1.24	4.49	9.23	-0.42	17.28	186	3799	0	10	0	0	0	0	3995	53.72	4.11	2.47	7.75	17.02	14.15	8.90	0.96	20.40	21.69
4/27/2022 09:33:43	0.49	2.90	0.00	0.53	0.00	0.00	0.00	1.15	3.92	6.59	-0.42	17.20	259	2896	0	16	0	0	0	0	3171	38.36	4.14	2.33	6.43	16.23	12.19	9.10	0.96	20.35	21.97
4/27/2022 09:33:45	0.63	3.45	0.00	0.27	0.00	0.00	0.00	1.19	4.35	8.71	-0.41	17.05	334	3454	0	8	0	0	0	0	3796	50.67	3.99	2.30	7.25	16.67	13.03	8.99	0.96	20.39	21.70
4/27/2022 09:33:48	0.39	3.89	0.00	0.29	0.00	0.00	0.00	1.20	4.57	8.61	-0.42	17.23	209	3888	0	9	0	0	0	0	4105	50.13	4.08	2.46	7.99	16.69	14.14	8.69	0.96	20.50	21.72
