Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/22/2022 00:00:00	1.64	1.70	2.13	0.77	0.00	0.00	0.00	0.87	6.24	77.26	-0.49	23.18	872	1700	958	23	0	0	0	0	3552	450.35	7.97	3.30	7.58	18.32	9.75	15.53	0.95	29.15	29.76
8/22/2022 07:12:00	--	--	--	--	--	--	--	--	--	--	--	21.76	--	--	--	--	--	--	--	--	--	208.16	7.97	3.20	8.78	19.68	10.32	15.86	0.95	28.83	29.70
8/22/2022 09:36:00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	-10.21	22.24	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8/22/2022 10:22:21	2.18	1.72	2.42	0.21	0.00	0.00	0.00	0.94	6.53	79.56	-0.46	22.18	1155	1717	1091	6	0	0	0	0	3969	463.72	7.60	3.29	7.36	19.33	8.70	16.27	0.95	24.50	26.50
8/22/2022 10:22:26	2.26	1.51	2.23	0.40	0.00	0.00	0.00	0.93	6.39	78.74	-0.46	22.24	1196	1507	1004	12	0	0	0	0	3719	458.94	7.60	3.22	7.03	19.25	8.63	16.33	0.95	24.67	26.62
8/22/2022 10:22:29	2.00	1.54	2.47	0.31	0.00	0.00	0.00	0.92	6.33	79.29	-0.46	22.26	1063	1537	1113	9	0	0	0	0	3721	462.16	7.70	3.14	6.99	19.10	8.60	16.22	0.95	24.81	26.59
8/22/2022 10:22:31	2.21	1.49	2.27	0.42	0.00	0.00	0.00	0.92	6.38	79.95	-0.47	22.18	1171	1487	1019	13	0	0	0	0	3690	466.02	7.66	3.26	7.04	19.19	8.63	16.34	0.95	24.78	26.56
8/22/2022 10:22:34	2.27	1.42	1.89	0.62	0.00	0.00	0.00	0.96	6.20	79.95	-0.48	22.21	1203	1424	850	19	0	0	0	0	3496	466.01	7.55	3.38	7.03	19.31	8.69	16.20	0.95	24.85	26.59
8/22/2022 10:22:37	2.15	1.52	2.20	0.45	0.00	0.00	0.00	0.94	6.32	79.83	-0.47	22.27	1141	1525	988	13	0	0	0	0	3667	465.32	7.64	3.21	7.06	19.23	8.76	16.22	0.95	24.98	26.79
8/22/2022 10:22:40	2.45	1.54	2.12	0.39	0.00	0.00	0.00	0.90	6.51	79.81	-0.47	22.23	1299	1539	955	12	0	0	0	0	3805	465.18	7.47	3.23	7.12	18.99	8.68	16.23	0.95	24.97	26.61
8/22/2022 10:22:42	2.01	1.56	2.39	0.33	0.00	0.00	0.00	0.93	6.30	79.90	-0.47	22.21	1066	1563	1076	10	0	0	0	0	3715	465.70	7.64	3.29	7.10	19.06	8.56	16.11	0.95	25.09	26.63
8/22/2022 10:22:45	1.86	1.54	2.63	0.23	0.00	0.00	0.00	0.92	6.25	79.82	-0.46	22.16	985	1537	1182	7	0	0	0	0	3711	465.26	7.72	3.15	6.93	19.06	8.41	16.16	0.95	25.25	26.73
8/22/2022 10:22:48	2.41	1.53	2.17	0.33	0.00	0.00	0.00	0.91	6.43	79.90	-0.46	22.23	1276	1529	977	10	0	0	0	0	3792	465.72	7.41	3.18	7.02	19.01	8.53	16.17	0.95	25.23	26.69
8/22/2022 10:22:51	2.05	1.50	2.27	0.33	0.00	0.00	0.00	0.92	6.16	79.79	-0.46	22.22	1088	1495	1023	10	0	0	0	0	3616	465.09	7.45	3.12	6.85	18.77	8.42	15.83	0.95	25.23	26.61
8/22/2022 10:22:54	2.15	1.59	2.32	0.27	0.00	0.00	0.00	0.91	6.33	79.65	-0.47	22.28	1138	1592	1046	8	0	0	0	0	3784	464.26	7.46	3.15	7.05	18.85	8.54	15.93	0.95	25.37	26.66
8/22/2022 10:22:56	2.34	1.61	1.66	0.85	0.00	0.00	0.00	0.92	6.46	79.67	-0.46	22.25	1238	1609	747	26	0	0	0	0	3619	464.39	7.71	3.37	7.55	18.99	9.66	16.05	0.95	25.36	26.67
8/22/2022 10:22:59	2.06	1.63	2.31	0.34	0.00	0.00	0.00	0.93	6.35	79.71	-0.47	22.25	1094	1631	1040	10	0	0	0	0	3775	464.59	7.59	3.23	7.20	19.02	8.75	16.02	0.95	25.45	26.65
8/22/2022 10:23:02	2.09	1.62	2.33	0.37	0.00	0.00	0.00	0.93	6.41	79.76	-0.46	22.22	1109	1619	1047	11	0	0	0	0	3786	464.92	7.68	3.26	7.23	19.13	8.81	16.18	0.96	25.53	26.68
8/22/2022 10:23:05	2.14	1.44	2.15	0.52	0.00	0.00	0.00	0.94	6.25	79.66	-0.48	22.16	1133	1438	967	16	0	0	0	0	3554	464.33	7.66	3.23	6.95	19.16	8.69	16.22	0.95	25.53	26.68
8/22/2022 10:23:07	2.25	1.56	2.36	0.30	0.00	0.00	0.00	0.92	6.48	79.67	-0.47	22.17	1192	1560	1063	9	0	0	0	0	3824	464.40	7.61	3.23	7.11	19.18	8.59	16.35	0.95	25.67	26.65
8/22/2022 10:23:10	2.08	1.47	2.29	0.44	0.00	0.00	0.00	0.94	6.28	79.68	-0.46	22.19	1102	1474	1032	13	0	0	0	0	3621	464.42	7.70	3.33	7.02	19.28	8.56	16.31	0.96	25.68	26.67
8/22/2022 10:23:13	2.29	1.55	2.23	0.36	0.00	0.00	0.00	0.93	6.43	79.50	-0.48	22.16	1215	1549	1004	11	0	0	0	0	3778	463.41	7.56	3.21	7.09	19.23	8.65	16.29	0.95	25.73	26.55
8/22/2022 10:23:16	2.06	1.55	2.32	0.39	0.00	0.00	0.00	0.94	6.31	79.72	-0.47	22.20	1093	1546	1044	12	0	0	0	0	3695	464.69	7.68	3.19	7.06	19.24	8.70	16.22	0.95	25.78	26.86
8/22/2022 10:23:18	2.17	1.47	2.35	0.41	0.00	0.00	0.00	0.91	6.40	79.63	-0.47	22.25	1151	1470	1056	12	0	0	0	0	3690	464.16	7.72	3.17	6.97	19.13	8.66	16.38	0.95	25.73	26.76
8/22/2022 10:23:21	2.09	1.53	2.20	0.56	0.00	0.00	0.00	0.95	6.38	80.21	-0.47	22.27	1105	1532	990	17	0	0	0	0	3644	467.52	7.85	3.27	7.20	19.41	9.02	16.41	0.95	25.73	26.79
8/22/2022 10:23:26	2.02	1.46	2.23	0.54	0.00	0.00	0.00	0.95	6.25	80.05	-0.47	22.26	1071	1460	1004	16	0	0	0	0	3551	466.60	7.80	3.31	7.04	19.35	8.76	16.34	0.95	25.89	26.71
8/22/2022 10:23:29	1.96	1.44	2.33	0.51	0.00	0.00	0.00	0.94	6.25	80.28	-0.47	22.33	1040	1443	1049	15	0	0	0	0	3547	467.91	7.84	3.26	6.98	19.25	8.72	16.34	0.95	25.84	26.75
8/22/2022 10:23:32	2.00	1.49	2.55	0.37	0.00	0.00	0.00	0.91	6.41	80.19	-0.47	22.27	1059	1485	1149	11	0	0	0	0	3704	467.41	7.87	3.23	7.02	19.15	8.64	16.47	0.95	26.02	26.84
8/22/2022 10:23:34	1.99	1.44	2.34	0.51	0.00	0.00	0.00	0.92	6.29	80.16	-0.46	22.27	1056	1444	1055	15	0	0	0	0	3571	467.24	7.83	3.31	7.02	19.14	8.69	16.34	0.95	26.04	26.73
