Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
2/14/2022 10:12:58	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.17	93.97	-0.36	14.52	0	1166	0	0	0	0	0	0	1166	547.74	0.53	0.64	3.72	1.58	4.73	0.55	0.96	15.71	17.94
2/14/2022 10:13:03	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	1.18	93.65	-0.36	14.48	0	1177	0	0	0	0	0	0	1177	545.87	0.52	0.60	3.85	1.54	4.67	0.54	0.96	15.76	17.88
2/14/2022 10:13:06	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.17	93.53	-0.38	14.52	0	1171	0	0	0	0	0	0	1171	545.19	0.61	0.63	3.78	1.65	4.67	0.63	0.96	15.88	17.86
2/14/2022 10:13:09	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00	1.16	93.10	-0.37	14.54	0	1162	0	0	0	0	0	0	1162	542.66	0.62	0.62	3.72	1.61	4.68	0.55	0.96	15.84	17.91
2/14/2022 10:13:12	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00	1.16	93.84	-0.38	14.53	0	1162	0	0	0	0	0	0	1162	546.99	0.58	0.56	3.76	1.58	4.68	0.57	0.96	15.96	17.89
2/14/2022 10:13:14	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	1.13	93.21	-0.38	14.47	0	1135	0	0	0	0	0	0	1135	543.33	0.52	0.63	3.76	1.67	4.53	0.52	0.96	15.91	17.89
2/14/2022 10:13:17	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.15	93.71	-0.37	14.46	0	1151	0	0	0	0	0	0	1151	546.25	0.49	0.64	3.77	1.58	4.62	0.54	0.96	16.05	18.16
2/14/2022 10:13:20	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00	1.16	93.47	-0.37	14.54	0	1164	0	0	0	0	0	0	1164	544.83	0.53	0.64	3.78	1.63	4.66	0.53	0.96	16.08	17.80
2/14/2022 10:13:23	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.17	93.71	-0.37	14.50	0	1165	0	0	0	0	0	0	1165	546.22	0.54	0.63	3.87	1.60	4.58	0.46	0.96	16.16	17.83
2/14/2022 10:13:25	0.00	1.14	0.00	0.00	0.00	0.00	0.00	0.00	1.14	93.61	-0.36	14.52	0	1141	0	0	0	0	0	0	1141	545.64	0.58	0.61	3.70	1.53	4.63	0.49	0.96	16.26	17.83
2/14/2022 10:13:28	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.15	93.63	-0.36	14.43	0	1151	0	0	0	0	0	0	1151	545.76	0.51	0.64	3.76	1.60	4.62	0.47	0.96	16.20	17.87
2/14/2022 10:13:31	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	1.13	93.69	-0.37	14.51	0	1134	0	0	0	0	0	0	1134	546.13	0.53	0.67	3.68	1.59	4.61	0.52	0.96	16.21	17.94
2/14/2022 10:13:34	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.15	93.58	-0.38	14.52	0	1151	0	0	0	0	0	0	1151	545.46	0.64	0.56	3.77	1.61	4.60	0.59	0.96	16.32	18.00
