Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
1/12/2022 08:09:07	0.24	1.61	0.00	0.24	0.00	0.00	0.00	2.30	2.10	15.02	-0.30	9.02	130	1614	0	7	0	0	0	0	1751	87.50	5.55	2.14	4.69	26.01	6.93	13.77	0.97	13.60	15.48
1/12/2022 08:09:12	0.09	1.60	0.00	0.39	0.00	0.00	0.00	2.29	2.08	15.98	-0.28	8.93	48	1603	0	12	0	0	0	0	1663	93.05	5.74	2.24	4.77	25.98	7.25	13.81	0.97	13.63	15.48
1/12/2022 08:09:15	0.11	1.71	0.00	0.42	0.00	0.00	0.00	2.49	2.24	17.22	-0.28	8.86	57	1712	0	13	0	0	0	0	1782	100.32	6.09	2.30	4.94	28.04	7.77	14.93	0.97	13.68	15.49
1/12/2022 08:09:17	0.22	1.50	0.00	0.27	0.00	0.00	0.00	2.27	1.99	12.04	-0.28	8.93	116	1500	0	8	0	0	0	0	1624	70.09	5.52	2.14	4.52	25.67	6.67	13.63	0.97	13.82	15.53
1/12/2022 08:09:20	0.22	1.61	0.00	0.33	0.00	0.00	0.00	2.30	2.16	18.14	-0.27	8.84	117	1609	0	10	0	0	0	0	1735	105.65	5.72	2.05	4.71	26.15	7.23	13.95	0.97	13.78	15.43
1/12/2022 08:09:23	0.15	1.58	0.00	0.43	0.00	0.00	0.00	2.38	2.16	14.33	-0.28	8.92	77	1583	0	13	0	0	0	0	1674	83.47	5.87	2.30	4.68	27.01	7.49	14.47	0.97	14.00	15.38
1/12/2022 08:09:26	0.04	1.59	0.00	0.30	0.00	0.00	0.00	2.37	1.94	15.72	-0.28	8.77	21	1592	0	9	0	0	0	0	1622	91.54	5.68	2.13	4.60	26.49	7.03	13.89	0.97	13.96	15.52
1/12/2022 08:09:28	0.25	1.70	0.00	0.40	0.00	0.00	0.00	2.34	2.35	23.75	-0.27	8.76	132	1701	0	12	0	0	0	0	1845	138.40	5.79	2.23	4.83	26.69	7.83	14.34	0.97	14.02	15.53
1/12/2022 08:09:31	0.25	1.47	0.00	0.31	0.00	0.00	0.00	2.19	2.02	11.41	-0.29	8.72	130	1472	0	9	0	0	0	0	1611	66.42	5.43	2.14	4.46	24.98	6.76	13.36	0.97	14.00	15.39
1/12/2022 08:09:34	0.18	1.64	0.00	0.32	0.00	0.00	0.00	2.37	2.14	13.76	-0.27	8.75	95	1637	0	10	0	0	0	0	1741	80.13	5.79	2.11	4.76	26.73	7.26	14.19	0.97	14.09	15.59
1/12/2022 08:09:37	0.27	1.50	0.00	0.31	0.00	0.00	0.00	2.32	2.08	22.15	-0.29	8.70	141	1503	0	9	0	0	0	0	1653	129.07	5.75	2.10	4.63	26.29	6.80	14.07	0.97	14.05	15.51
1/12/2022 08:09:39	0.36	1.68	0.00	0.35	0.00	0.00	0.00	2.38	2.39	14.21	-0.26	8.70	189	1682	0	10	0	0	0	0	1882	82.74	5.82	2.31	4.87	27.17	7.60	14.65	0.97	14.14	15.57
1/12/2022 08:09:42	0.18	1.48	0.00	0.32	0.00	0.00	0.00	2.34	1.99	18.83	-0.28	8.65	98	1478	0	10	0	0	0	0	1585	109.71	5.70	2.16	4.51	26.37	6.78	14.05	0.97	14.16	15.59
1/12/2022 08:09:45	0.61	1.85	0.00	0.29	0.00	0.00	0.00	2.39	2.76	12.31	-0.28	8.75	323	1854	0	9	0	0	0	0	2186	71.67	5.99	2.28	5.34	27.59	7.90	15.04	0.97	14.24	15.53
1/12/2022 08:09:48	0.10	1.59	0.00	0.34	0.00	0.00	0.00	2.34	2.03	19.34	-0.27	8.74	51	1592	0	10	0	0	0	0	1654	112.70	5.74	2.21	4.71	26.39	7.10	13.97	0.97	14.34	15.51
1/12/2022 08:09:50	0.19	1.55	0.00	0.31	0.00	0.00	0.00	2.39	2.05	19.11	-0.27	8.67	101	1550	0	9	0	0	0	0	1660	111.31	5.78	2.06	4.57	26.92	7.04	14.30	0.97	14.42	15.61
1/12/2022 08:09:53	0.17	1.48	0.00	0.30	0.00	0.00	0.00	2.27	1.95	15.30	-0.28	8.72	91	1477	0	9	0	0	0	0	1577	89.09	5.53	2.18	4.47	25.69	6.69	13.64	0.97	14.46	15.64
1/12/2022 08:09:56	0.21	1.47	0.00	0.31	0.00	0.00	0.00	2.40	1.99	16.71	-0.27	8.71	110	1474	0	9	0	0	0	0	1593	97.33	5.89	2.10	4.63	26.99	6.61	14.38	0.97	14.43	15.63
1/12/2022 08:09:59	0.11	1.44	0.00	0.36	0.00	0.00	0.00	2.28	1.92	17.80	-0.28	8.68	61	1443	0	11	0	0	0	0	1515	103.69	5.68	2.15	4.50	25.77	6.71	13.73	0.97	14.48	15.68
1/12/2022 08:10:01	0.00	1.52	0.00	0.33	0.00	0.00	0.00	2.30	1.85	11.96	-0.29	8.60	0	1518	0	10	0	0	0	0	1528	69.66	5.67	2.20	4.62	25.79	6.72	13.55	0.97	14.47	15.73
1/12/2022 08:10:04	0.27	1.39	0.00	0.32	0.00	0.00	0.00	2.34	1.98	14.75	-0.29	8.65	145	1390	0	9	0	0	0	0	1545	85.92	5.76	2.09	4.47	26.40	6.46	14.17	0.97	14.50	15.59
1/12/2022 08:10:07	0.25	1.40	0.03	0.28	0.00	0.00	0.00	2.29	1.96	16.06	-0.28	8.66	134	1398	13	8	0	0	0	0	1553	93.54	5.71	2.06	4.49	25.97	6.34	13.91	0.97	14.62	15.59
1/12/2022 08:10:12	0.17	1.57	0.00	0.25	0.00	0.00	0.00	2.41	1.99	23.02	-0.29	8.69	89	1571	0	8	0	0	0	0	1668	134.12	5.73	2.16	4.65	26.97	6.80	14.22	0.97	14.62	15.54
1/12/2022 08:10:15	0.30	1.32	0.00	0.33	0.00	0.00	0.00	2.23	1.95	12.84	-0.28	8.64	160	1324	0	10	0	0	0	0	1493	74.76	5.53	2.17	4.31	25.39	6.36	13.71	0.97	14.68	15.60
1/12/2022 08:10:17	0.22	1.46	0.00	0.30	0.00	0.00	0.00	2.34	1.97	17.29	-0.28	8.68	114	1458	0	9	0	0	0	0	1581	100.72	5.73	2.09	4.55	26.32	6.55	14.02	0.97	14.73	15.65
1/12/2022 08:10:20	0.07	1.46	0.00	0.29	0.00	0.00	0.00	2.38	1.82	18.36	-0.28	8.70	38	1458	0	9	0	0	0	0	1505	106.98	5.67	2.11	4.40	26.58	6.58	13.98	0.97	14.75	15.70
1/12/2022 08:10:23	0.11	1.37	0.11	0.20	0.00	0.00	0.00	2.25	1.78	16.87	-0.28	8.64	57	1371	48	6	0	0	0	0	1482	98.25	5.52	2.11	4.36	25.28	5.97	13.40	0.97	14.74	15.69
1/12/2022 08:10:26	0.22	1.47	0.00	0.31	0.00	0.00	0.00	2.41	2.00	13.16	-0.28	8.67	114	1471	0	9	0	0	0	0	1595	76.62	5.88	2.18	4.63	27.09	6.60	14.44	0.97	14.80	15.76
1/12/2022 08:10:28	0.07	1.35	0.00	0.38	0.00	0.00	0.00	2.44	1.80	18.89	-0.28	8.56	37	1352	0	11	0	0	0	0	1400	110.02	5.93	2.28	4.43	27.28	6.40	14.51	0.97	14.82	15.76
1/12/2022 08:10:31	0.23	1.42	0.00	0.35	0.00	0.00	0.00	2.40	1.99	18.52	-0.28	8.64	120	1415	0	11	0	0	0	0	1546	107.89	5.87	2.16	4.50	27.02	6.66	14.49	0.97	14.86	15.67
