Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/27/2022 12:30:49	1.03	1.47	0.64	0.13	0.00	0.00	0.00	0.94	3.27	100.00	-0.50	23.42	546	1469	289	4	0	0	0	0	2308	603.53	4.49	2.21	5.15	14.52	6.44	9.57	0.95	27.33	29.82
6/27/2022 12:30:54	1.04	1.38	0.39	0.29	0.00	0.00	0.00	0.96	3.10	76.32	-0.50	23.48	549	1383	175	9	0	0	0	0	2115	444.83	4.43	2.17	5.02	14.50	6.51	9.42	0.95	27.49	29.82
6/27/2022 12:30:56	1.08	1.57	0.70	0.00	0.00	0.00	0.00	0.92	3.34	86.72	-0.50	23.47	570	1566	314	0	0	0	0	0	2451	505.50	4.35	2.20	5.28	14.30	6.35	9.38	0.95	27.49	29.97
6/27/2022 12:30:59	0.88	1.41	0.74	0.06	0.00	0.00	0.00	0.94	3.09	98.92	-0.50	23.37	468	1411	332	2	0	0	0	0	2213	576.59	4.39	2.23	4.97	14.28	6.07	9.34	0.95	27.58	29.93
6/27/2022 12:31:02	0.90	1.74	0.74	0.02	0.00	0.00	0.00	1.03	3.39	97.43	-0.50	23.35	477	1735	331	1	0	0	0	0	2544	567.93	4.64	2.29	5.61	15.36	6.81	9.81	0.95	27.58	29.87
6/27/2022 12:31:05	1.02	1.68	0.77	0.00	0.00	0.00	0.00	0.94	3.48	89.03	-0.50	23.46	543	1685	346	0	0	0	0	0	2573	518.93	4.53	2.21	5.60	14.60	6.63	9.57	0.95	27.71	29.84
6/27/2022 12:31:07	0.97	1.43	0.85	0.06	0.00	0.00	0.00	0.93	3.30	96.92	-0.48	23.42	514	1425	380	2	0	0	0	0	2321	564.96	4.58	2.22	5.06	14.58	6.26	9.75	0.95	27.80	29.73
6/27/2022 12:31:10	1.06	1.59	0.74	0.00	0.00	0.00	0.00	0.94	3.38	99.51	-0.50	23.45	560	1587	333	0	0	0	0	0	2480	580.01	4.45	2.21	5.33	14.56	6.44	9.56	0.95	27.84	29.87
6/27/2022 12:31:13	1.21	1.37	0.54	0.15	0.00	0.00	0.00	0.90	3.27	96.67	-0.50	23.46	639	1370	243	5	0	0	0	0	2257	563.49	4.33	2.18	4.98	14.20	6.26	9.49	0.95	27.84	29.85
6/27/2022 12:31:16	1.04	1.39	0.77	0.03	0.00	0.00	0.00	0.91	3.24	100.00	-0.49	23.41	554	1393	347	1	0	0	0	0	2294	595.66	4.39	2.19	4.95	14.23	6.07	9.50	0.95	27.91	29.88
6/27/2022 12:31:18	1.06	1.33	0.64	0.12	0.00	0.00	0.00	0.89	3.15	100.00	-0.50	23.50	563	1329	286	4	0	0	0	0	2181	630.68	4.32	2.24	4.89	13.98	6.02	9.33	0.95	27.98	29.93
6/27/2022 12:31:21	0.95	1.35	0.70	0.13	0.00	0.00	0.00	0.93	3.12	100.00	-0.49	23.37	504	1346	316	4	0	0	0	0	2170	591.37	4.46	2.29	4.94	14.39	6.07	9.53	0.95	28.02	29.80
6/27/2022 12:31:24	0.93	1.42	0.79	0.04	0.00	0.00	0.00	0.93	3.19	100.00	-0.51	23.48	495	1424	354	1	0	0	0	0	2276	590.10	4.45	2.19	4.99	14.40	6.15	9.50	0.95	28.23	29.89
6/27/2022 12:31:27	0.96	1.51	0.72	0.00	0.00	0.00	0.00	0.97	3.20	97.83	-0.50	23.51	510	1510	326	0	0	0	0	0	2346	570.23	4.41	2.20	5.17	14.68	6.16	9.50	0.95	28.13	29.92
6/27/2022 12:31:30	0.94	1.41	0.88	0.00	0.00	0.00	0.00	0.91	3.23	100.00	-0.49	23.44	499	1411	394	0	0	0	0	0	2304	603.22	4.47	2.20	5.03	14.30	6.01	9.54	0.95	28.11	29.88
