Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/27/2022 10:06:42	1.89	1.84	1.01	0.31	0.00	0.00	0.00	1.49	5.06	55.28	-0.41	19.56	1004	1840	455	9	0	0	0	0	3309	322.20	6.65	2.70	6.72	22.13	8.54	15.29	0.96	19.84	22.11
5/27/2022 10:06:47	1.71	2.11	1.76	0.00	0.00	0.00	0.00	1.43	5.59	52.12	-0.40	19.60	909	2114	790	0	0	0	0	0	3813	303.77	7.08	2.87	7.34	22.16	8.70	15.77	0.96	20.10	22.16
5/27/2022 10:06:50	1.99	2.63	2.04	0.00	0.00	0.00	0.00	1.61	6.66	48.98	-0.42	19.49	1057	2632	916	0	0	0	0	0	4605	285.49	8.09	3.24	8.72	25.02	10.26	17.93	0.96	19.97	22.15
5/27/2022 10:06:52	1.89	2.38	1.62	0.35	0.00	0.00	0.00	1.48	6.25	47.52	-0.42	19.53	1004	2384	731	11	0	0	0	0	4129	276.97	7.83	3.03	8.24	23.38	10.36	16.88	0.96	20.04	22.16
5/27/2022 10:06:55	1.86	2.85	1.83	0.11	0.00	0.00	0.00	1.58	6.65	64.35	-0.41	19.54	986	2849	823	3	0	0	0	0	4662	375.05	8.05	3.14	9.05	24.51	11.00	17.32	0.96	20.14	22.15
5/27/2022 10:06:58	1.99	2.52	1.11	0.52	0.00	0.00	0.00	1.64	6.15	54.45	-0.42	19.41	1056	2521	500	16	0	0	0	0	4093	317.34	7.79	3.13	8.54	24.61	10.81	17.06	0.96	20.26	22.10
5/27/2022 10:07:01	1.78	3.01	1.41	0.00	0.00	0.00	0.00	1.56	6.21	44.27	-0.42	19.50	945	3014	636	0	0	0	0	0	4595	258.01	7.28	3.02	9.12	23.38	10.66	15.80	0.96	20.25	22.30
5/27/2022 10:07:03	1.85	3.29	0.93	0.19	0.00	0.00	0.00	1.59	6.25	56.58	-0.41	19.44	979	3290	417	6	0	0	0	0	4691	329.77	7.15	3.14	9.63	23.38	11.56	15.33	0.96	20.29	22.15
5/27/2022 10:07:06	1.77	3.46	0.98	0.00	0.00	0.00	0.00	1.60	6.22	53.76	-0.42	19.54	940	3464	440	0	0	0	0	0	4845	313.35	6.98	2.97	9.97	23.20	11.33	14.93	0.96	20.36	22.29
