Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
2/8/2022 09:28:59	0.78	1.25	1.32	1.36	0.00	0.00	0.00	2.36	4.70	100.00	-0.27	9.40	411	1246	593	41	0	0	0	0	2291	592.11	9.71	3.79	6.77	31.20	9.34	20.95	0.97	12.34	14.54
2/8/2022 09:29:04	0.69	1.17	1.36	1.36	0.00	0.00	0.00	2.36	4.59	100.00	-0.27	9.40	367	1172	613	41	0	0	0	0	2192	591.70	9.70	3.90	6.67	31.13	9.08	20.92	0.97	12.41	14.55
2/8/2022 09:29:07	0.71	1.21	1.22	1.42	0.00	0.00	0.00	2.37	4.56	100.00	-0.27	9.34	378	1210	548	43	0	0	0	0	2178	591.85	9.67	3.85	6.73	31.21	9.28	20.84	0.97	12.39	14.51
2/8/2022 09:29:09	0.75	1.19	1.15	1.47	0.00	0.00	0.00	2.37	4.55	100.00	-0.27	9.36	396	1190	516	44	0	0	0	0	2146	591.44	9.65	3.92	6.75	31.12	9.28	20.80	0.97	12.40	14.58
2/8/2022 09:29:12	0.65	1.28	1.36	1.30	0.00	0.00	0.00	2.36	4.60	100.00	-0.27	9.44	345	1280	613	39	0	0	0	0	2277	592.69	9.65	3.80	6.77	31.06	9.24	20.73	0.97	12.51	14.72
2/8/2022 09:29:15	0.57	1.26	1.50	1.29	0.00	0.00	0.00	2.35	4.62	100.00	-0.26	9.39	301	1263	674	39	0	0	0	0	2277	591.84	9.76	3.85	6.77	31.05	9.21	20.83	0.97	12.55	14.44
2/8/2022 09:29:18	0.67	1.24	1.40	1.30	0.00	0.00	0.00	2.34	4.62	100.00	-0.27	9.32	356	1244	629	39	0	0	0	0	2268	591.50	9.66	3.86	6.75	30.98	9.14	20.77	0.97	12.62	14.62
2/8/2022 09:29:20	0.51	1.22	1.39	1.35	0.00	0.00	0.00	2.36	4.47	100.00	-0.27	9.34	270	1224	624	41	0	0	0	0	2159	591.52	9.70	3.90	6.71	31.00	9.12	20.66	0.97	12.60	14.62
2/8/2022 09:29:23	0.80	1.16	1.17	1.48	0.00	0.00	0.00	2.38	4.61	100.00	-0.27	9.37	426	1160	525	44	0	0	0	0	2154	591.80	9.72	3.85	6.69	31.34	9.33	21.02	0.97	12.67	14.63
2/8/2022 09:29:26	0.74	1.24	1.38	1.38	0.00	0.00	0.00	2.33	4.73	100.00	-0.27	9.32	391	1236	619	41	0	0	0	0	2287	591.24	9.77	3.95	6.86	31.04	9.29	20.96	0.97	12.69	14.61
2/8/2022 09:29:29	0.79	1.14	1.30	1.49	0.00	0.00	0.00	2.33	4.72	100.00	-0.28	9.33	418	1136	585	45	0	0	0	0	2183	591.41	9.85	3.93	6.75	31.13	9.34	21.13	0.97	12.75	14.62
2/8/2022 09:29:32	0.59	1.32	1.55	1.26	0.00	0.00	0.00	2.34	4.71	100.00	-0.27	9.33	312	1322	696	38	0	0	0	0	2367	590.76	9.78	3.94	6.92	31.05	9.24	20.87	0.97	12.87	14.55
2/8/2022 09:29:34	0.48	1.36	1.58	1.25	0.00	0.00	0.00	2.37	4.66	100.00	-0.28	9.31	255	1356	711	37	0	0	0	0	2359	591.39	9.84	3.85	6.92	31.24	9.34	20.88	0.97	12.96	14.60
2/8/2022 09:29:37	0.86	1.17	1.17	1.45	0.00	0.00	0.00	2.36	4.66	100.00	-0.27	9.29	458	1173	528	44	0	0	0	0	2202	591.04	9.67	3.89	6.73	31.18	9.27	20.97	0.97	12.95	14.62
2/8/2022 09:29:40	0.69	1.29	1.43	1.26	0.00	0.00	0.00	2.35	4.67	100.00	-0.27	9.37	365	1289	643	38	0	0	0	0	2334	590.46	9.66	3.85	6.81	31.07	9.18	20.82	0.97	13.07	14.58
