Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
1/6/2022 07:33:10	0.06	1.25	0.16	0.38	0.00	0.00	0.00	2.75	1.86	45.65	-0.35	8.79	34	1253	74	11	0	0	0	0	1372	266.07	6.65	2.27	4.36	30.57	6.29	16.49	0.97	13.89	16.11
1/6/2022 07:33:15	0.00	1.23	0.09	0.41	0.00	0.00	0.00	2.82	1.73	44.38	-0.35	8.71	0	1231	41	12	0	0	0	0	1284	258.66	6.83	2.37	4.38	31.04	6.11	16.48	0.97	13.91	16.13
1/6/2022 07:33:18	0.00	1.32	0.39	0.14	0.00	0.00	0.00	2.78	1.85	47.35	-0.36	8.76	0	1325	174	4	0	0	0	0	1502	275.94	6.74	2.15	4.32	30.78	5.96	16.38	0.96	14.10	16.12
1/6/2022 07:33:20	0.00	1.33	0.16	0.26	0.00	0.00	0.00	2.78	1.75	58.56	-0.36	8.74	0	1335	70	8	0	0	0	0	1413	341.29	6.69	2.15	4.37	30.63	6.11	16.09	0.97	14.09	16.09
1/6/2022 07:33:23	0.00	1.25	0.10	0.35	0.00	0.00	0.00	2.80	1.70	51.93	-0.35	8.73	0	1253	45	10	0	0	0	0	1309	302.65	6.68	2.22	4.29	30.78	6.12	16.29	0.97	14.22	16.22
1/6/2022 07:33:26	0.00	1.33	0.38	0.16	0.00	0.00	0.00	2.81	1.87	42.33	-0.35	8.74	0	1333	170	5	0	0	0	0	1508	246.72	6.83	2.26	4.41	31.13	5.97	16.59	0.97	14.16	16.14
1/6/2022 07:33:29	0.00	1.31	0.30	0.20	0.00	0.00	0.00	2.76	1.81	51.49	-0.37	8.73	0	1310	135	6	0	0	0	0	1451	300.12	6.64	2.15	4.31	30.55	6.04	16.26	0.96	14.38	16.10
1/6/2022 07:33:31	0.00	1.35	0.29	0.25	0.00	0.00	0.00	2.74	1.90	30.90	-0.37	8.72	0	1353	131	8	0	0	0	0	1491	180.06	6.67	2.19	4.45	30.44	6.29	16.30	0.96	14.22	16.13
1/6/2022 07:33:34	0.04	1.36	0.00	0.34	0.00	0.00	0.00	2.81	1.74	32.67	-0.36	8.77	19	1360	1	10	0	0	0	0	1390	190.36	6.49	2.19	4.43	30.77	6.38	16.23	0.96	14.39	16.12
1/6/2022 07:33:37	0.03	1.42	0.11	0.27	0.00	0.00	0.00	2.84	1.83	31.61	-0.36	8.68	17	1423	49	8	0	0	0	0	1497	184.21	6.57	2.20	4.52	31.15	6.42	16.47	0.97	14.32	16.05
1/6/2022 07:33:40	0.00	1.35	0.09	0.32	0.00	0.00	0.00	2.77	1.75	27.16	-0.36	8.62	0	1349	39	9	0	0	0	0	1398	158.27	6.51	2.16	4.39	30.46	6.33	16.10	0.96	14.49	16.09
1/6/2022 07:33:42	0.00	1.42	0.24	0.12	0.00	0.00	0.00	2.76	1.78	30.78	-0.34	8.66	0	1421	108	4	0	0	0	0	1533	179.36	6.52	2.09	4.41	30.36	6.04	15.88	0.97	14.38	16.17
1/6/2022 07:33:45	0.00	1.44	0.37	0.12	0.00	0.00	0.00	2.77	1.93	31.42	-0.36	8.69	0	1438	167	4	0	0	0	0	1609	183.12	6.67	2.17	4.53	30.65	6.19	16.29	0.96	14.40	16.17
1/6/2022 07:33:48	0.01	1.45	0.27	0.15	0.00	0.00	0.00	2.72	1.89	40.02	-0.35	8.69	7	1454	123	5	0	0	0	0	1589	233.25	6.41	2.21	4.55	30.07	6.25	15.97	0.97	14.58	16.03
1/6/2022 07:33:51	0.00	1.35	0.19	0.26	0.00	0.00	0.00	2.66	1.79	34.98	-0.36	8.68	0	1350	85	8	0	0	0	0	1442	203.87	6.39	2.16	4.39	29.41	6.19	15.61	0.96	14.53	16.32
1/6/2022 07:33:54	0.00	1.43	0.30	0.14	0.00	0.00	0.00	2.72	1.87	35.73	-0.35	8.76	0	1432	134	4	0	0	0	0	1570	208.23	6.42	2.20	4.49	30.03	6.16	15.94	0.97	14.57	16.13
1/6/2022 07:33:56	0.00	1.38	0.00	0.31	0.00	0.00	0.00	2.73	1.69	35.65	-0.37	8.71	0	1381	2	9	0	0	0	0	1392	207.76	6.35	2.12	4.41	29.90	6.31	15.64	0.96	14.60	16.00
1/6/2022 07:33:59	0.00	1.33	0.14	0.32	0.00	0.00	0.00	2.72	1.79	29.63	-0.36	8.61	0	1332	62	10	0	0	0	0	1404	172.66	6.54	2.23	4.43	30.06	6.26	15.96	0.96	14.71	16.05
1/6/2022 07:34:02	0.00	1.50	0.23	0.13	0.00	0.00	0.00	2.63	1.86	21.90	-0.36	8.70	0	1501	106	4	0	0	0	0	1610	127.58	6.20	2.11	4.55	29.05	6.28	15.30	0.96	14.74	16.19
1/6/2022 07:34:05	0.02	1.42	0.13	0.21	0.00	0.00	0.00	2.65	1.78	25.20	-0.35	8.65	11	1422	58	6	0	0	0	0	1497	146.81	6.20	2.18	4.47	29.22	6.21	15.40	0.97	14.80	16.15
1/6/2022 07:34:07	0.00	1.35	0.09	0.28	0.00	0.00	0.00	2.69	1.71	29.67	-0.36	8.65	0	1350	38	8	0	0	0	0	1397	172.87	6.37	2.19	4.39	29.59	6.15	15.56	0.96	14.81	16.17
1/6/2022 07:34:10	0.00	1.39	0.38	0.06	0.00	0.00	0.00	2.66	1.83	33.95	-0.35	8.67	0	1391	173	2	0	0	0	0	1566	197.84	6.29	2.14	4.35	29.44	5.92	15.64	0.97	14.84	16.21
1/6/2022 07:34:13	0.00	1.34	0.20	0.29	0.00	0.00	0.00	2.74	1.84	34.11	-0.36	8.62	2	1340	92	9	0	0	0	0	1443	198.80	6.56	2.25	4.44	30.33	6.29	16.22	0.96	14.91	16.10
1/6/2022 07:34:18	0.00	1.35	0.06	0.33	0.00	0.00	0.00	2.73	1.73	27.95	-0.37	8.68	0	1347	26	10	0	0	0	0	1382	162.88	6.53	2.25	4.46	30.06	6.22	15.81	0.96	14.96	16.18
1/6/2022 07:34:20	0.00	1.45	0.13	0.20	0.00	0.00	0.00	2.76	1.78	25.28	-0.37	8.60	0	1451	58	6	0	0	0	0	1514	147.28	6.51	2.19	4.55	30.30	6.21	15.81	0.96	14.95	16.18
1/6/2022 07:34:23	0.00	1.47	0.08	0.23	0.00	0.00	0.00	2.82	1.77	25.78	-0.36	8.72	0	1465	35	7	0	0	0	0	1507	150.22	6.62	2.19	4.58	30.86	6.29	16.04	0.96	14.97	16.36
1/6/2022 07:34:26	0.00	1.28	0.08	0.33	0.00	0.00	0.00	2.65	1.69	32.46	-0.35	8.67	0	1279	34	10	0	0	0	0	1323	189.16	6.31	2.10	4.25	29.23	6.19	15.48	0.97	15.09	16.31
1/6/2022 07:34:29	0.00	1.33	0.07	0.34	0.00	0.00	0.00	2.75	1.73	24.08	-0.36	8.60	0	1329	29	10	0	0	0	0	1368	140.27	6.59	2.20	4.41	30.26	6.23	15.92	0.96	15.17	16.34
1/6/2022 07:34:31	0.00	1.33	0.00	0.39	0.00	0.00	0.00	2.81	1.72	27.46	-0.36	8.71	0	1333	0	12	0	0	0	0	1344	160.03	6.60	2.32	4.47	30.80	6.31	16.23	0.97	15.09	16.33
1/6/2022 07:34:34	0.00	1.28	0.02	0.33	0.00	0.00	0.00	2.74	1.63	31.28	-0.37	8.65	0	1284	10	10	0	0	0	0	1304	182.28	6.45	2.18	4.28	30.03	6.06	15.74	0.96	15.11	16.22
1/6/2022 07:34:37	0.00	1.37	0.16	0.20	0.00	0.00	0.00	2.74	1.74	27.16	-0.36	8.56	0	1373	74	6	0	0	0	0	1453	158.26	6.47	2.17	4.39	30.15	6.05	15.81	0.96	15.20	16.24
1/6/2022 07:34:40	0.00	1.34	0.06	0.29	0.00	0.00	0.00	2.82	1.69	32.26	-0.35	8.62	0	1336	27	9	0	0	0	0	1372	188.00	6.56	2.22	4.38	30.83	6.14	16.17	0.97	15.20	16.30
1/6/2022 07:34:43	0.00	1.39	0.15	0.18	0.00	0.00	0.00	2.69	1.73	30.57	-0.37	8.67	0	1393	69	5	0	0	0	0	1468	178.14	6.31	2.13	4.39	29.55	6.07	15.48	0.96	15.28	16.18
1/6/2022 07:34:45	0.00	1.40	0.25	0.15	0.00	0.00	0.00	2.72	1.79	32.57	-0.36	8.59	0	1398	111	4	0	0	0	0	1514	189.83	6.41	2.16	4.41	30.02	6.07	15.84	0.96	15.32	16.06
1/6/2022 07:34:48	0.00	1.32	0.00	0.41	0.00	0.00	0.00	2.89	1.73	32.59	-0.36	8.56	0	1320	0	12	0	0	0	0	1333	189.90	6.79	2.34	4.48	31.66	6.37	16.71	0.97	15.32	16.31
1/6/2022 07:34:51	0.00	1.37	0.00	0.35	0.00	0.00	0.00	2.79	1.72	35.16	-0.36	8.64	0	1366	0	11	0	0	0	0	1376	204.88	6.58	2.25	4.44	30.59	6.36	16.01	0.96	15.32	16.31
1/6/2022 07:34:54	0.00	1.40	0.00	0.32	0.00	0.00	0.00	2.79	1.72	32.49	-0.36	8.71	0	1398	0	10	0	0	0	0	1407	189.33	6.58	2.13	4.46	30.53	6.37	15.91	0.96	15.38	16.33
1/6/2022 07:34:56	0.00	1.39	0.16	0.29	0.00	0.00	0.00	2.86	1.83	33.22	-0.36	8.64	0	1391	70	9	0	0	0	0	1470	193.59	6.78	2.23	4.52	31.38	6.35	16.59	0.96	15.36	16.28
1/6/2022 07:34:59	0.00	1.44	0.15	0.22	0.00	0.00	0.00	2.80	1.82	32.54	-0.35	8.57	0	1444	67	7	0	0	0	0	1517	189.60	6.60	2.24	4.58	30.74	6.27	16.13	0.97	15.32	16.40
1/6/2022 07:35:02	0.00	1.27	0.02	0.46	0.00	0.00	0.00	2.84	1.75	40.77	-0.36	8.62	0	1272	11	14	0	0	0	0	1297	237.60	6.82	2.34	4.45	31.27	6.36	16.61	0.96	15.37	16.28
1/6/2022 07:35:05	0.00	1.43	0.22	0.19	0.00	0.00	0.00	2.82	1.84	31.86	-0.35	8.57	0	1432	100	6	0	0	0	0	1538	185.68	6.59	2.22	4.52	30.95	6.24	16.34	0.97	15.44	16.35
1/6/2022 07:35:07	0.00	1.39	0.14	0.27	0.00	0.00	0.00	2.74	1.80	29.20	-0.36	8.61	0	1394	61	8	0	0	0	0	1463	170.16	6.65	2.20	4.52	30.25	6.22	15.87	0.96	15.46	16.31
1/6/2022 07:35:10	0.00	1.34	0.03	0.34	0.00	0.00	0.00	2.75	1.71	25.79	-0.37	8.61	0	1342	12	10	0	0	0	0	1365	150.29	6.45	2.21	4.41	30.22	6.29	15.93	0.96	15.47	16.49
1/6/2022 07:35:13	0.00	1.44	0.30	0.17	0.00	0.00	0.00	2.82	1.91	36.02	-0.37	8.57	0	1442	133	5	0	0	0	0	1580	209.92	6.67	2.27	4.58	31.15	6.27	16.56	0.96	15.45	16.31
1/6/2022 07:35:18	0.00	1.29	0.10	0.39	0.00	0.00	0.00	2.87	1.77	39.84	-0.36	8.66	0	1289	44	12	0	0	0	0	1344	232.19	6.83	2.29	4.42	31.54	6.32	16.77	0.97	15.47	16.34
1/6/2022 07:35:20	0.00	1.42	0.30	0.19	0.00	0.00	0.00	2.84	1.90	36.47	-0.35	8.66	0	1417	133	6	0	0	0	0	1556	212.55	6.68	2.29	4.55	31.31	6.25	16.69	0.97	15.48	16.33
1/6/2022 07:35:23	0.00	1.36	0.31	0.22	0.00	0.00	0.00	2.81	1.88	41.12	-0.36	8.65	0	1357	138	7	0	0	0	0	1501	239.61	6.66	2.28	4.46	31.01	6.20	16.62	0.96	15.63	16.43
1/6/2022 07:35:26	0.00	1.34	0.27	0.29	0.00	0.00	0.00	2.84	1.91	35.99	-0.35	8.61	0	1343	123	9	0	0	0	0	1475	209.76	6.90	2.29	4.51	31.46	6.30	16.83	0.97	15.57	16.26
1/6/2022 07:35:29	0.00	1.37	0.34	0.25	0.00	0.00	0.00	2.92	1.95	39.96	-0.36	8.67	0	1369	152	7	0	0	0	0	1528	232.86	7.07	2.28	4.54	32.30	6.32	17.28	0.96	15.60	16.52
1/6/2022 07:35:31	0.00	1.30	0.19	0.40	0.00	0.00	0.00	2.89	1.89	34.08	-0.37	8.58	0	1296	85	12	0	0	0	0	1393	198.60	7.01	2.38	4.52	31.96	6.40	17.16	0.96	15.63	16.35
1/6/2022 07:35:34	0.00	1.47	0.23	0.24	0.00	0.00	0.00	2.87	1.95	36.57	-0.35	8.62	0	1475	103	7	0	0	0	0	1585	213.11	6.82	2.30	4.70	31.59	6.48	16.76	0.97	15.67	16.41
