Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/17/2022 09:50:24	2.22	1.97	1.03	0.07	0.00	0.00	0.00	1.79	5.28	73.67	-0.54	25.99	1177	1972	461	2	0	0	0	0	3613	429.41	6.83	2.91	6.94	25.22	8.30	16.91	0.95	29.21	29.38
8/17/2022 09:59:24	2.91	2.06	1.20	0.10	0.00	0.00	0.00	1.81	6.27	74.22	-0.54	26.00	1540	2065	540	3	0	0	0	0	4148	432.58	7.41	3.24	7.61	26.69	8.91	18.75	0.95	26.87	29.17
8/17/2022 09:59:29	2.87	2.18	1.27	0.00	0.00	0.00	0.00	1.82	6.32	74.24	-0.53	25.94	1520	2182	570	0	0	0	0	0	4272	432.72	7.38	3.18	7.75	26.67	9.00	18.64	0.95	27.05	29.16
8/17/2022 09:59:31	2.89	2.09	1.01	0.15	0.00	0.00	0.00	1.85	6.16	74.16	-0.52	25.93	1533	2095	457	5	0	0	0	0	4090	432.26	7.33	3.12	7.59	26.79	9.08	18.57	0.95	27.10	29.02
8/17/2022 09:59:34	2.61	1.98	1.14	0.20	0.00	0.00	0.00	1.84	5.93	74.12	-0.52	26.03	1385	1983	512	6	0	0	0	0	3886	432.02	7.43	3.18	7.39	26.58	8.85	18.44	0.95	27.18	28.99
8/17/2022 09:59:37	2.75	2.08	1.25	0.13	0.00	0.00	0.00	1.82	6.21	74.10	-0.53	26.03	1456	2080	562	4	0	0	0	0	4102	431.93	7.52	3.26	7.65	26.73	9.01	18.72	0.95	27.32	28.98
8/17/2022 09:59:40	2.76	2.12	1.41	0.03	0.00	0.00	0.00	1.80	6.33	74.00	-0.53	26.03	1462	2123	636	1	0	0	0	0	4222	431.33	7.56	3.16	7.67	26.66	9.03	18.80	0.95	27.24	29.07
8/17/2022 09:59:42	2.74	2.08	1.40	0.05	0.00	0.00	0.00	1.78	6.28	74.16	-0.53	26.04	1453	2085	630	2	0	0	0	0	4169	432.24	7.53	3.19	7.61	26.48	8.95	18.70	0.95	27.30	29.03
8/17/2022 09:59:45	2.92	2.12	1.37	0.01	0.00	0.00	0.00	1.81	6.42	74.01	-0.54	25.98	1546	2119	618	0	0	0	0	0	4283	431.36	7.52	3.13	7.66	26.88	9.01	18.99	0.95	27.38	29.11
