Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/22/2022 09:11:23	1.24	3.30	0.00	0.03	0.00	0.00	0.00	0.97	4.56	18.06	-0.51	24.94	658	3296	0	1	0	0	0	0	3955	105.22	4.34	2.42	8.48	14.67	10.40	8.39	0.95	28.69	31.21
6/22/2022 09:11:28	1.41	3.87	0.00	0.00	0.00	0.00	0.00	1.03	5.28	22.31	-0.53	24.83	747	3868	0	0	0	0	0	0	4615	130.00	4.50	2.59	9.47	15.68	12.08	8.95	0.95	28.70	31.11
6/22/2022 09:11:30	1.27	3.84	0.00	0.00	0.00	0.00	0.00	1.01	5.12	24.32	-0.52	24.71	676	3842	0	0	0	0	0	0	4518	141.70	4.48	2.55	9.50	15.27	11.81	8.60	0.95	28.97	31.15
6/22/2022 09:11:33	1.01	2.89	0.00	0.30	0.00	0.00	0.00	1.00	4.20	20.55	-0.52	24.63	536	2885	0	9	0	0	0	0	3430	119.71	4.46	2.39	7.59	14.97	10.33	8.76	0.95	29.07	31.11
6/22/2022 09:11:36	1.08	3.36	0.00	0.17	0.00	0.00	0.00	1.01	4.61	22.35	-0.53	24.54	573	3359	0	5	0	0	0	0	3938	130.20	4.47	2.58	8.50	15.13	11.11	8.65	0.95	29.04	31.21
6/22/2022 09:11:39	1.09	3.43	0.00	0.14	0.00	0.00	0.00	1.05	4.67	27.30	-0.52	24.42	580	3430	0	4	0	0	0	0	4014	159.08	4.59	2.69	8.78	15.52	11.03	8.82	0.95	29.10	31.17
6/22/2022 09:11:41	1.36	3.15	0.00	0.03	0.00	0.00	0.00	0.99	4.54	19.84	-0.52	24.36	719	3148	0	1	0	0	0	0	3868	115.56	4.37	2.44	8.28	14.91	10.03	8.68	0.95	29.16	31.19
6/22/2022 09:11:44	1.47	3.15	0.00	0.00	0.00	0.00	0.00	1.00	4.62	19.58	-0.52	24.31	781	3145	0	0	0	0	0	0	3926	114.06	4.39	2.35	8.43	15.13	9.87	8.88	0.95	29.23	31.18
6/22/2022 09:11:47	1.09	3.36	0.00	0.12	0.00	0.00	0.00	1.01	4.57	22.09	-0.52	24.25	576	3360	0	4	0	0	0	0	3940	128.73	4.37	2.59	8.48	15.03	10.92	8.52	0.95	29.38	31.08
6/22/2022 09:11:50	1.21	2.99	0.07	0.03	0.00	0.00	0.00	1.02	4.29	29.28	-0.53	24.24	640	2987	30	1	0	0	0	0	3658	170.60	4.43	2.39	7.98	15.07	9.56	8.73	0.95	29.35	31.21
6/22/2022 09:11:52	0.89	3.23	0.00	0.22	0.00	0.00	0.00	0.99	4.34	20.98	-0.52	24.13	472	3230	0	7	0	0	0	0	3708	122.24	4.29	2.49	8.03	14.69	11.03	8.29	0.95	29.29	31.32
6/22/2022 09:11:55	0.94	2.77	0.00	0.31	0.00	0.00	0.00	0.97	4.02	27.20	-0.52	24.15	497	2771	0	9	0	0	0	0	3278	158.47	4.23	2.37	7.18	14.49	10.19	8.44	0.95	29.45	31.23
6/22/2022 09:11:58	1.00	2.95	0.00	0.21	0.00	0.00	0.00	1.03	4.16	39.46	-0.51	24.07	529	2952	0	6	0	0	0	0	3487	229.97	4.55	2.44	7.94	15.00	9.87	8.63	0.95	29.58	31.17
6/22/2022 09:12:01	1.43	3.16	0.01	0.21	0.00	0.00	0.00	1.11	4.80	23.91	-0.53	24.12	757	3156	2	6	0	0	0	0	3922	139.33	4.97	2.64	8.66	16.49	10.45	9.87	0.95	29.52	31.25
6/22/2022 09:12:04	1.22	3.18	0.00	0.11	0.00	0.00	0.00	1.17	4.51	36.49	-0.54	24.09	646	3180	0	3	0	0	0	0	3829	212.65	4.74	2.48	8.34	16.67	10.37	9.55	0.95	29.58	31.27
6/22/2022 09:12:06	1.11	3.23	0.00	0.02	0.00	0.00	0.00	1.09	4.36	26.64	-0.52	24.04	588	3234	0	1	0	0	0	0	3822	155.24	4.50	2.44	8.40	15.60	10.08	8.73	0.95	29.64	31.19
6/22/2022 09:12:09	0.84	2.93	0.25	0.19	0.00	0.00	0.00	1.05	4.21	38.03	-0.53	24.07	444	2933	114	6	0	0	0	0	3496	221.64	4.89	2.51	8.04	15.38	9.80	9.03	0.95	29.76	31.17
6/22/2022 09:12:12	0.92	2.29	0.00	0.36	0.00	0.00	0.00	0.98	3.57	21.02	-0.53	24.04	486	2286	0	11	0	0	0	0	2783	122.44	4.31	2.29	6.53	14.39	8.80	8.56	0.95	29.74	31.19
6/22/2022 09:12:15	1.07	3.02	0.00	0.32	0.00	0.00	0.00	1.12	4.40	42.45	-0.53	24.09	565	3021	0	10	0	0	0	0	3595	247.37	4.94	2.58	8.25	16.24	10.36	9.50	0.95	29.90	31.22
6/22/2022 09:12:17	1.06	3.14	0.00	0.16	0.00	0.00	0.00	1.12	4.36	45.61	-0.53	24.05	561	3142	0	5	0	0	0	0	3709	265.84	4.70	2.50	8.29	16.00	10.29	9.11	0.95	29.84	31.24
6/22/2022 09:12:20	0.90	2.56	0.00	0.28	0.00	0.00	0.00	1.06	3.74	40.71	-0.51	24.00	479	2559	0	8	0	0	0	0	3046	237.24	4.47	2.38	7.10	15.21	9.14	8.80	0.95	29.82	31.33
6/22/2022 09:12:23	0.97	3.14	0.17	0.01	0.00	0.00	0.00	1.24	4.28	44.48	-0.51	24.06	515	3138	76	0	0	0	0	0	3729	259.22	4.85	2.56	8.29	17.11	9.81	9.63	0.95	29.92	31.28
6/22/2022 09:12:28	0.91	2.72	0.00	0.28	0.00	0.00	0.00	1.16	3.92	48.03	-0.52	23.95	484	2723	0	8	0	0	0	0	3215	279.92	4.71	2.50	7.49	16.25	9.53	9.33	0.95	29.93	31.28
6/22/2022 09:12:30	0.96	2.43	0.00	0.35	0.00	0.00	0.00	1.06	3.74	38.96	-0.52	23.96	508	2434	0	11	0	0	0	0	2953	227.05	4.63	2.43	7.09	15.24	8.89	9.02	0.95	29.96	31.27
6/22/2022 09:12:33	0.92	3.14	0.00	0.19	0.00	0.00	0.00	1.23	4.24	44.56	-0.52	23.92	485	3135	0	6	0	0	0	0	3626	259.70	4.87	2.61	8.30	16.97	10.25	9.51	0.95	29.97	31.28
6/22/2022 09:12:36	0.98	3.24	0.18	0.00	0.00	0.00	0.00	1.20	4.41	37.57	-0.53	23.98	521	3242	81	0	0	0	0	0	3844	218.97	4.85	2.59	8.55	16.75	10.01	9.45	0.95	30.11	31.37
6/22/2022 09:12:39	1.12	3.25	0.27	0.00	0.00	0.00	0.00	1.25	4.64	40.74	-0.53	23.97	595	3253	120	0	0	0	0	0	3969	237.45	5.11	2.65	8.67	17.62	10.17	10.20	0.95	30.09	31.27
6/22/2022 09:12:42	0.92	2.34	0.00	0.35	0.00	0.00	0.00	1.08	3.61	27.56	-0.53	23.95	486	2341	0	11	0	0	0	0	2838	160.57	4.57	2.43	6.83	15.43	8.71	9.08	0.95	30.07	31.31
6/22/2022 09:12:44	0.96	2.92	0.27	0.16	0.00	0.00	0.00	1.21	4.31	55.15	-0.53	23.93	507	2923	123	5	0	0	0	0	3558	321.46	5.13	2.48	8.01	17.09	9.82	10.03	0.95	30.15	31.36
6/22/2022 09:12:47	1.01	2.30	0.00	0.42	0.00	0.00	0.00	1.16	3.72	59.13	-0.52	24.00	533	2297	0	13	0	0	0	0	2842	344.62	4.79	2.48	6.83	16.34	8.85	9.76	0.95	30.13	31.33
6/22/2022 09:12:50	0.76	2.16	0.03	0.52	0.00	0.00	0.00	1.15	3.46	63.81	-0.52	23.94	401	2163	12	16	0	0	0	0	2592	371.92	4.94	2.48	6.68	16.12	8.59	9.59	0.95	30.20	31.25
6/22/2022 09:12:53	1.00	2.30	0.00	0.47	0.00	0.00	0.00	1.19	3.76	65.22	-0.53	23.93	527	2299	0	14	0	0	0	0	2840	380.12	4.98	2.45	6.93	16.71	8.95	10.02	0.95	30.30	31.38
6/22/2022 09:12:55	0.61	2.63	0.41	0.17	0.00	0.00	0.00	1.30	3.83	55.40	-0.53	23.94	323	2631	186	5	0	0	0	0	3146	322.87	5.24	2.55	7.42	17.71	9.06	10.27	0.95	30.18	31.30
6/22/2022 09:12:58	0.65	2.56	0.75	0.00	0.00	0.00	0.00	1.19	3.96	75.07	-0.52	23.88	343	2555	339	0	0	0	0	0	3238	437.57	5.19	2.55	7.28	16.91	8.60	10.19	0.95	30.30	31.30
6/22/2022 09:13:01	0.76	2.29	0.48	0.11	0.00	0.00	0.00	1.16	3.64	44.25	-0.52	24.03	404	2286	217	3	0	0	0	0	2910	257.90	4.87	2.44	6.70	16.38	8.13	9.81	0.95	30.40	31.34
6/22/2022 09:13:04	0.82	2.73	0.51	0.00	0.00	0.00	0.00	1.28	4.06	59.89	-0.52	23.95	433	2734	227	0	0	0	0	0	3394	349.07	5.16	2.48	7.82	17.64	8.73	10.34	0.95	30.40	31.29
6/22/2022 09:13:06	0.74	2.04	0.35	0.35	0.00	0.00	0.00	1.19	3.48	80.02	-0.53	23.94	390	2040	160	10	0	0	0	0	2600	466.42	5.07	2.40	6.36	16.74	8.10	10.17	0.95	30.43	31.27
6/22/2022 09:13:09	0.64	2.61	0.63	0.00	0.00	0.00	0.00	1.27	3.88	44.27	-0.52	23.98	338	2614	283	0	0	0	0	0	3235	258.00	5.17	2.52	7.33	17.48	8.68	10.26	0.95	30.50	31.29
6/22/2022 09:13:12	0.76	1.99	0.54	0.21	0.00	0.00	0.00	1.15	3.50	74.87	-0.53	23.92	405	1991	242	6	0	0	0	0	2644	436.42	4.99	2.39	6.21	16.46	7.75	10.15	0.95	30.38	31.30
6/22/2022 09:13:15	0.66	1.93	0.35	0.42	0.00	0.00	0.00	1.18	3.35	60.61	-0.52	23.86	349	1929	156	13	0	0	0	0	2446	353.26	5.09	2.58	6.27	16.54	7.86	10.10	0.95	30.46	31.36
6/22/2022 09:13:17	0.79	2.16	0.42	0.27	0.00	0.00	0.00	1.24	3.64	75.32	-0.54	23.94	417	2160	188	8	0	0	0	0	2773	439.02	5.17	2.55	6.64	17.33	8.21	10.51	0.95	30.42	31.30
6/22/2022 09:13:20	0.65	2.20	0.52	0.28	0.00	0.00	0.00	1.31	3.64	45.44	-0.54	23.92	344	2203	232	8	0	0	0	0	2787	264.84	5.40	2.60	6.74	18.03	8.33	10.87	0.95	30.59	31.49
6/22/2022 09:13:23	0.53	2.24	0.62	0.21	0.00	0.00	0.00	1.30	3.61	73.62	-0.52	24.00	283	2242	278	6	0	0	0	0	2810	429.13	5.36	2.68	6.80	17.79	8.21	10.68	0.95	30.57	31.42
6/22/2022 09:13:26	0.67	1.89	0.40	0.42	0.00	0.00	0.00	1.24	3.38	85.15	-0.53	23.99	356	1885	178	13	0	0	0	0	2432	496.31	5.25	2.45	6.14	17.25	7.93	10.57	0.95	30.64	31.41
6/22/2022 09:13:31	0.55	2.25	0.84	0.00	0.00	0.00	0.00	1.29	3.64	95.23	-0.53	23.86	293	2249	377	0	0	0	0	0	2920	555.11	5.30	2.46	6.68	17.83	7.87	10.75	0.95	30.57	31.38
6/22/2022 09:13:33	0.44	2.06	0.81	0.06	0.00	0.00	0.00	1.28	3.38	95.99	-0.52	23.97	235	2064	363	2	0	0	0	0	2664	559.51	5.21	2.55	6.29	17.54	7.52	10.55	0.95	30.70	31.46
6/22/2022 09:13:36	0.36	2.05	0.89	0.08	0.00	0.00	0.00	1.25	3.38	79.80	-0.53	23.96	192	2053	401	2	0	0	0	0	2648	465.13	5.28	2.48	6.25	17.31	7.60	10.49	0.95	30.63	31.34
6/22/2022 09:13:39	0.65	2.19	0.68	0.19	0.00	0.00	0.00	1.27	3.71	83.47	-0.52	23.98	347	2189	305	6	0	0	0	0	2846	486.53	5.40	2.55	6.67	17.79	8.21	10.88	0.95	30.73	31.40
6/22/2022 09:13:42	0.66	1.94	0.90	0.12	0.00	0.00	0.00	1.17	3.62	94.37	-0.54	23.92	348	1945	405	4	0	0	0	0	2701	550.05	5.30	2.47	6.18	16.96	7.58	10.74	0.95	30.70	31.42
6/22/2022 09:13:44	0.49	2.01	1.03	0.02	0.00	0.00	0.00	1.22	3.55	83.44	-0.53	23.95	260	2012	464	1	0	0	0	0	2737	486.36	5.33	2.54	6.24	17.24	7.46	10.74	0.95	30.69	31.40
6/22/2022 09:13:47	0.53	1.63	0.98	0.15	0.00	0.00	0.00	1.12	3.29	80.28	-0.53	23.92	279	1630	442	4	0	0	0	0	2356	467.95	5.20	2.36	5.52	16.35	6.92	10.50	0.95	30.81	31.38
