Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/23/2022 08:15:50	0.40	1.44	1.29	0.00	0.00	0.00	0.00	1.47	3.13	92.60	-0.48	19.59	211	1437	582	0	0	0	0	0	2229	539.76	5.74	2.38	5.11	19.75	6.25	12.43	0.95	23.27	26.19
5/23/2022 08:15:55	0.67	1.41	1.16	0.00	0.00	0.00	0.00	1.45	3.24	92.32	-0.48	19.51	353	1409	523	0	0	0	0	0	2285	538.13	5.61	2.40	5.16	19.71	6.12	12.51	0.95	23.42	26.20
5/23/2022 08:15:57	0.60	1.38	1.21	0.00	0.00	0.00	0.00	1.45	3.19	91.67	-0.47	19.62	321	1375	546	0	0	0	0	0	2242	534.35	5.64	2.33	5.05	19.64	6.10	12.49	0.95	23.36	26.10
5/23/2022 08:16:00	0.55	1.47	1.14	0.00	0.00	0.00	0.00	1.49	3.17	91.41	-0.47	19.54	293	1475	513	0	0	0	0	0	2281	532.80	5.64	2.27	5.14	19.97	6.35	12.46	0.95	23.36	26.04
5/23/2022 08:16:03	0.57	1.45	1.16	0.00	0.00	0.00	0.00	1.48	3.18	91.04	-0.48	19.59	300	1453	521	0	0	0	0	0	2274	530.66	5.63	2.35	5.11	19.88	6.30	12.46	0.95	23.47	26.12
5/23/2022 08:16:06	1.05	1.43	0.83	0.00	0.00	0.00	0.00	1.48	3.31	90.91	-0.48	19.59	557	1433	373	0	0	0	0	0	2363	529.91	5.34	2.28	5.18	19.96	6.14	12.54	0.95	23.54	25.96
5/23/2022 08:16:08	0.99	1.46	0.85	0.00	0.00	0.00	0.00	1.47	3.30	91.17	-0.48	19.56	525	1460	381	0	0	0	0	0	2366	531.42	5.31	2.39	5.14	19.75	6.25	12.38	0.95	23.56	26.13
5/23/2022 08:16:11	1.01	1.33	0.84	0.10	0.00	0.00	0.00	1.46	3.28	91.69	-0.48	19.55	534	1334	377	3	0	0	0	0	2248	534.44	5.42	2.47	5.03	19.77	6.18	12.58	0.95	23.82	26.10
5/23/2022 08:16:14	0.88	1.37	0.81	0.10	0.00	0.00	0.00	1.48	3.17	92.36	-0.49	19.62	468	1375	366	3	0	0	0	0	2212	538.38	5.40	2.45	5.04	19.84	6.21	12.43	0.95	23.71	26.09
