Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
4/26/2022 09:26:20	0.00	4.72	0.00	0.09	0.00	0.00	0.00	1.25	4.81	4.74	-0.42	17.90	0	4725	0	3	0	0	0	0	4727	27.56	3.81	2.52	8.72	16.74	16.14	7.64	0.96	19.99	22.41
4/26/2022 09:26:25	0.00	4.98	0.00	0.04	0.00	0.00	0.00	1.31	5.02	4.33	-0.42	17.86	0	4977	0	1	0	0	0	0	4979	25.17	4.03	2.71	9.63	17.32	16.20	7.99	0.96	20.10	22.44
4/26/2022 09:26:27	0.00	4.53	0.00	0.16	0.00	0.00	0.00	1.29	4.69	7.29	-0.42	17.81	0	4526	0	5	0	0	0	0	4531	42.44	3.81	2.60	8.47	17.16	15.80	8.11	0.96	20.21	22.45
4/26/2022 09:26:30	0.00	4.12	0.00	0.23	0.00	0.00	0.00	1.21	4.35	4.47	-0.43	17.81	0	4120	0	7	0	0	0	0	4127	25.99	3.71	2.46	7.74	16.35	14.91	7.83	0.96	20.19	22.36
4/26/2022 09:26:33	0.00	4.61	0.00	0.18	0.00	0.00	0.00	1.18	4.79	5.83	-0.43	17.78	0	4606	0	6	0	0	0	0	4611	33.89	3.66	2.53	8.59	16.14	16.11	7.62	0.96	20.15	22.38
4/26/2022 09:26:36	0.07	4.88	0.00	0.00	0.00	0.00	0.00	1.27	4.95	5.48	-0.43	17.81	37	4875	0	0	0	0	0	0	4912	31.84	3.74	2.48	9.25	16.93	16.05	7.82	0.96	20.32	22.43
4/26/2022 09:26:38	0.00	4.99	0.00	0.05	0.00	0.00	0.00	1.32	5.04	4.99	-0.44	17.73	0	4989	0	2	0	0	0	0	4991	28.99	3.89	2.63	9.27	17.48	16.69	8.01	0.96	20.38	22.46
4/26/2022 09:26:41	0.07	4.27	0.00	0.11	0.00	0.00	0.00	1.18	4.46	3.98	-0.43	17.72	38	4275	0	3	0	0	0	0	4317	23.10	3.64	2.30	8.16	15.94	14.82	7.58	0.96	20.47	22.44
4/26/2022 09:26:44	0.00	4.22	0.00	0.12	0.00	0.00	0.00	1.19	4.34	4.80	-0.45	17.75	0	4220	0	4	0	0	0	0	4223	27.93	3.57	2.32	7.95	15.96	14.75	7.51	0.96	20.45	22.49
