Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/19/2022 00:00:00	1.09	1.47	2.17	0.30	0.00	0.00	0.00	0.88	5.04	68.17	-0.52	22.73	580	1469	978	9	0	0	0	0	3037	397.36	6.88	2.87	6.29	16.95	7.84	13.60	0.95	28.83	29.45
8/19/2022 07:12:00	1.10	1.36	2.16	0.38	0.00	0.00	0.00	0.88	5.00	61.72	-10.21	22.38	584	1363	970	11	0	0	0	0	2928	359.71	6.96	2.83	6.13	17.01	7.82	13.74	0.00	28.78	29.43
8/19/2022 08:24:10	1.54	2.47	1.76	0.21	0.00	0.00	0.00	1.15	5.98	55.99	-0.51	22.93	815	2474	792	6	0	0	0	0	4087	326.31	7.18	3.24	8.34	19.76	9.89	14.60	0.95	25.16	27.41
8/19/2022 08:24:15	1.76	2.06	1.68	0.31	0.00	0.00	0.00	1.11	5.81	67.16	-0.53	22.81	932	2060	755	9	0	0	0	0	3756	391.45	7.05	3.15	7.62	19.45	9.18	14.78	0.95	25.13	27.47
8/19/2022 08:24:17	1.61	2.21	1.88	0.12	0.00	0.00	0.00	1.13	5.82	57.88	-0.52	22.84	852	2207	847	4	0	0	0	0	3910	337.35	7.03	3.16	7.76	19.56	9.11	14.68	0.95	25.20	27.51
8/19/2022 08:24:20	2.04	2.22	1.42	0.21	0.00	0.00	0.00	1.10	5.89	60.25	-0.51	22.76	1083	2215	641	6	0	0	0	0	3945	351.18	6.64	3.10	7.79	19.18	9.23	14.37	0.95	25.28	27.57
8/19/2022 08:24:23	1.56	2.27	1.99	0.00	0.00	0.00	0.00	1.16	5.82	72.59	-0.52	22.87	829	2270	895	0	0	0	0	0	3994	423.09	7.02	3.11	7.87	19.78	8.93	14.73	0.95	25.31	27.41
8/19/2022 08:24:26	1.84	2.16	1.81	0.13	0.00	0.00	0.00	1.10	5.94	73.02	-0.52	22.84	977	2157	813	4	0	0	0	0	3951	425.63	6.95	3.10	7.69	19.44	9.09	14.79	0.95	25.37	27.46
8/19/2022 08:24:28	1.98	2.34	1.56	0.21	0.00	0.00	0.00	1.13	6.09	74.62	-0.52	22.81	1049	2336	704	6	0	0	0	0	4095	434.93	6.94	3.23	8.13	19.71	9.58	14.79	0.95	25.47	27.38
8/19/2022 08:24:31	1.87	2.31	1.79	0.00	0.00	0.00	0.00	1.12	5.98	74.40	-0.51	22.82	993	2311	806	0	0	0	0	0	4110	433.67	6.81	2.98	7.86	19.55	9.15	14.62	0.95	25.56	27.46
8/19/2022 08:24:34	1.40	2.41	2.00	0.00	0.00	0.00	0.00	1.14	5.81	71.64	-0.52	22.83	740	2410	902	0	0	0	0	0	4052	417.56	7.03	3.17	8.11	19.53	9.20	14.41	0.95	25.49	27.43
8/19/2022 08:24:37	1.94	2.05	1.59	0.22	0.00	0.00	0.00	1.11	5.79	74.71	-0.52	22.82	1027	2049	714	7	0	0	0	0	3797	435.49	6.80	3.09	7.50	19.39	8.94	14.66	0.95	25.75	27.70
8/19/2022 08:24:39	2.03	1.98	1.40	0.35	0.00	0.00	0.00	1.12	5.75	76.37	-0.52	22.76	1075	1977	630	10	0	0	0	0	3693	445.12	6.79	3.14	7.46	19.49	8.99	14.73	0.95	25.73	27.56
8/19/2022 08:24:42	1.77	2.13	1.69	0.17	0.00	0.00	0.00	1.14	5.76	74.90	-0.51	22.82	936	2135	758	5	0	0	0	0	3835	436.56	6.88	3.11	7.61	19.60	9.01	14.65	0.95	25.84	27.58
