Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
2/11/2022 08:57:24	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00	2.63	96.90	-0.37	13.47	0	2631	0	0	0	0	0	0	2631	564.81	0.51	0.64	5.86	1.67	9.55	0.46	0.96	14.77	16.97
2/11/2022 08:57:29	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	2.61	96.62	-0.37	13.53	0	2612	0	0	0	0	0	0	2612	563.21	0.51	0.65	5.85	1.70	9.46	0.58	0.96	14.95	16.97
2/11/2022 08:57:31	0.00	2.64	0.00	0.00	0.00	0.00	0.00	0.00	2.64	96.87	-0.37	13.29	0	2638	0	0	0	0	0	0	2638	564.63	0.63	0.78	5.89	1.67	9.50	0.42	0.96	14.93	17.11
2/11/2022 08:57:34	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	2.58	96.84	-0.36	13.57	0	2576	0	0	0	0	0	0	2576	564.49	0.51	0.70	5.78	1.77	9.33	0.41	0.96	14.98	16.96
2/11/2022 08:57:37	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.00	2.60	96.90	-0.36	13.53	0	2600	0	0	0	0	0	0	2600	564.80	0.51	0.72	5.83	1.68	9.41	0.50	0.96	14.97	17.09
2/11/2022 08:57:40	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.72	-0.36	13.45	0	2595	0	0	0	0	0	0	2595	563.77	0.57	0.70	5.74	1.62	9.48	0.44	0.96	15.05	16.98
2/11/2022 08:57:42	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.00	2.60	96.71	-0.36	13.50	0	2602	0	0	0	0	0	0	2602	563.73	0.53	0.66	5.79	1.66	9.47	0.43	0.96	15.19	16.87
2/11/2022 08:57:45	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	2.58	96.62	-0.37	13.55	0	2577	0	0	0	0	0	0	2577	563.22	0.47	0.66	5.81	1.67	9.34	0.43	0.96	15.29	17.01
2/11/2022 08:57:48	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.00	2.60	96.51	-0.35	13.48	0	2603	0	0	0	0	0	0	2603	562.56	0.57	0.65	5.88	1.74	9.37	0.44	0.97	15.23	17.04
2/11/2022 08:57:51	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.00	2.60	96.76	-0.36	13.55	0	2602	0	0	0	0	0	0	2602	564.02	0.56	0.59	5.90	1.64	9.38	0.45	0.96	15.43	16.95
2/11/2022 08:57:53	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.31	-0.36	13.50	0	2587	0	0	0	0	0	0	2587	561.38	0.52	0.69	5.68	1.69	9.50	0.45	0.97	15.32	17.05
2/11/2022 08:57:56	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	2.58	96.61	-0.36	13.53	0	2578	0	0	0	0	0	0	2578	563.14	0.45	0.69	5.85	1.65	9.32	0.43	0.96	15.43	17.08
2/11/2022 08:57:59	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.51	-0.36	13.51	0	2593	0	0	0	0	0	0	2593	562.56	0.59	0.68	5.76	1.68	9.43	0.47	0.96	15.48	17.04
2/11/2022 08:58:02	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	2.61	96.50	-0.36	13.47	0	2608	0	0	0	0	0	0	2608	562.48	0.52	0.70	5.85	1.69	9.43	0.48	0.96	15.43	17.04
2/11/2022 08:58:04	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.22	-0.37	13.53	0	2589	0	0	0	0	0	0	2589	560.88	0.52	0.73	5.77	1.72	9.41	0.41	0.96	15.54	16.90
2/11/2022 08:58:07	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	2.58	96.56	-0.37	13.42	0	2580	0	0	0	0	0	0	2580	562.87	0.52	0.62	5.76	1.65	9.41	0.46	0.96	15.52	17.11
2/11/2022 08:58:10	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00	2.63	96.47	-0.35	13.53	0	2628	0	0	0	0	0	0	2628	562.32	0.54	0.68	5.85	1.69	9.52	0.46	0.97	15.65	17.03
2/11/2022 08:58:13	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.46	-0.37	13.48	0	2591	0	0	0	0	0	0	2591	562.27	0.56	0.64	5.71	1.75	9.48	0.47	0.96	15.76	16.97
2/11/2022 08:58:15	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.33	-0.34	13.45	0	2585	0	0	0	0	0	0	2585	561.52	0.50	0.71	5.75	1.73	9.41	0.45	0.97	15.74	17.02
2/11/2022 08:58:18	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	2.61	96.34	-0.36	13.50	0	2611	0	0	0	0	0	0	2611	561.55	0.53	0.62	5.84	1.67	9.47	0.50	0.96	15.79	17.01
2/11/2022 08:58:21	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	95.97	-0.37	13.55	0	2594	0	0	0	0	0	0	2594	559.41	0.52	0.64	5.73	1.77	9.48	0.47	0.96	15.77	17.02
2/11/2022 08:58:24	0.00	2.57	0.00	0.00	0.00	0.00	0.00	0.00	2.57	96.21	-0.38	13.61	0	2569	0	0	0	0	0	0	2569	560.83	0.56	0.62	5.73	1.62	9.38	0.42	0.96	15.92	17.10
2/11/2022 08:58:26	0.00	2.62	0.00	0.00	0.00	0.00	0.00	0.00	2.62	96.73	-0.36	13.47	0	2625	0	0	0	0	0	0	2625	563.84	0.47	0.68	5.86	1.58	9.54	0.54	0.96	16.01	16.95
2/11/2022 08:58:31	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	2.61	96.81	-0.37	13.49	0	2615	0	0	0	0	0	0	2615	564.32	0.49	0.68	5.88	1.62	9.46	0.36	0.96	16.05	16.98
2/11/2022 08:58:34	0.00	2.57	0.00	0.00	0.00	0.00	0.00	0.00	2.57	96.73	-0.35	13.57	0	2574	0	0	0	0	0	0	2574	563.85	0.54	0.62	5.75	1.70	9.38	0.47	0.97	16.09	17.10
2/11/2022 08:58:37	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	2.61	96.82	-0.36	13.62	0	2610	0	0	0	0	0	0	2610	564.35	0.54	0.66	5.89	1.67	9.41	0.48	0.96	16.16	17.29
2/11/2022 08:58:40	0.00	2.62	0.00	0.00	0.00	0.00	0.00	0.00	2.62	96.71	-0.35	13.54	0	2623	0	0	0	0	0	0	2623	563.73	0.50	0.62	5.88	1.68	9.49	0.41	0.97	16.16	17.14
2/11/2022 08:58:42	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.00	2.60	96.76	-0.36	13.59	0	2599	0	0	0	0	0	0	2599	564.01	0.47	0.68	5.79	1.65	9.46	0.50	0.96	16.12	17.25
2/11/2022 08:58:45	0.00	2.57	0.00	0.00	0.00	0.00	0.00	0.00	2.57	96.44	-0.37	13.61	0	2566	0	0	0	0	0	0	2566	562.14	0.58	0.69	5.71	1.69	9.36	0.38	0.96	16.07	17.10
2/11/2022 08:58:48	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.47	-0.37	13.60	0	2590	0	0	0	0	0	0	2590	562.30	0.53	0.68	5.75	1.70	9.44	0.51	0.96	16.14	17.13
2/11/2022 08:58:51	0.00	2.57	0.00	0.00	0.00	0.00	0.00	0.00	2.57	96.61	-0.36	13.51	0	2566	0	0	0	0	0	0	2566	563.14	0.41	0.65	5.74	1.70	9.37	0.39	0.96	16.16	17.02
2/11/2022 08:58:53	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.60	-0.37	13.61	0	2591	0	0	0	0	0	0	2591	563.08	0.58	0.68	5.74	1.67	9.45	0.40	0.96	16.20	17.10
2/11/2022 08:58:56	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	2.59	96.47	-0.37	13.73	0	2591	0	0	0	0	0	0	2591	562.33	0.55	0.68	5.77	1.61	9.44	0.46	0.96	16.31	17.15
2/11/2022 08:58:59	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	2.61	96.49	-0.35	13.60	0	2607	0	0	0	0	0	0	2607	562.41	0.54	0.66	5.81	1.80	9.44	0.49	0.97	16.30	17.08
