Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
1/11/2022 08:21:29	0.23	1.37	0.09	0.42	0.00	0.00	0.00	2.42	2.11	13.86	-0.26	8.68	121	1372	42	12	0	0	0	0	1547	80.74	6.23	2.10	4.60	27.47	6.73	14.98	0.97	12.66	14.57
1/11/2022 08:21:34	0.35	1.43	0.00	0.33	0.00	0.00	0.00	2.58	2.11	18.06	-0.25	8.67	188	1430	0	10	0	0	0	0	1628	105.18	6.24	2.20	4.65	29.00	6.63	15.63	0.98	12.71	14.49
1/11/2022 08:21:37	0.19	1.41	0.00	0.33	0.00	0.00	0.00	2.57	1.94	18.41	-0.24	8.57	102	1415	0	10	0	0	0	0	1527	107.23	6.18	2.15	4.57	28.62	6.52	15.26	0.98	12.87	14.50
1/11/2022 08:21:40	0.20	1.44	0.09	0.33	0.00	0.00	0.00	2.70	2.06	25.75	-0.26	8.57	106	1441	39	10	0	0	0	0	1596	150.04	6.50	2.24	4.70	30.03	6.63	16.13	0.97	12.77	14.55
1/11/2022 08:21:43	0.18	1.53	0.00	0.31	0.00	0.00	0.00	2.53	2.02	25.76	-0.25	8.58	97	1528	0	9	0	0	0	0	1635	150.11	6.08	2.17	4.72	28.24	6.77	14.99	0.98	12.86	14.54
1/11/2022 08:21:45	0.11	1.41	0.05	0.32	0.00	0.00	0.00	2.60	1.89	21.75	-0.25	8.56	60	1409	24	10	0	0	0	0	1502	126.70	6.24	2.28	4.60	28.88	6.39	15.37	0.98	12.90	14.60
1/11/2022 08:21:48	0.30	1.47	0.07	0.29	0.00	0.00	0.00	2.72	2.14	17.59	-0.26	8.61	161	1472	32	9	0	0	0	0	1674	102.48	6.50	2.21	4.74	30.32	6.68	16.32	0.97	12.90	14.50
1/11/2022 08:21:51	0.00	1.29	0.12	0.52	0.00	0.00	0.00	2.73	1.93	19.76	-0.25	8.50	0	1294	53	16	0	0	0	0	1363	115.13	6.82	2.38	4.60	30.39	6.66	16.45	0.98	12.96	14.48
1/11/2022 08:21:54	0.13	1.30	0.20	0.31	0.00	0.00	0.00	2.61	1.94	18.02	-0.24	8.60	69	1297	89	9	0	0	0	0	1465	104.97	6.41	2.20	4.40	29.25	6.28	15.82	0.98	13.15	14.58
