Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/24/2022 10:21:30	1.25	2.29	0.15	0.72	0.00	0.00	0.00	1.22	4.41	58.26	-0.52	23.78	665	2285	68	22	0	0	0	0	3039	339.58	5.82	2.78	7.48	18.09	9.67	11.65	0.95	27.18	29.97
6/24/2022 10:21:35	1.08	2.16	1.05	0.02	0.00	0.00	0.00	1.09	4.30	85.41	-0.53	23.78	571	2162	470	1	0	0	0	0	3203	497.82	5.42	2.58	6.77	16.83	8.08	11.18	0.95	27.22	30.08
6/24/2022 10:21:38	1.04	2.47	1.01	0.00	0.00	0.00	0.00	1.18	4.52	80.52	-0.52	23.76	551	2470	456	0	0	0	0	0	3477	469.31	5.62	2.74	7.43	17.72	8.68	11.48	0.95	27.14	30.10
6/24/2022 10:21:41	1.18	2.51	1.00	0.01	0.00	0.00	0.00	1.13	4.70	67.32	-0.52	23.70	628	2507	451	0	0	0	0	0	3586	392.35	5.61	2.68	7.51	17.47	8.91	11.49	0.95	27.39	30.04
6/24/2022 10:21:44	0.91	2.24	1.09	0.22	0.00	0.00	0.00	1.19	4.46	78.50	-0.52	23.71	481	2241	491	7	0	0	0	0	3219	457.57	6.00	2.80	7.18	18.04	8.71	11.99	0.95	27.43	29.99
6/24/2022 10:21:46	1.03	2.29	1.07	0.06	0.00	0.00	0.00	1.16	4.45	63.24	-0.53	23.77	546	2293	481	2	0	0	0	0	3322	368.59	5.69	2.74	7.14	17.66	8.46	11.64	0.95	27.43	30.07
6/24/2022 10:21:49	0.82	2.32	1.22	0.11	0.00	0.00	0.00	1.24	4.47	86.48	-0.52	23.71	433	2321	547	3	0	0	0	0	3304	504.07	6.05	2.81	7.26	18.49	8.67	12.14	0.95	27.55	29.95
6/24/2022 10:21:52	1.21	1.85	0.59	0.57	0.00	0.00	0.00	1.09	4.22	64.48	-0.53	23.79	642	1855	267	17	0	0	0	0	2780	375.84	5.71	2.72	6.62	17.01	8.46	11.59	0.95	27.54	30.03
6/24/2022 10:21:55	1.26	2.32	1.11	0.00	0.00	0.00	0.00	1.17	4.70	83.47	-0.53	23.75	669	2324	498	0	0	0	0	0	3491	486.54	5.73	2.82	7.28	17.99	8.47	12.05	0.95	27.65	29.97
6/24/2022 10:21:57	1.30	2.09	0.93	0.27	0.00	0.00	0.00	1.16	4.58	80.01	-0.53	23.77	688	2091	418	8	0	0	0	0	3205	466.34	5.86	2.83	7.02	18.01	8.48	12.25	0.95	27.67	30.09
6/24/2022 10:22:00	1.27	1.61	0.83	0.44	0.00	0.00	0.00	1.03	4.15	80.61	-0.53	23.67	673	1611	374	13	0	0	0	0	2671	469.86	5.63	2.63	6.09	16.65	7.75	11.70	0.95	27.80	30.02
6/24/2022 10:22:03	1.39	1.60	0.91	0.40	0.00	0.00	0.00	1.08	4.30	88.64	-0.52	23.68	738	1604	408	12	0	0	0	0	2762	516.68	5.74	2.72	6.15	17.30	7.68	12.23	0.95	27.84	29.82
6/24/2022 10:22:06	0.98	1.83	1.46	0.04	0.00	0.00	0.00	1.09	4.31	94.32	-0.53	23.69	521	1827	656	1	0	0	0	0	3006	549.81	5.83	2.69	6.31	17.34	7.51	12.08	0.95	27.97	30.08
6/24/2022 10:22:08	1.12	1.56	1.01	0.42	0.00	0.00	0.00	1.12	4.10	97.00	-0.53	23.63	594	1557	454	12	0	0	0	0	2618	565.39	5.87	2.76	6.04	17.51	7.56	12.24	0.95	27.94	30.03
6/24/2022 10:22:11	1.10	1.74	1.11	0.22	0.00	0.00	0.00	1.07	4.17	79.74	-0.52	23.66	584	1744	498	7	0	0	0	0	2832	464.80	5.65	2.61	6.18	16.90	7.63	11.72	0.95	28.02	30.04
6/24/2022 10:22:14	1.24	1.47	0.79	0.47	0.00	0.00	0.00	1.04	3.97	82.43	-0.53	23.65	659	1467	355	14	0	0	0	0	2494	480.49	5.54	2.63	5.81	16.56	7.41	11.62	0.95	28.06	30.14
6/24/2022 10:22:17	0.93	1.72	1.14	0.19	0.00	0.00	0.00	1.10	3.98	100.00	-0.52	23.71	492	1724	511	6	0	0	0	0	2732	587.02	5.62	2.59	6.06	16.99	7.45	11.57	0.95	28.00	30.10
6/24/2022 10:22:19	1.22	1.67	0.86	0.28	0.00	0.00	0.00	1.12	4.03	96.04	-0.52	23.73	649	1665	388	8	0	0	0	0	2710	559.82	5.50	2.63	6.03	17.23	7.44	11.74	0.95	28.14	30.24
6/24/2022 10:22:22	0.74	1.77	1.19	0.15	0.00	0.00	0.00	1.10	3.85	100.00	-0.52	23.77	391	1767	536	5	0	0	0	0	2698	584.76	5.59	2.62	6.08	16.80	7.39	11.29	0.95	28.17	30.09
6/24/2022 10:22:25	1.07	1.75	0.89	0.22	0.00	0.00	0.00	1.06	3.93	87.72	-0.52	23.76	568	1753	398	7	0	0	0	0	2726	511.31	5.33	2.50	6.05	16.42	7.51	11.08	0.95	28.26	30.03
6/24/2022 10:22:28	0.84	1.72	1.23	0.01	0.00	0.00	0.00	1.07	3.80	91.81	-0.52	23.73	448	1716	554	0	0	0	0	0	2719	535.16	5.35	2.37	5.77	16.49	7.09	11.10	0.95	28.37	30.08
6/24/2022 10:22:30	1.09	1.52	0.91	0.28	0.00	0.00	0.00	1.06	3.80	95.59	-0.53	23.77	578	1523	408	8	0	0	0	0	2517	557.18	5.36	2.50	5.66	16.48	7.12	11.29	0.95	28.28	30.18
6/24/2022 10:22:33	0.83	1.61	0.82	0.33	0.00	0.00	0.00	1.11	3.58	96.79	-0.52	23.76	438	1606	368	10	0	0	0	0	2422	564.16	5.37	2.57	5.79	16.63	7.25	11.01	0.95	28.38	30.17
6/24/2022 10:22:38	0.95	1.56	1.04	0.22	0.00	0.00	0.00	1.04	3.77	96.89	-0.53	23.74	503	1563	469	7	0	0	0	0	2542	564.79	5.38	2.61	5.75	16.29	7.02	11.17	0.95	28.35	30.12
6/24/2022 10:22:41	0.94	1.40	0.77	0.33	0.00	0.00	0.00	1.03	3.43	97.87	-0.53	23.78	496	1398	347	10	0	0	0	0	2251	570.46	5.10	2.50	5.36	15.77	6.74	10.64	0.95	28.38	30.30
6/24/2022 10:22:44	0.82	1.54	0.99	0.21	0.00	0.00	0.00	1.06	3.55	100.00	-0.53	23.86	433	1536	444	6	0	0	0	0	2419	597.12	5.25	2.53	5.58	16.16	6.86	10.85	0.95	28.48	30.03
6/24/2022 10:22:46	1.35	1.59	0.69	0.23	0.00	0.00	0.00	1.06	3.85	93.84	-0.52	23.78	713	1589	309	7	0	0	0	0	2618	546.98	5.06	2.58	5.78	16.37	7.02	11.10	0.95	28.64	30.04
6/24/2022 10:22:49	0.85	1.51	1.29	0.06	0.00	0.00	0.00	1.02	3.72	100.00	-0.54	23.77	452	1514	581	2	0	0	0	0	2548	613.53	5.34	2.51	5.52	16.09	6.66	11.11	0.95	28.60	30.14
6/24/2022 10:22:52	0.53	1.49	1.46	0.26	0.00	0.00	0.00	1.06	3.74	98.93	-0.52	23.81	280	1490	658	8	0	0	0	0	2436	576.66	5.92	2.50	5.62	16.69	7.19	11.63	0.95	28.53	30.12
6/24/2022 10:22:55	1.07	1.63	1.14	0.07	0.00	0.00	0.00	1.06	3.91	100.00	-0.53	23.81	569	1629	511	2	0	0	0	0	2711	609.18	5.33	2.53	5.78	16.55	6.97	11.35	0.95	28.67	30.25
6/24/2022 10:22:57	1.08	1.60	0.82	0.30	0.00	0.00	0.00	1.14	3.79	100.00	-0.52	23.75	571	1600	367	9	0	0	0	0	2546	613.63	5.43	2.62	5.85	17.20	7.25	11.53	0.95	28.64	30.20
6/24/2022 10:23:00	0.95	1.67	1.18	0.03	0.00	0.00	0.00	1.08	3.82	94.53	-0.53	23.87	502	1666	530	1	0	0	0	0	2698	551.03	5.32	2.51	5.77	16.63	6.93	11.24	0.95	28.64	30.17
6/24/2022 10:23:03	0.89	1.61	1.39	0.06	0.00	0.00	0.00	1.06	3.95	100.00	-0.52	23.78	471	1608	626	2	0	0	0	0	2707	617.29	5.61	2.56	5.78	16.74	6.99	11.64	0.95	28.59	30.14
6/24/2022 10:23:06	0.76	1.53	1.02	0.15	0.00	0.00	0.00	1.12	3.47	94.23	-0.53	23.74	405	1529	460	5	0	0	0	0	2398	549.25	5.28	2.50	5.49	16.67	6.73	11.03	0.95	28.72	30.32
6/24/2022 10:23:08	0.77	1.62	1.12	0.00	0.00	0.00	0.00	1.08	3.52	100.00	-0.52	23.72	406	1624	506	0	0	0	0	0	2537	605.87	5.12	2.41	5.53	16.22	6.66	10.71	0.95	28.73	30.20
6/24/2022 10:23:11	0.87	1.53	1.04	0.01	0.00	0.00	0.00	1.02	3.45	100.00	-0.54	23.81	461	1534	468	0	0	0	0	0	2463	592.87	4.92	2.28	5.30	15.61	6.50	10.39	0.95	28.75	30.25
