Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
3/15/2022 10:45:41	1.88	1.34	0.75	0.43	0.00	0.00	0.00	1.77	4.40	32.26	-0.32	15.04	994	1344	338	13	0	0	0	0	2689	187.96	6.69	2.33	5.53	24.39	7.71	16.28	0.97	18.78	21.06
3/15/2022 10:45:46	1.78	1.13	0.53	0.67	0.00	0.00	0.00	1.66	4.12	33.94	-0.33	14.95	944	1130	240	20	0	0	0	0	2334	197.78	6.54	2.33	5.23	23.12	7.59	15.57	0.97	18.91	20.97
3/15/2022 10:45:49	2.08	1.05	0.32	0.73	0.00	0.00	0.00	1.68	4.19	34.61	-0.32	14.79	1104	1054	142	22	0	0	0	0	2323	201.68	6.45	2.31	5.14	23.43	7.56	15.83	0.97	18.87	21.10
3/15/2022 10:45:51	2.04	1.16	0.59	0.51	0.00	0.00	0.00	1.73	4.31	37.02	-0.32	14.77	1082	1161	267	15	0	0	0	0	2525	215.75	6.54	2.29	5.23	24.06	7.44	16.20	0.97	19.03	21.06
3/15/2022 10:45:54	2.25	1.03	0.35	0.74	0.00	0.00	0.00	1.69	4.37	44.49	-0.33	14.55	1192	1028	159	22	0	0	0	0	2402	259.32	6.57	2.38	5.20	23.79	7.59	16.29	0.97	18.97	21.29
3/15/2022 10:45:57	2.01	1.20	0.74	0.47	0.00	0.00	0.00	1.83	4.42	33.87	-0.32	14.48	1067	1199	334	14	0	0	0	0	2613	197.37	6.82	2.37	5.34	25.20	7.51	16.92	0.97	19.04	21.05
3/15/2022 10:46:00	2.14	1.01	0.31	0.69	0.00	0.00	0.00	1.74	4.15	44.83	-0.33	14.42	1133	1014	138	21	0	0	0	0	2306	261.25	6.43	2.32	5.03	23.96	7.36	16.09	0.97	19.14	21.19
3/15/2022 10:46:03	1.93	1.29	0.92	0.32	0.00	0.00	0.00	1.86	4.47	67.51	-0.32	14.40	1022	1295	415	10	0	0	0	0	2741	393.47	6.86	2.39	5.45	25.41	7.44	17.00	0.97	19.31	21.10
3/15/2022 10:46:05	2.32	1.17	1.04	0.51	0.00	0.00	0.00	2.04	5.04	99.36	-0.32	14.36	1227	1174	469	15	0	0	0	0	2886	579.14	7.71	2.60	5.65	28.16	7.88	19.34	0.97	19.26	21.12
3/15/2022 10:46:08	1.51	1.97	0.99	0.00	0.00	0.00	0.00	1.13	4.47	81.76	-0.33	14.36	802	1968	446	0	0	0	0	0	3216	476.58	5.53	2.10	7.14	17.56	7.15	11.97	0.97	19.44	21.11
3/15/2022 10:46:11	0.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	1.02	88.15	-0.34	14.35	0	1022	0	0	0	0	0	0	1022	513.82	0.72	0.60	3.56	1.64	4.15	0.79	0.97	19.40	21.39
3/15/2022 10:46:14	0.00	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.96	93.87	-0.33	14.54	0	965	0	0	0	0	0	0	965	547.19	0.43	0.56	3.48	1.43	4.08	0.54	0.97	19.41	21.08
3/15/2022 10:46:16	0.77	3.50	0.00	0.00	0.00	0.00	0.00	1.58	4.26	31.42	-0.32	14.58	406	3496	0	0	0	0	0	0	3902	183.10	5.10	2.19	9.56	20.07	9.98	10.60	0.97	19.51	21.11
3/15/2022 10:46:19	1.81	2.54	0.81	0.00	0.00	0.00	0.00	1.95	5.16	24.83	-0.34	14.52	959	2537	364	0	0	0	0	0	3861	144.67	6.82	2.58	7.75	26.00	9.30	16.30	0.97	19.51	21.15
3/15/2022 10:46:22	1.89	1.63	0.61	0.35	0.00	0.00	0.00	1.84	4.47	24.53	-0.32	14.40	1000	1628	273	10	0	0	0	0	2911	142.92	6.58	2.47	6.03	24.81	8.01	16.12	0.97	19.58	21.10
3/15/2022 10:46:25	2.05	1.31	0.72	0.35	0.00	0.00	0.00	1.87	4.42	44.59	-0.33	14.20	1084	1310	324	11	0	0	0	0	2728	259.86	6.69	2.38	5.45	25.39	7.45	16.83	0.97	19.61	21.10
3/15/2022 10:46:27	2.00	1.47	0.77	0.20	0.00	0.00	0.00	1.85	4.43	41.09	-0.32	14.21	1059	1466	348	6	0	0	0	0	2879	239.45	6.52	2.20	5.54	25.10	7.54	16.45	0.97	19.68	21.14
3/15/2022 10:46:30	2.15	1.12	0.67	0.49	0.00	0.00	0.00	1.66	4.43	36.34	-0.32	14.09	1139	1118	299	15	0	0	0	0	2572	211.77	6.50	2.34	5.21	23.57	7.33	16.16	0.97	19.70	21.28
3/15/2022 10:46:33	2.06	1.20	0.70	0.53	0.00	0.00	0.00	1.70	4.49	36.92	-0.32	14.16	1089	1201	316	16	0	0	0	0	2622	215.17	6.70	2.41	5.43	24.01	7.61	16.39	0.97	19.75	21.17
3/15/2022 10:46:36	2.14	1.28	0.66	0.46	0.00	0.00	0.00	1.71	4.54	41.11	-0.33	14.09	1135	1277	296	14	0	0	0	0	2721	239.58	6.58	2.32	5.48	24.01	7.67	16.29	0.97	19.79	21.18
3/15/2022 10:46:38	2.12	1.16	0.60	0.56	0.00	0.00	0.00	1.74	4.45	42.18	-0.33	14.11	1125	1160	271	17	0	0	0	0	2574	245.81	6.69	2.33	5.32	24.33	7.62	16.53	0.97	19.84	21.18
3/15/2022 10:46:41	2.12	1.29	0.82	0.46	0.00	0.00	0.00	1.75	4.69	38.71	-0.33	14.03	1123	1291	370	14	0	0	0	0	2797	225.60	6.88	2.31	5.56	24.71	7.85	16.88	0.97	19.86	21.16
3/15/2022 10:46:46	2.34	1.04	0.26	0.77	0.00	0.00	0.00	1.82	4.41	27.35	-0.33	14.05	1241	1041	117	23	0	0	0	0	2422	159.35	6.72	2.45	5.27	25.12	7.66	16.97	0.97	19.85	21.23
3/15/2022 10:46:49	2.37	1.05	0.43	0.69	0.00	0.00	0.00	1.77	4.53	32.17	-0.32	13.96	1255	1048	192	21	0	0	0	0	2516	187.47	6.74	2.37	5.25	24.77	7.65	16.96	0.97	19.98	21.20
3/15/2022 10:46:52	2.27	0.97	0.12	0.98	0.00	0.00	0.00	1.82	4.33	30.27	-0.31	13.99	1203	967	54	29	0	0	0	0	2254	176.41	6.86	2.39	5.22	25.02	7.96	16.94	0.97	19.95	21.17
3/15/2022 10:46:54	2.51	0.96	0.00	1.02	0.00	0.00	0.00	1.75	4.48	39.11	-0.31	13.96	1329	959	0	30	0	0	0	0	2318	227.92	6.64	2.38	5.13	24.51	8.20	16.80	0.97	19.99	21.20
3/15/2022 10:46:57	2.34	0.96	0.00	0.96	0.00	0.00	0.00	1.81	4.25	25.35	-0.32	13.94	1239	960	0	29	0	0	0	0	2227	147.69	6.65	2.38	5.14	24.80	7.83	16.68	0.97	20.03	21.46
3/15/2022 10:47:00	2.17	1.08	0.32	0.70	0.00	0.00	0.00	1.78	4.26	24.26	-0.32	13.90	1150	1080	142	21	0	0	0	0	2393	141.33	6.57	2.30	5.18	24.49	7.60	16.42	0.97	20.09	21.12
