Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
2/15/2022 08:00:14	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00	1.16	86.12	-0.40	11.86	0	1157	0	0	0	0	0	0	1157	501.98	0.52	0.55	3.80	1.68	4.61	0.55	0.96	13.43	15.70
2/15/2022 08:00:19	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00	1.16	86.10	-0.40	11.96	0	1158	0	0	0	0	0	0	1158	501.85	0.60	0.59	3.75	1.69	4.63	0.62	0.96	13.54	15.66
2/15/2022 08:00:22	0.00	1.20	0.00	0.00	0.00	0.00	0.00	0.00	1.20	86.25	-0.39	11.89	0	1195	0	0	0	0	0	0	1195	502.74	0.61	0.57	3.81	1.70	4.76	0.59	0.96	13.59	15.67
2/15/2022 08:00:24	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	1.18	86.15	-0.39	12.00	0	1184	0	0	0	0	0	0	1184	502.18	0.59	0.64	3.84	1.67	4.66	0.63	0.96	13.61	15.72
2/15/2022 08:00:27	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.17	86.23	-0.39	11.83	0	1169	0	0	0	0	0	0	1169	502.60	0.55	0.63	3.81	1.72	4.62	0.67	0.96	13.70	15.67
2/15/2022 08:00:30	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00	1.16	86.09	-0.40	11.90	0	1159	0	0	0	0	0	0	1159	501.80	0.55	0.58	3.82	1.71	4.58	0.63	0.96	13.72	15.71
2/15/2022 08:00:33	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	1.15	86.04	-0.40	11.94	0	1150	0	0	0	0	0	0	1150	501.53	0.59	0.57	3.77	1.72	4.58	0.60	0.96	13.76	15.61
2/15/2022 08:00:35	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.17	86.02	-0.40	11.94	0	1174	0	0	0	0	0	0	1174	501.40	0.57	0.64	3.81	1.68	4.66	0.50	0.96	13.81	15.70
2/15/2022 08:00:38	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.17	85.91	-0.41	12.05	0	1175	0	0	0	0	0	0	1175	500.78	0.62	0.64	3.82	1.69	4.63	0.61	0.96	13.97	15.54
