Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
3/17/2022 08:29:49	1.15	2.46	0.00	0.98	0.00	0.00	0.00	1.79	4.59	8.83	-0.36	14.02	608	2464	0	29	0	0	0	0	3101	51.37	6.39	2.61	6.93	23.90	12.05	14.60	0.97	16.78	18.97
3/17/2022 08:29:54	1.20	2.59	0.00	0.97	0.00	0.00	0.00	1.88	4.76	8.50	-0.36	14.04	636	2589	0	29	0	0	0	0	3254	49.49	6.70	2.76	7.42	24.82	12.13	15.13	0.96	16.89	19.03
3/17/2022 08:29:57	1.08	2.37	0.00	0.84	0.00	0.00	0.00	1.71	4.29	6.59	-0.37	13.94	573	2374	0	25	0	0	0	0	2972	38.33	6.07	2.44	6.72	22.69	11.24	13.72	0.96	17.00	18.97
3/17/2022 08:30:00	1.03	2.30	0.00	0.82	0.00	0.00	0.00	1.72	4.15	8.72	-0.36	13.98	548	2299	0	25	0	0	0	0	2871	50.73	5.97	2.47	6.51	22.67	11.01	13.64	0.96	16.98	19.11
3/17/2022 08:30:02	1.00	2.19	0.00	0.92	0.00	0.00	0.00	1.82	4.11	12.08	-0.37	13.93	528	2194	0	28	0	0	0	0	2749	70.36	6.25	2.52	6.39	23.78	11.04	14.35	0.96	17.07	19.02
3/17/2022 08:30:05	1.01	2.93	0.00	0.85	0.00	0.00	0.00	2.06	4.79	11.17	-0.36	13.85	537	2925	0	26	0	0	0	0	3488	65.05	6.77	2.61	7.69	26.32	12.88	15.44	0.97	17.06	19.00
3/17/2022 08:30:08	1.06	2.38	0.00	0.87	0.00	0.00	0.00	1.86	4.31	8.75	-0.36	13.90	561	2385	0	26	0	0	0	0	2972	50.93	6.30	2.62	6.78	24.17	11.35	14.51	0.96	17.32	19.09
3/17/2022 08:30:11	1.03	2.23	0.00	0.77	0.00	0.00	0.00	1.86	4.03	10.60	-0.37	13.83	547	2228	0	23	0	0	0	0	2797	61.74	6.21	2.37	6.46	23.96	10.58	14.26	0.96	17.31	19.06
3/17/2022 08:30:13	0.90	2.12	0.00	0.91	0.00	0.00	0.00	1.97	3.94	15.99	-0.37	13.85	479	2122	0	27	0	0	0	0	2629	93.15	6.51	2.53	6.39	24.99	10.59	14.88	0.96	17.30	19.00
3/17/2022 08:30:16	1.02	1.88	0.00	0.76	0.00	0.00	0.00	1.71	3.66	10.67	-0.36	13.78	539	1885	0	23	0	0	0	0	2446	62.11	5.79	2.36	5.80	22.29	9.56	13.41	0.96	17.38	19.06
3/17/2022 08:30:19	1.08	1.97	0.00	0.86	0.00	0.00	0.00	1.83	3.91	10.38	-0.36	13.75	574	1972	0	26	0	0	0	0	2572	60.43	6.28	2.46	6.21	23.74	10.00	14.38	0.96	17.37	18.98
3/17/2022 08:30:22	0.93	2.07	0.00	0.76	0.00	0.00	0.00	1.79	3.76	8.91	-0.37	13.79	492	2073	0	23	0	0	0	0	2588	51.85	5.97	2.38	6.15	22.97	10.01	13.63	0.96	17.46	19.00
3/17/2022 08:30:25	0.90	1.97	0.00	0.72	0.00	0.00	0.00	1.75	3.59	10.32	-0.38	13.78	474	1975	0	21	0	0	0	0	2470	60.10	5.71	2.25	5.74	22.46	9.80	13.28	0.96	17.44	19.05
3/17/2022 08:30:27	0.94	1.95	0.00	0.71	0.00	0.00	0.00	1.70	3.60	9.89	-0.37	13.73	498	1952	0	21	0	0	0	0	2471	57.59	5.68	2.37	5.88	21.95	9.51	13.06	0.96	17.48	19.05
3/17/2022 08:30:30	0.87	2.02	0.00	0.68	0.00	0.00	0.00	1.70	3.57	10.92	-0.36	13.76	460	2019	0	20	0	0	0	0	2499	63.59	5.67	2.29	5.93	21.90	9.61	12.90	0.96	17.68	19.07
3/17/2022 08:30:33	0.61	2.46	0.00	0.89	0.00	0.00	0.00	1.82	3.96	10.77	-0.37	13.80	323	2458	0	27	0	0	0	0	2808	62.72	6.02	2.52	6.51	23.33	11.70	13.58	0.96	17.61	19.03
