Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
4/25/2022 10:22:57	0.00	7.31	0.00	0.00	0.00	0.00	0.00	1.26	7.31	2.87	-0.39	17.65	0	7306	0	0	0	0	0	0	7306	16.66	4.47	3.35	14.35	18.18	21.88	7.36	0.96	20.54	23.06
4/25/2022 10:23:02	0.00	6.71	0.00	0.03	0.00	0.00	0.00	1.25	6.74	2.89	-0.41	17.69	0	6710	0	1	0	0	0	0	6711	16.74	4.48	3.19	12.57	17.64	21.04	7.63	0.96	20.56	23.11
4/25/2022 10:23:04	0.00	6.81	0.00	0.00	0.00	0.00	0.00	1.20	6.81	3.18	-0.40	17.70	0	6813	0	0	0	0	0	0	6813	18.48	4.29	3.21	13.13	17.18	20.84	7.28	0.96	20.73	23.06
4/25/2022 10:23:07	0.00	6.33	0.00	0.00	0.00	0.00	0.00	1.23	6.33	5.29	-0.41	17.68	0	6335	0	0	0	0	0	0	6335	30.76	4.23	3.19	12.32	17.26	19.45	7.37	0.96	20.87	23.07
4/25/2022 10:23:10	0.00	5.69	0.00	0.17	0.00	0.00	0.00	1.13	5.86	3.98	-0.40	17.66	0	5691	0	5	0	0	0	0	5696	23.14	4.15	2.96	10.56	16.25	18.91	7.20	0.96	20.79	23.21
4/25/2022 10:23:13	0.00	6.72	0.00	0.00	0.00	0.00	0.00	1.30	6.72	3.27	-0.40	17.70	0	6717	0	0	0	0	0	0	6717	18.99	4.40	3.14	13.02	18.24	20.55	7.60	0.96	21.04	23.15
4/25/2022 10:23:15	0.00	5.25	0.00	0.00	0.00	0.00	0.00	1.21	5.25	5.62	-0.41	17.60	0	5248	0	0	0	0	0	0	5248	32.68	3.96	2.72	10.08	16.43	16.77	7.32	0.96	20.93	23.23
4/25/2022 10:23:18	0.00	4.83	0.00	0.17	0.00	0.00	0.00	1.18	5.00	5.39	-0.40	17.59	0	4834	0	5	0	0	0	0	4839	31.33	4.08	2.81	9.48	16.19	16.10	7.52	0.96	21.05	23.08
4/25/2022 10:23:21	0.00	5.72	0.00	0.00	0.00	0.00	0.00	1.25	5.72	7.84	-0.39	17.63	0	5718	0	0	0	0	0	0	5718	45.61	4.21	2.91	11.52	16.97	17.48	7.65	0.96	21.06	23.10
4/25/2022 10:23:24	0.00	5.01	0.00	0.13	0.00	0.00	0.00	1.21	5.14	7.03	-0.40	17.63	0	5006	0	4	0	0	0	0	5010	40.90	4.10	2.85	9.92	16.53	16.32	7.72	0.96	21.02	23.10
4/25/2022 10:23:26	0.00	4.60	0.00	0.20	0.00	0.00	0.00	1.16	4.80	5.27	-0.41	17.56	0	4602	0	6	0	0	0	0	4608	30.67	3.97	2.71	9.13	15.97	15.55	7.60	0.96	21.07	23.10
4/25/2022 10:23:29	0.00	4.94	0.00	0.08	0.00	0.00	0.00	1.25	5.02	10.83	-0.40	17.59	0	4937	0	2	0	0	0	0	4939	63.05	4.13	2.78	9.51	16.89	16.19	7.64	0.96	21.22	23.18
4/25/2022 10:23:32	0.00	4.75	0.00	0.03	0.00	0.00	0.00	1.24	4.78	6.44	-0.39	17.51	0	4747	0	1	0	0	0	0	4748	37.45	4.05	2.60	9.46	16.53	15.22	7.60	0.96	21.20	23.10
4/25/2022 10:23:35	0.02	4.21	0.00	0.19	0.00	0.00	0.00	1.19	4.41	7.14	-0.41	17.54	8	4207	0	6	0	0	0	0	4221	41.54	3.97	2.61	8.58	15.98	14.24	7.70	0.96	21.28	23.08
4/25/2022 10:23:37	0.03	4.53	0.00	0.11	0.00	0.00	0.00	1.25	4.67	7.33	-0.40	17.59	14	4534	0	3	0	0	0	0	4551	42.64	4.21	2.72	9.38	16.62	14.65	7.89	0.96	21.42	23.16
4/25/2022 10:23:40	0.11	4.84	0.00	0.00	0.00	0.00	0.00	1.29	4.94	7.83	-0.41	17.54	56	4835	0	0	0	0	0	0	4892	45.55	4.19	2.64	10.06	17.06	15.00	7.98	0.96	21.34	23.20
4/25/2022 10:23:43	0.15	4.02	0.00	0.17	0.00	0.00	0.00	1.22	4.34	10.30	-0.40	17.55	81	4023	0	5	0	0	0	0	4109	59.99	4.11	2.60	8.49	16.34	13.52	8.06	0.96	21.41	23.18
4/25/2022 10:23:46	0.34	4.02	0.00	0.07	0.00	0.00	0.00	1.21	4.44	13.45	-0.40	17.56	183	4025	0	2	0	0	0	0	4210	78.31	4.13	2.63	8.71	16.30	13.06	8.12	0.96	21.42	23.18
4/25/2022 10:23:48	0.12	4.17	0.00	0.19	0.00	0.00	0.00	1.26	4.49	10.08	-0.40	17.58	64	4172	0	6	0	0	0	0	4243	58.69	4.30	2.77	8.91	16.84	13.83	8.30	0.96	21.51	23.14
4/25/2022 10:23:51	0.10	3.31	0.00	0.29	0.00	0.00	0.00	1.30	3.70	12.46	-0.41	17.57	51	3310	0	9	0	0	0	0	3370	72.55	4.22	2.45	7.28	16.90	11.93	8.60	0.96	21.57	23.15
4/25/2022 10:23:54	0.32	3.77	0.00	0.01	0.00	0.00	0.00	1.40	4.11	17.27	-0.41	17.57	171	3774	0	0	0	0	0	0	3945	100.61	4.30	2.50	8.23	17.97	12.21	8.93	0.96	21.56	23.10
4/25/2022 10:23:57	0.19	3.58	0.00	0.06	0.00	0.00	0.00	1.53	3.82	23.11	-0.42	17.60	100	3578	0	2	0	0	0	0	3679	134.63	4.61	2.57	8.13	18.97	11.48	9.42	0.96	21.69	23.24
4/25/2022 10:24:02	0.30	2.89	0.00	0.16	0.00	0.00	0.00	1.46	3.35	30.53	-0.40	17.49	158	2886	0	5	0	0	0	0	3048	177.93	4.44	2.40	6.86	18.35	10.08	9.49	0.96	21.71	23.22
4/25/2022 10:24:04	0.07	2.83	0.00	0.30	0.00	0.00	0.00	1.59	3.21	35.96	-0.41	17.62	39	2831	0	9	0	0	0	0	2879	209.54	4.91	2.42	6.98	19.47	10.08	10.05	0.96	21.73	23.16
4/25/2022 10:24:07	0.75	2.49	0.00	0.00	0.00	0.00	0.00	1.53	3.25	68.34	-0.41	17.49	399	2493	0	0	0	0	0	0	2892	398.33	4.57	2.36	6.64	19.05	8.23	10.23	0.96	21.66	23.20
4/25/2022 10:24:10	0.48	2.00	0.00	0.17	0.00	0.00	0.00	1.64	2.65	59.21	-0.41	17.54	253	2004	0	5	0	0	0	0	2262	345.12	4.80	2.26	5.76	19.87	7.34	10.69	0.96	21.90	23.22
4/25/2022 10:24:13	0.64	1.49	0.21	0.17	0.00	0.00	0.00	1.54	2.51	75.94	-0.40	17.56	341	1488	94	5	0	0	0	0	1928	442.65	4.76	2.10	4.83	19.22	6.32	10.95	0.96	21.88	23.25
4/25/2022 10:24:15	0.53	1.56	0.48	0.00	0.00	0.00	0.00	1.60	2.58	86.65	-0.41	17.50	282	1564	218	0	0	0	0	0	2064	505.05	4.92	2.17	4.97	19.88	6.13	11.34	0.96	22.01	23.24
4/25/2022 10:24:18	0.47	1.27	0.43	0.11	0.00	0.00	0.00	1.52	2.27	91.60	-0.42	17.51	249	1266	192	3	0	0	0	0	1710	533.93	4.76	2.08	4.35	19.01	5.67	10.94	0.96	21.95	23.19
