Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/18/2022 08:11:01	1.89	2.51	1.71	0.16	0.00	0.00	0.00	1.22	6.27	75.88	-0.50	23.16	1000	2513	768	5	0	0	0	0	4286	442.27	7.23	3.25	8.47	20.68	9.97	15.31	0.95	25.40	27.48
8/18/2022 08:11:06	1.98	2.24	1.60	0.19	0.00	0.00	0.00	1.22	6.01	75.81	-0.50	23.22	1049	2239	721	6	0	0	0	0	4015	441.87	7.03	3.16	7.90	20.55	9.36	15.26	0.95	25.50	27.70
8/18/2022 08:11:08	1.84	2.27	1.91	0.04	0.00	0.00	0.00	1.19	6.06	75.69	-0.51	23.20	975	2270	860	1	0	0	0	0	4106	441.20	7.13	3.15	7.89	20.45	9.22	15.32	0.95	25.53	27.69
8/18/2022 08:11:11	2.03	2.23	1.80	0.04	0.00	0.00	0.00	1.18	6.11	75.77	-0.50	23.20	1078	2233	812	1	0	0	0	0	4124	441.67	6.98	3.10	7.81	20.33	9.13	15.30	0.95	25.57	27.70
8/18/2022 08:11:14	2.12	2.05	1.49	0.22	0.00	0.00	0.00	1.20	5.87	75.81	-0.50	23.30	1121	2045	669	7	0	0	0	0	3843	441.87	6.85	3.07	7.49	20.34	8.98	15.20	0.95	25.60	27.89
8/18/2022 08:11:17	2.08	2.21	1.63	0.13	0.00	0.00	0.00	1.21	6.05	75.75	-0.50	23.23	1103	2208	732	4	0	0	0	0	4048	441.51	6.97	3.06	7.77	20.55	9.26	15.33	0.95	25.75	27.80
8/18/2022 08:11:19	2.13	2.26	1.70	0.00	0.00	0.00	0.00	1.21	6.09	75.69	-0.52	23.22	1129	2265	763	0	0	0	0	0	4157	441.20	6.86	3.10	7.85	20.56	9.05	15.30	0.95	25.80	27.56
8/18/2022 08:11:22	2.29	2.10	1.41	0.24	0.00	0.00	0.00	1.19	6.04	75.61	-0.51	23.14	1213	2104	633	7	0	0	0	0	3957	440.71	6.85	3.11	7.68	20.39	9.17	15.31	0.95	25.91	27.76
8/18/2022 08:11:25	1.98	2.11	1.49	0.25	0.00	0.00	0.00	1.22	5.82	75.55	-0.50	23.27	1048	2105	668	7	0	0	0	0	3829	440.38	6.92	3.13	7.62	20.39	9.11	15.10	0.95	25.95	27.70
8/18/2022 08:11:28	2.05	2.09	1.64	0.11	0.00	0.00	0.00	1.18	5.89	75.53	-0.52	23.25	1085	2091	737	3	0	0	0	0	3917	440.22	6.83	3.01	7.49	20.15	8.91	15.09	0.95	25.93	27.66
8/18/2022 08:11:30	1.90	2.14	1.78	0.01	0.00	0.00	0.00	1.19	5.83	75.48	-0.51	23.29	1005	2137	802	0	0	0	0	0	3945	439.97	6.84	3.02	7.50	20.18	8.78	15.01	0.95	26.06	27.67
8/18/2022 08:11:33	1.63	2.23	1.96	0.00	0.00	0.00	0.00	1.21	5.82	75.55	-0.50	23.20	865	2226	882	0	0	0	0	0	3973	440.35	7.05	3.00	7.65	20.30	9.00	15.03	0.95	26.06	27.68
8/18/2022 08:11:36	2.01	2.15	1.66	0.03	0.00	0.00	0.00	1.20	5.85	75.53	-0.52	23.26	1064	2153	746	1	0	0	0	0	3965	440.27	6.77	2.90	7.48	20.22	8.92	14.98	0.95	26.08	27.74
8/18/2022 08:11:39	2.14	2.07	1.60	0.10	0.00	0.00	0.00	1.18	5.91	75.44	-0.51	23.25	1133	2069	719	3	0	0	0	0	3924	439.72	6.77	3.01	7.45	20.14	8.84	15.12	0.95	26.08	27.76
8/18/2022 08:11:41	2.12	2.12	1.59	0.08	0.00	0.00	0.00	1.17	5.92	75.45	-0.51	23.28	1125	2123	715	2	0	0	0	0	3965	439.79	6.74	3.00	7.53	20.07	8.90	15.01	0.95	26.15	27.70
8/18/2022 08:11:44	2.15	2.11	1.46	0.17	0.00	0.00	0.00	1.20	5.89	75.38	-0.51	23.21	1139	2105	659	5	0	0	0	0	3908	439.38	6.77	3.07	7.57	20.25	8.99	15.08	0.95	26.24	27.72
8/18/2022 08:11:47	2.01	2.16	1.54	0.10	0.00	0.00	0.00	1.21	5.81	75.47	-0.52	23.24	1067	2160	694	3	0	0	0	0	3924	439.90	6.74	3.09	7.60	20.24	8.91	14.93	0.95	26.29	27.93
8/18/2022 08:11:50	2.22	2.10	1.43	0.16	0.00	0.00	0.00	1.19	5.91	75.36	-0.51	23.23	1178	2096	643	5	0	0	0	0	3922	439.26	6.71	2.96	7.50	20.18	9.01	15.04	0.95	26.30	27.71
8/18/2022 08:11:52	1.84	2.20	1.85	0.00	0.00	0.00	0.00	1.21	5.89	75.27	-0.51	23.21	975	2201	832	0	0	0	0	0	4007	438.74	6.95	3.04	7.67	20.36	8.90	15.12	0.95	26.38	27.67
