Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
2/10/2022 10:30:24	1.24	1.13	1.46	0.22	0.00	0.00	0.00	2.83	4.05	91.03	-0.33	12.54	658	1131	656	7	0	0	0	0	2452	530.59	8.58	2.99	5.24	34.76	6.78	21.84	0.97	13.82	16.01
2/10/2022 10:30:29	1.18	1.14	1.39	0.31	0.00	0.00	0.00	2.83	4.00	90.96	-0.34	12.46	623	1136	624	9	0	0	0	0	2393	530.21	8.63	3.04	5.30	34.73	6.91	21.76	0.97	13.91	16.01
2/10/2022 10:30:31	1.04	1.15	1.38	0.33	0.00	0.00	0.00	2.86	3.89	90.88	-0.34	12.49	553	1145	622	10	0	0	0	0	2329	529.74	8.66	3.00	5.27	34.80	6.95	21.67	0.97	13.94	16.03
2/10/2022 10:30:34	1.10	1.08	1.38	0.33	0.00	0.00	0.00	2.84	3.90	90.83	-0.33	12.27	585	1081	619	10	0	0	0	0	2295	529.43	8.62	3.01	5.18	34.67	6.82	21.69	0.97	14.06	15.98
2/10/2022 10:30:37	1.28	1.15	1.32	0.28	0.00	0.00	0.00	2.85	4.02	90.78	-0.33	12.51	681	1146	592	8	0	0	0	0	2427	529.17	8.53	2.97	5.27	34.82	6.90	21.77	0.97	14.04	16.06
2/10/2022 10:30:40	1.09	1.10	1.51	0.26	0.00	0.00	0.00	2.83	3.96	90.83	-0.34	12.46	579	1103	678	8	0	0	0	0	2368	529.42	8.67	2.98	5.19	34.73	6.80	21.80	0.97	14.04	16.01
2/10/2022 10:30:42	1.11	1.22	1.57	0.16	0.00	0.00	0.00	2.83	4.06	90.64	-0.34	12.57	587	1219	707	5	0	0	0	0	2517	528.35	8.63	2.89	5.30	34.75	6.92	21.75	0.97	14.20	15.77
2/10/2022 10:30:45	1.18	1.11	1.35	0.34	0.00	0.00	0.00	2.83	3.98	90.67	-0.33	12.39	624	1114	606	10	0	0	0	0	2354	528.49	8.63	2.98	5.25	34.70	6.96	21.74	0.97	14.14	15.92
2/10/2022 10:30:48	1.24	1.09	1.32	0.34	0.00	0.00	0.00	2.83	3.99	90.67	-0.33	12.52	658	1086	596	10	0	0	0	0	2350	528.48	8.60	2.97	5.20	34.71	6.90	21.78	0.97	14.29	16.01
