Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
1/10/2022 09:44:48	0.44	1.49	0.00	0.87	0.00	0.00	0.00	2.82	2.79	32.02	-0.23	8.84	231	1492	0	26	0	0	0	0	1749	186.62	7.58	2.72	5.44	32.32	8.26	18.25	0.98	11.72	13.70
1/10/2022 09:44:53	0.59	1.37	0.00	0.88	0.00	0.00	0.00	2.87	2.85	38.91	-0.22	8.77	313	1371	0	27	0	0	0	0	1710	226.73	7.69	2.81	5.33	33.00	8.02	18.83	0.98	11.78	13.72
1/10/2022 09:44:56	0.43	1.58	0.00	0.76	0.00	0.00	0.00	2.87	2.77	27.77	-0.23	8.73	230	1576	0	23	0	0	0	0	1828	161.84	7.52	2.73	5.54	32.67	8.15	18.27	0.98	11.83	13.73
1/10/2022 09:44:59	0.33	1.58	0.00	0.76	0.00	0.00	0.00	2.85	2.67	28.07	-0.21	8.71	173	1581	0	23	0	0	0	0	1776	163.55	7.44	2.72	5.47	32.40	8.15	18.00	0.98	11.89	13.72
1/10/2022 09:45:01	0.07	1.61	0.00	0.76	0.00	0.00	0.00	2.79	2.44	29.45	-0.22	8.60	38	1611	0	23	0	0	0	0	1672	171.62	7.25	2.59	5.36	31.43	8.19	17.19	0.98	11.99	13.76
1/10/2022 09:45:04	0.39	1.43	0.00	0.83	0.00	0.00	0.00	2.72	2.64	18.64	-0.22	8.56	208	1425	0	25	0	0	0	0	1658	108.58	7.25	2.66	5.15	31.23	8.05	17.58	0.98	12.07	13.64
1/10/2022 09:45:07	0.27	1.58	0.00	0.66	0.00	0.00	0.00	2.69	2.51	16.28	-0.21	8.60	141	1578	0	20	0	0	0	0	1739	94.86	6.95	2.56	5.23	30.57	7.94	16.82	0.98	12.18	13.49
1/10/2022 09:45:10	0.20	1.62	0.00	0.51	0.00	0.00	0.00	2.72	2.34	16.31	-0.23	8.49	108	1619	0	15	0	0	0	0	1743	94.99	6.76	2.46	5.19	30.48	7.55	16.48	0.98	12.04	13.65
1/10/2022 09:45:13	0.38	1.41	0.00	0.52	0.00	0.00	0.00	2.46	2.31	18.64	-0.22	8.56	201	1407	0	16	0	0	0	0	1624	108.60	6.42	2.31	4.88	28.12	7.02	15.50	0.98	12.03	13.64
1/10/2022 09:45:15	0.26	1.35	0.00	0.82	0.00	0.00	0.00	2.69	2.43	19.94	-0.23	8.51	140	1351	0	25	0	0	0	0	1516	116.15	7.26	2.53	5.11	30.66	7.60	17.15	0.98	12.22	13.72
1/10/2022 09:45:18	0.19	1.55	0.00	0.49	0.00	0.00	0.00	2.60	2.24	17.83	-0.22	8.45	99	1555	0	15	0	0	0	0	1669	103.86	6.51	2.28	4.95	29.24	7.40	15.79	0.98	12.24	13.77
1/10/2022 09:45:21	0.23	1.50	0.00	0.60	0.00	0.00	0.00	2.47	2.33	21.04	-0.21	8.36	124	1499	0	18	0	0	0	0	1641	122.56	6.51	2.33	5.01	28.19	7.47	15.46	0.98	12.30	13.50
1/10/2022 09:45:24	0.21	1.47	0.00	0.42	0.00	0.00	0.00	2.52	2.10	13.42	-0.22	8.43	112	1469	0	13	0	0	0	0	1593	78.14	6.26	2.32	4.81	28.30	6.84	15.24	0.98	12.31	13.67
1/10/2022 09:45:26	0.04	1.41	0.00	0.64	0.00	0.00	0.00	2.63	2.09	19.86	-0.21	8.29	22	1406	0	19	0	0	0	0	1447	115.69	6.74	2.41	4.84	29.53	7.27	16.04	0.98	12.37	13.64
1/10/2022 09:45:29	0.09	1.45	0.00	0.71	0.00	0.00	0.00	2.77	2.25	22.38	-0.21	8.42	50	1451	0	21	0	0	0	0	1522	130.37	7.06	2.55	4.98	31.16	7.67	17.03	0.98	12.42	13.66
1/10/2022 09:45:32	0.25	1.44	0.05	0.51	0.00	0.00	0.00	2.46	2.25	17.20	-0.23	8.44	135	1438	22	15	0	0	0	0	1611	100.18	6.45	2.30	4.91	28.05	7.03	15.37	0.98	12.44	13.72
1/10/2022 09:45:35	0.33	1.43	0.00	0.60	0.00	0.00	0.00	2.65	2.35	19.68	-0.22	8.42	174	1425	0	18	0	0	0	0	1617	114.68	6.83	2.47	5.01	30.09	7.26	16.58	0.98	12.53	13.67
1/10/2022 09:45:37	0.29	1.42	0.00	0.65	0.00	0.00	0.00	2.75	2.36	26.83	-0.22	8.43	151	1425	0	19	0	0	0	0	1595	156.32	7.05	2.53	5.07	31.07	7.36	17.12	0.98	12.61	13.70
1/10/2022 09:45:40	0.17	1.36	0.00	0.49	0.00	0.00	0.00	2.48	2.02	16.85	-0.22	8.42	89	1362	0	15	0	0	0	0	1466	98.14	6.27	2.31	4.64	28.00	6.76	15.16	0.98	12.56	13.76
1/10/2022 09:45:43	0.42	1.40	0.00	0.50	0.00	0.00	0.00	2.56	2.33	25.93	-0.22	8.42	224	1403	0	15	0	0	0	0	1642	151.10	6.53	2.36	4.87	29.12	6.98	16.04	0.98	12.64	13.67
1/10/2022 09:45:46	0.00	1.37	0.00	0.62	0.00	0.00	0.00	2.63	1.99	15.93	-0.24	8.39	0	1370	0	19	0	0	0	0	1388	92.78	6.73	2.46	4.83	29.46	6.98	15.92	0.98	12.65	13.66
1/10/2022 09:45:48	0.00	1.36	0.00	0.61	0.00	0.00	0.00	2.74	1.98	22.52	-0.23	8.45	2	1359	0	18	0	0	0	0	1380	131.21	6.84	2.56	4.82	30.48	6.93	16.46	0.98	12.77	13.76
1/10/2022 09:45:51	0.07	1.43	0.02	0.54	0.00	0.00	0.00	2.70	2.07	15.70	-0.23	8.35	38	1427	11	16	0	0	0	0	1493	91.45	6.77	2.42	4.89	30.11	6.99	16.26	0.98	12.77	13.68
1/10/2022 09:45:56	0.09	1.27	0.00	0.65	0.00	0.00	0.00	2.58	2.01	19.81	-0.23	8.34	50	1267	0	19	0	0	0	0	1336	115.40	6.65	2.51	4.69	29.08	6.79	15.89	0.98	12.84	13.77
1/10/2022 09:45:59	0.07	1.47	0.17	0.51	0.00	0.00	0.00	2.75	2.22	20.16	-0.23	8.43	37	1468	76	15	0	0	0	0	1595	117.47	7.02	2.43	5.00	30.88	7.15	16.83	0.98	12.89	13.84
1/10/2022 09:46:01	0.10	1.34	0.16	0.47	0.00	0.00	0.00	2.58	2.08	24.24	-0.22	8.35	55	1345	74	14	0	0	0	0	1488	141.21	6.62	2.32	4.69	29.12	6.73	15.91	0.98	12.81	14.02
1/10/2022 09:46:04	0.26	1.45	0.00	0.58	0.00	0.00	0.00	2.70	2.29	20.72	-0.22	8.36	140	1446	0	17	0	0	0	0	1604	120.70	6.88	2.43	5.02	30.46	7.20	16.66	0.98	12.84	13.74
1/10/2022 09:46:07	0.00	1.37	0.10	0.57	0.00	0.00	0.00	2.67	2.04	21.71	-0.22	8.33	0	1368	47	17	0	0	0	0	1432	126.49	6.91	2.33	4.78	29.98	6.97	16.24	0.98	12.99	13.76
1/10/2022 09:46:10	0.05	1.32	0.00	0.69	0.00	0.00	0.00	2.67	2.06	20.71	-0.23	8.29	27	1316	0	21	0	0	0	0	1364	120.65	6.91	2.56	4.86	30.03	7.02	16.41	0.98	12.91	13.72
1/10/2022 09:46:13	0.06	1.32	0.08	0.61	0.00	0.00	0.00	2.69	2.06	21.63	-0.22	8.29	30	1317	35	18	0	0	0	0	1399	126.02	6.90	2.47	4.78	30.20	6.90	16.49	0.98	12.91	13.53
1/10/2022 09:46:15	0.20	1.41	0.00	0.60	0.00	0.00	0.00	2.63	2.20	23.07	-0.23	8.44	106	1408	0	18	0	0	0	0	1532	134.39	6.75	2.47	4.95	29.70	7.10	16.24	0.98	13.06	13.74
1/10/2022 09:46:18	0.00	1.34	0.00	0.66	0.00	0.00	0.00	2.68	2.01	23.01	-0.22	8.41	0	1343	0	20	0	0	0	0	1363	134.05	6.88	2.55	4.84	29.99	7.01	16.25	0.98	13.06	13.76
1/10/2022 09:46:21	0.12	1.28	0.06	0.65	0.00	0.00	0.00	2.63	2.11	15.64	-0.23	8.25	63	1281	25	20	0	0	0	0	1388	91.13	6.85	2.46	4.76	29.68	6.92	16.33	0.98	13.12	13.72
1/10/2022 09:46:24	0.20	1.32	0.18	0.56	0.00	0.00	0.00	2.66	2.26	19.63	-0.22	8.37	106	1322	80	17	0	0	0	0	1524	114.36	6.95	2.48	4.83	30.21	6.91	16.74	0.98	13.12	13.79
1/10/2022 09:46:26	0.30	1.42	0.00	0.64	0.00	0.00	0.00	2.64	2.36	30.21	-0.22	8.41	158	1415	0	19	0	0	0	0	1592	176.03	6.87	2.49	5.03	29.96	7.31	16.54	0.98	13.11	13.84
1/10/2022 09:46:29	0.05	1.34	0.08	0.65	0.00	0.00	0.00	2.72	2.12	22.91	-0.22	8.38	24	1344	38	19	0	0	0	0	1426	133.50	7.03	2.51	4.89	30.54	7.07	16.72	0.98	13.19	13.81
1/10/2022 09:46:32	0.03	1.30	0.14	0.61	0.00	0.00	0.00	2.74	2.08	20.06	-0.22	8.35	17	1299	63	18	0	0	0	0	1397	116.90	7.04	2.47	4.76	30.72	6.92	16.84	0.98	13.06	13.95
1/10/2022 09:46:35	0.25	1.39	0.09	0.51	0.00	0.00	0.00	2.56	2.25	23.03	-0.22	8.36	135	1395	40	15	0	0	0	0	1585	134.19	6.63	2.45	4.91	29.09	6.90	16.00	0.98	13.22	13.87
