Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/23/2022 11:04:25	1.29	2.06	1.54	0.11	0.00	0.00	0.00	1.06	5.00	82.24	-0.53	23.79	682	2063	693	3	0	0	0	0	3442	479.37	6.26	2.88	7.09	17.79	8.42	12.86	0.95	27.78	30.64
6/23/2022 11:04:30	1.04	1.90	1.23	0.48	0.00	0.00	0.00	1.12	4.66	86.39	-0.53	23.83	554	1904	555	14	0	0	0	0	3026	503.56	6.46	2.88	6.91	18.06	8.71	12.82	0.95	27.93	30.45
6/23/2022 11:04:32	1.40	2.19	1.15	0.32	0.00	0.00	0.00	1.18	5.05	94.89	-0.52	23.86	740	2185	519	9	0	0	0	0	3454	553.13	6.38	3.06	7.49	18.85	8.97	13.22	0.95	28.03	30.66
6/23/2022 11:04:35	1.49	1.61	1.03	0.56	0.00	0.00	0.00	1.06	4.68	88.78	-0.52	23.81	788	1605	464	17	0	0	0	0	2874	517.46	6.23	2.84	6.45	17.74	8.22	13.00	0.95	28.13	30.58
6/23/2022 11:04:38	1.15	2.22	1.53	0.08	0.00	0.00	0.00	1.16	4.98	85.82	-0.53	23.82	607	2220	690	3	0	0	0	0	3520	500.26	6.38	2.96	7.35	18.63	8.65	13.06	0.95	28.07	30.79
6/23/2022 11:04:41	1.08	1.87	1.49	0.23	0.00	0.00	0.00	1.12	4.67	96.29	-0.53	23.89	572	1873	670	7	0	0	0	0	3122	561.30	6.34	2.79	6.68	18.12	8.20	12.92	0.95	28.19	30.68
6/23/2022 11:04:43	1.05	1.72	1.43	0.35	0.00	0.00	0.00	1.09	4.55	78.05	-0.53	23.78	556	1724	643	11	0	0	0	0	2933	454.92	6.36	2.91	6.53	17.85	8.02	12.87	0.95	28.24	30.65
6/23/2022 11:04:46	1.19	1.78	1.40	0.31	0.00	0.00	0.00	1.10	4.67	91.80	-0.53	23.84	628	1779	630	9	0	0	0	0	3047	535.10	6.33	2.86	6.61	18.05	8.12	13.01	0.95	28.36	30.69
6/23/2022 11:04:49	1.06	1.98	1.83	0.02	0.00	0.00	0.00	1.14	4.89	100.00	-0.53	23.82	560	1981	825	0	0	0	0	0	3366	623.50	6.49	2.84	6.85	18.57	8.12	13.34	0.95	28.34	30.68
