Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
3/14/2022 12:05:49	1.66	2.70	0.00	0.88	0.00	0.00	0.00	1.56	5.24	5.61	-0.33	13.29	878	2699	0	26	0	0	0	0	3603	32.61	5.90	2.60	7.15	22.23	12.93	14.10	0.97	17.28	19.85
3/14/2022 12:05:54	1.83	3.39	0.00	0.74	0.00	0.00	0.00	1.66	5.95	7.17	-0.31	13.35	968	3392	0	22	0	0	0	0	4382	41.71	6.13	2.85	8.50	23.58	14.31	14.66	0.97	17.36	19.99
3/14/2022 12:05:57	1.88	2.87	0.00	0.95	0.00	0.00	0.00	1.72	5.70	7.18	-0.32	13.34	996	2872	0	28	0	0	0	0	3897	41.75	6.36	2.74	7.60	24.30	13.74	15.49	0.97	17.42	19.93
3/14/2022 12:05:59	1.77	2.72	0.00	0.79	0.00	0.00	0.00	1.63	5.28	9.51	-0.33	13.34	940	2718	0	24	0	0	0	0	3682	55.35	5.98	2.58	7.28	22.89	12.63	14.44	0.97	17.42	20.00
3/14/2022 12:06:02	1.41	3.29	0.00	1.01	0.00	0.00	0.00	1.65	5.70	6.44	-0.33	13.32	745	3290	0	30	0	0	0	0	4065	37.49	6.08	2.76	7.84	23.36	15.27	14.46	0.97	17.52	19.91
3/14/2022 12:06:05	1.58	2.58	0.00	0.91	0.00	0.00	0.00	1.53	5.07	6.85	-0.33	13.29	835	2583	0	27	0	0	0	0	3445	39.87	5.76	2.60	6.83	21.87	12.77	13.88	0.97	17.67	20.21
3/14/2022 12:06:08	1.75	2.40	0.00	0.83	0.00	0.00	0.00	1.58	4.99	7.26	-0.33	13.32	928	2403	0	25	0	0	0	0	3357	42.24	5.75	2.44	6.52	22.33	12.14	14.24	0.97	17.61	20.11
3/14/2022 12:06:11	1.47	3.29	0.00	0.75	0.00	0.00	0.00	1.63	5.50	7.41	-0.33	13.38	777	3293	0	22	0	0	0	0	4092	43.11	5.78	2.63	7.85	22.79	14.31	13.86	0.97	17.69	20.15
3/14/2022 12:06:13	1.60	2.38	0.00	0.85	0.00	0.00	0.00	1.61	4.83	6.74	-0.33	13.30	849	2379	0	25	0	0	0	0	3253	39.19	5.91	2.48	6.65	22.45	11.80	14.17	0.97	17.71	20.11
