Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/24/2022 10:10:46	1.10	1.59	1.21	0.00	0.00	0.00	0.00	1.55	3.90	100.00	-0.52	21.06	582	1590	545	0	0	0	0	0	2717	596.34	6.04	2.59	5.68	21.36	6.85	13.89	0.95	25.38	28.02
5/24/2022 10:10:51	1.16	1.25	1.35	0.01	0.00	0.00	0.00	1.45	3.77	100.00	-0.52	21.19	614	1249	608	0	0	0	0	0	2471	616.39	5.97	2.47	5.03	20.66	6.22	13.90	0.95	25.47	28.23
5/24/2022 10:10:54	1.23	1.23	1.29	0.03	0.00	0.00	0.00	1.46	3.77	100.00	-0.53	21.10	650	1226	579	1	0	0	0	0	2456	624.62	5.92	2.47	4.99	20.69	6.18	13.91	0.95	25.61	28.16
5/24/2022 10:10:56	1.12	1.08	0.99	0.29	0.00	0.00	0.00	1.48	3.48	100.00	-0.51	21.14	593	1076	447	9	0	0	0	0	2125	624.29	5.93	2.52	4.82	20.58	6.22	13.69	0.95	25.64	28.13
5/24/2022 10:10:59	1.26	1.05	1.11	0.24	0.00	0.00	0.00	1.46	3.66	100.00	-0.52	21.13	666	1053	498	7	0	0	0	0	2224	625.87	5.99	2.52	4.82	20.69	6.18	14.01	0.95	25.80	28.18
5/24/2022 10:11:02	1.22	1.16	1.12	0.18	0.00	0.00	0.00	1.46	3.69	100.00	-0.51	21.08	648	1157	506	6	0	0	0	0	2316	626.03	5.96	2.62	5.01	20.68	6.21	13.90	0.95	25.70	28.04
5/24/2022 10:11:05	1.26	1.22	1.22	0.15	0.00	0.00	0.00	1.50	3.85	94.70	-0.51	21.16	667	1222	548	4	0	0	0	0	2441	552.01	6.12	2.61	5.15	21.19	6.39	14.29	0.95	25.86	28.10
5/24/2022 10:11:07	1.59	1.76	0.58	0.35	0.00	0.00	0.00	1.37	4.28	60.39	-0.52	21.10	844	1762	260	10	0	0	0	0	2878	351.96	5.80	2.48	6.21	19.87	8.02	13.16	0.95	25.89	28.18
5/24/2022 10:11:10	0.04	1.22	0.00	0.00	0.00	0.00	0.00	0.00	1.25	87.00	-0.52	21.13	19	1216	0	0	0	0	0	0	1235	507.10	0.97	0.74	4.10	2.19	4.38	1.36	0.95	25.98	28.21
