Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/11/2021 10:58:27	3.79	0.24	4.41	0.46	0.00	0.00	0.00	0.73	8.90	84.69	-0.48	18.71	2009	241	1984	14	0	0	0	0	4248	493.63	10.33	3.21	5.99	22.54	8.13	23.49	0.95	21.34	23.71
5/11/2021 10:58:32	3.70	0.41	4.86	0.30	0.00	0.00	0.00	0.74	9.27	79.10	-0.49	18.67	1960	410	2188	9	0	0	0	0	4567	461.05	10.74	3.20	6.32	23.09	8.46	24.12	0.95	21.38	23.73
5/11/2021 10:58:35	3.56	0.57	4.70	0.41	0.00	0.00	0.00	0.81	9.25	72.61	-0.50	18.64	1889	573	2117	12	0	0	0	0	4591	423.23	10.86	3.42	6.74	23.58	8.87	24.12	0.95	21.50	23.91
5/11/2021 10:58:37	3.67	0.63	4.70	0.39	0.00	0.00	0.00	0.82	9.38	69.89	-0.49	18.75	1943	629	2114	12	0	0	0	0	4697	407.34	10.90	3.44	6.87	23.87	8.99	24.33	0.95	21.52	23.69
5/11/2021 10:58:40	3.07	0.68	4.44	0.39	0.00	0.00	0.00	0.87	8.58	71.09	-0.49	18.80	1625	679	2000	12	0	0	0	0	4315	414.34	10.45	3.33	6.61	23.11	8.70	22.86	0.95	21.55	23.73
5/11/2021 10:58:43	2.90	0.53	3.72	0.70	0.00	0.00	0.00	0.91	7.86	73.44	-0.47	18.93	1538	525	1676	21	0	0	0	0	3761	428.08	9.97	3.37	6.28	22.51	8.51	21.73	0.95	21.65	23.83
5/11/2021 10:58:46	2.46	0.53	3.57	0.76	0.00	0.00	0.00	0.93	7.32	74.96	-0.49	19.02	1306	528	1605	23	0	0	0	0	3463	436.92	9.76	3.29	6.09	22.02	8.40	20.83	0.95	21.73	23.79
5/11/2021 10:58:48	2.62	0.59	3.44	0.67	0.00	0.00	0.00	0.94	7.32	75.60	-0.49	19.05	1387	591	1548	20	0	0	0	0	3546	440.68	9.50	3.27	6.11	21.94	8.27	20.60	0.95	21.61	23.79
5/11/2021 10:58:51	2.34	0.50	3.13	0.87	0.00	0.00	0.00	0.98	6.84	75.29	-0.49	19.09	1238	499	1410	26	0	0	0	0	3174	438.82	9.37	3.28	5.90	21.76	8.21	20.03	0.95	21.81	23.86
5/11/2021 10:58:54	2.54	0.63	3.36	0.65	0.00	0.00	0.00	0.95	7.18	74.29	-0.49	19.14	1347	629	1511	20	0	0	0	0	3507	433.00	9.36	3.17	6.07	21.78	8.28	20.27	0.95	21.94	23.90
5/11/2021 10:58:57	2.74	0.52	3.37	0.78	0.00	0.00	0.00	0.93	7.42	73.40	-0.50	19.10	1453	523	1517	23	0	0	0	0	3517	427.82	9.60	3.26	6.10	22.02	8.42	20.86	0.95	21.95	23.81
5/11/2021 10:58:59	2.77	0.76	4.32	0.24	0.00	0.00	0.00	0.91	8.09	72.89	-0.49	19.10	1470	762	1942	7	0	0	0	0	4181	424.83	10.00	3.19	6.41	22.71	8.33	21.88	0.95	21.92	23.78
5/11/2021 10:59:02	3.12	0.59	4.24	0.46	0.00	0.00	0.00	0.88	8.41	72.24	-0.49	19.16	1652	589	1908	14	0	0	0	0	4163	421.09	10.30	3.26	6.40	23.02	8.59	22.67	0.95	22.08	23.79
