Label,Green Algae...2_ug/l,Bluegreen...3_ug/l,Diatoms...4_ug/l,Cryptophyta...5_ug/l,Green Algae...14_cells/ml,Bluegreen...15_cells/ml,Diatoms...16_cells/ml,Cryptophyta...17_cells/ml,Temp_degC,DateTime,Year,Month,Date,Hour,Region
May 2021 SP 1,2.87,0.56,3.69,0.58,1521.1,557.89,1661.42,17.52,19.11,2021-05-11 11:00:00,2021,May,2021-05-11,11:00,San Pablo Bay
May 2021 SP 2,2.56,0.5,3.29,0.54,1354.82,497.13,1481.82,16.29,19.01,2021-05-11 11:10:00,2021,May,2021-05-11,11:00,San Pablo Bay
May 2021 SP 3,1.8,0.42,2.58,0.51,956.42,420.65,1159.76,15.24,18.64,2021-05-11 11:20:00,2021,May,2021-05-11,11:00,San Pablo Bay
May 2021 SP 4,2.26,0.17,2.53,0.85,1200.55,165.48,1138.36,25.6,18.84,2021-05-11 11:30:00,2021,May,2021-05-11,11:00,San Pablo Bay
May 2021 SP 5,4.12,0.56,2.95,0.98,2181.34,556.64,1329.23,29.45,18.69,2021-05-11 11:40:00,2021,May,2021-05-11,11:00,San Pablo Bay
May 2021 SP 6,5.51,0.75,1.97,1.09,2919.8,753.12,885.57,32.69,19.24,2021-05-11 11:50:00,2021,May,2021-05-11,11:00,San Pablo Bay
May 2021 SP 7,5.59,0.38,2.49,1.56,2964.35,379.33,1118.77,46.84,19.14,2021-05-11 12:00:00,2021,May,2021-05-11,12:00,San Pablo Bay
May 2021 SP 8,5.51,0.27,2.7,1.75,2918.32,265.52,1215,52.66,19.1,2021-05-11 12:10:00,2021,May,2021-05-11,12:00,San Pablo Bay
May 2021 SP 9,5.61,0.3,2.8,1.52,2975.8,301.02,1261.74,45.64,19.02,2021-05-11 12:20:00,2021,May,2021-05-11,12:00,San Pablo Bay
May 2021 SP 10,3.11,0.31,2.88,0.83,1649.88,305.14,1297.56,24.93,17.7,2021-05-11 12:30:00,2021,May,2021-05-11,12:00,San Pablo Bay
May 2021 SP 11,2.29,0.12,2.84,0.84,1214.4,119.78,1278.31,25.08,16.72,2021-05-11 12:40:00,2021,May,2021-05-11,12:00,San Pablo Bay
May 2021 SP 12,2.32,0.15,2.81,0.76,1227.14,153.85,1262.66,22.93,16.73,2021-05-11 12:50:00,2021,May,2021-05-11,12:00,San Pablo Bay
May 2021 SP 13,2.43,0.19,2.98,0.8,1286.7,194.32,1341.25,24.13,16.88,2021-05-11 13:00:00,2021,May,2021-05-11,13:00,San Pablo Bay
May 2021 SP 14,2.45,0.28,2.81,0.73,1296.37,278.89,1264.92,21.89,17.11,2021-05-11 13:10:00,2021,May,2021-05-11,13:00,San Pablo Bay
May 2021 SP 15,3.07,0.23,2.8,0.81,1626.36,230.98,1259.16,24.2,18.64,2021-05-11 13:20:00,2021,May,2021-05-11,13:00,San Pablo Bay
May 2021 SP 16,3.18,0.33,2.74,0.79,1683.73,329.92,1233.38,23.66,19.16,2021-05-11 13:30:00,2021,May,2021-05-11,13:00,San Pablo Bay
May 2021 SP 17,2.15,0.34,2.43,0.64,1140.3,342.33,1095.2,19.23,19.03,2021-05-11 13:40:00,2021,May,2021-05-11,13:00,San Pablo Bay
May 2021 SP 18,2.6,0.23,2.96,0.76,1375.88,234.47,1333.2,22.94,19.03,2021-05-11 13:50:00,2021,May,2021-05-11,13:00,San Pablo Bay
May 2021 SP 19,2.61,0.19,3.08,0.82,1383.9,187.89,1388.08,24.71,18.93,2021-05-11 14:00:00,2021,May,2021-05-11,14:00,San Pablo Bay
