Region,SubRegion,,
,Upper Yolo Bypass,,
,Upper Napa River,,
Sac River,Sacramento River near Ryde,,
,Upper Mokelumne River,,
Sac River,Sacramento River near Rio Vista,,
,San Joaquin River at Twitchell Island,,
,San Joaquin River at Prisoners Pt,,
,Disappointment Slough,,
,Franks Tract,,
,Holland Cut,,
,Lower San Joaquin River,,
,San Joaquin River near Stockton,,
,Mildred Island,,
,Rock Slough and Discovery Bay,,
,Old River,,
,Middle River,,
,Grant Line Canal and Old River,,
,Upper San Joaquin River,,
,Victoria Canal,,
,Steamboat and Miner Slough,,
Sac River,Upper Sacramento River Ship Channel,,
Grizzly Bay,Grizzly Bay,,
,Cache Slough and Lindsey Slough,,
,Liberty Island,,
,Lower Cache Slough,,
Sac River,Lower Sacramento River Ship Channel,,
Sac River,Upper Sacramento River,,
Sac River,Middle Sacramento River,,
,Georgiana Slough,,
,Lower Mokelumne River,,
,Lower Napa River,,
Suisun Bay,Mid Suisun Bay,,
Suisun Bay,West Suisun Bay,,
,Honker Bay,,
,Carquinez Strait,,
,Confluence,,
San Pablo Bay,San Pablo Bay,,
Sac River,Lower Sacramento River,,
,Suisun Marsh,,
,San Francisco Bay,,
,South Bay,,
