Month,Year,Label,Sample_Number,GreenAlgae_2ug_L,Bluegreen_3ug_L,Diatoms_4ug_L,Cryptophyta_5ug_L,GreenAlgae_14cells_mL,Bluegreen_15cells_mL,Diatoms_16cells_mL,Cryptophyta_17cells_mL,Temp_degC,Time,Date,DOSAT_%SAT,DO_mg_L,FLUORRFU_RFU,FLUOR_ug_L,FNU_FNU,pH,SPC_uS_cm,WT_C,PAR1_umol_m-2_s-1,PAR2_umol_m-2_s-1,Latitude,Longitude,Region
March,2021,Grizzly Bay/Suisun Marsh,1,2.41,1.12,3.38,0.36,1274.48,1125,1520.29,10.95,12.29,11:33,3/10/2021,100.9,10.058,0.85,3.428,14.14666667,7.876,17227.73333,12.698,NA,NA,-122.1202728,38.0465343,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,2,2.49,1.15,3.3,0.45,1320.5,1152.7,1483.4,13.35,12.27,11:34,3/10/2021,98.25833333,9.4275,0.964166667,3.990833333,10.06666667,7.846666667,24018.16667,13.1175,NA,NA,-122.1199264,38.04691069,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,3,1.92,1.31,2.91,0.26,1016.24,1313.76,1308.9,7.71,12.2,11:35,3/10/2021,97.12678571,9.306607143,0.556071429,2.200178571,13.22321429,7.848214286,25975.98214,12.80785714,3.524772727,63.70772727,-122.119552,38.04735358,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,4,2.09,1.22,3.04,0.38,1106.81,1222.43,1367.95,11.43,12.2,11:36,3/10/2021,96.11805556,9.2,0.633472222,2.500277778,13.05138889,7.868888889,26334.18056,12.79472222,2.7275,38.7065,-122.1192754,38.04767725,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,5,1.85,1.26,2.82,0.25,978.24,1255.95,1267.86,7.57,12.22,11:37,3/10/2021,94.4078125,8.915,0.490625,1.9315625,20.065625,7.86421875,29878.78125,12.7284375,0,0,-122.1188994,38.04804528,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,6,1.76,1.21,2.78,0.28,930.52,1207,1251.57,8.24,12.21,11:38,3/10/2021,96.50833333,9.206666667,0.799166667,3.330833333,11.43333333,7.9125,25854.66667,13.03416667,NA,NA,-122.1185081,38.04839639,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,7,2.27,1.05,3.1,0.4,1202.9,1054.1,1394.1,11.95,12.22,11:39,3/10/2021,96.55,9.236666667,0.879166667,3.654166667,10.01666667,7.926666667,25105.66667,13.04916667,NA,NA,-122.1179874,38.04919625,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,8,2.13,1.1,2.93,0.33,1126.1,1103.14,1318.48,9.95,12.22,11:40,3/10/2021,96.325,9.2025,0.879166667,3.645833333,10.09166667,7.920833333,25553.75,13.04083333,NA,NA,-122.1170683,38.05038903,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,9,2.15,1.13,3.07,0.29,1140.33,1127.76,1383.05,8.9,12.24,11:41,3/10/2021,96.25454545,9.190909091,0.879090909,3.65,9.772727273,7.929090909,25512.36364,13.05,NA,NA,-122.1160959,38.05148409,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,10,2.48,1.04,3.38,0.39,1315.33,1038.14,1520.19,11.86,12.26,11:42,3/10/2021,96.175,9.170833333,0.9075,3.768333333,10.125,7.9275,25839.66667,13.05916667,NA,NA,-122.1150656,38.05245986,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,11,3.03,0.89,3.8,0.5,1607.57,887.95,1709.19,14.76,12.29,11:43,3/10/2021,96.65833333,9.238333333,1.04,4.301666667,8.825,7.94,25094.58333,13.08916667,NA,NA,-122.1140089,38.05346222,Suisun Bay
March,2021,Grizzly Bay/Suisun Marsh,12,2.98,0.9,3.69,0.45,1581.67,899.38,1662.62,13.52,12.31,11:44,3/10/2021,96.925,9.2725,1.045833333,4.323333333,8.416666667,7.94,24788.66667,13.11,NA,NA,-122.1131429,38.05439028,Suisun Bay
