MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.01-01,CB,,elliptic prism,17.44,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,4,4,22.2,,,i,BSA.01-01,CB,,elliptic prism,986.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,9.3,,,i,BSA.01-01,CB,,cylinder,232.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,273,Diatoma sp.,Diatom,Diatoma,sp.,,1,1,24.1,,,i,BSA.01-01,CB,,elliptic prism,296.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/16/2022,8:05,E0122B0013,D12,3,60,3,5.00%,0.0683,314.159,1.0245,15,102.22,538,Melosira sp.,Diatom,Melosira,sp.,,1,1,20.4,,,i,BSA.01-01,CB,,cylinder,3509.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
