MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,18,,,i,BSA.02-01,AB,Moderate sediment and high detritus.,elliptic prism,278.37,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,5.6,,,i,BSA.02-01,AB,Moderate sediment and high detritus.,cylinder,98.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,9.3,,,i,BSA.02-01,AB,Moderate sediment and high detritus.,cylinder,338.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,397,Fragilaria sp.,Diatom,Fragilaria,sp.,,1,1,57.4,,,i,BSA.02-01,AB,Moderate sediment and high detritus.,elliptic prism,338.11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,27.8,,,i,BSA.02-01,AB,Moderate sediment and high detritus.,prism on parallelogram,132.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,923,Staurosira venter,Diatom,Staurosira,venter,,1,1,7.8,,,i,BSA.02-01,AB,Moderate sediment and high detritus.,elliptic prism,49.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,5,5,9.3,,,i,BSA.02-01,AB,Moderate sediment and high detritus.,cone + half sphere,189.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/10/2022,13:50,E0222B0379,D22,3,62,7,11.29%,0.0683,314.159,1.366,20,32.85,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,806,0.8,0.8,0.8,c,BSA.02-01,AB,Moderate sediment and high detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,9.3,,,i,BSA.02-02,AB,Low sediment and detritus.,cylinder,380.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,858,cf. Psammothidium sp.,Diatom,Psammothidium,sp.,,1,1,13,,,i,BSA.02-02,AB,Low sediment and detritus.,elliptic prism,91.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,895,cf. Skeletonema sp.,Diatom,Skeletonema,sp.,,3,3,7.4,,,i,BSA.02-02,AB,Low sediment and detritus.,cylinder + 2 half spheres,79.57,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,6.8,,,c,BSA.02-02,AB,Low sediment and detritus.,prolate spheroid,18.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,1806,Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,2,2,4,,,i,BSA.02-02,AB,Low sediment and detritus.,prolate spheroid,27.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,13,,,i,BSA.02-02,AB,Low sediment and detritus.,prolate spheroid,588.72,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,13,,,i,BSA.02-02,AB,Low sediment and detritus.,cone + half sphere,591.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/15/2022,13:25,E0222B0445,NZ004,3,51,3,5.88%,0.0683,314.159,2.049,30,51.11,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,392,784,0.8,0.8,0.8,c,BSA.02-02,AB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,2/14/2022,14:00,E0222B0426,NZ032,3,59,3,5.13%,0.0683,314.159,1.0928,16,95.83,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,45,45,7.4,,,i,BSA.02-03,CB,,cylinder,116.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/14/2022,14:00,E0222B0426,NZ032,3,59,3,5.13%,0.0683,314.159,1.0928,16,95.83,289,Diploneis sp.,Diatom,Diploneis,sp.,,1,1,29.6,,,i,BSA.02-03,CB,,elliptic prism,1419.28,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/14/2022,14:00,E0222B0426,NZ032,3,59,3,5.13%,0.0683,314.159,1.0928,16,95.83,911,Staurosira construens,Diatom,Staurosira,construens,,1,1,14.8,,,i,BSA.02-03,CB,,elliptic prism,318.26,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,2/14/2022,14:00,E0222B0426,NZ032,3,59,3,5.13%,0.0683,314.159,1.0928,16,95.83,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,362,724,0.8,0.8,0.8,c,BSA.02-03,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
