MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth ft),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,2,2,13,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,elliptic prism,81.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,86,Asterionella formosa,Diatom,Asterionella,formosa,,34,34,63.8,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,box + 2 cylinders,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1917,Aulacoseira granulata var. angustissima,Diatom,Aulacoseira,granulata var. angustissima,,8,8,46.3,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,cylinder,358.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,32,32,10.1,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,cylinder,189.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,13,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,cymbelloid,65.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,540,Melosira cf. varians,Diatom,Melosira,varians,,3,3,27.8,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,cylinder,6225.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,19,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,elliptic prism,243.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,55.3,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,prism on parallelogram,252.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,923,Staurosira cf. venter,Diatom,Staurosira,venter,,2,2,9.3,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,elliptic prism,60.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,2,2,9.3,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,sphere,302.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,3/9/2022,10:30,E0322B0460,C3A,3,58,10,17.24%,0.0683,314.159,2.6637,39,11.79,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,2.6,,,i,BSA.03-01,AB,Low detritus. Many broken diatoms.,sphere,6.37,,,,,,,,,
