MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (ft.),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,3,3,13.8,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,elliptic prism,52.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,34,34,12.1,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,cylinder,242.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,13.8,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,gomphonemoid,999.94,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,18.4,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,prism on parallelogram,82.62,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,923,Staurosira cf. venter,Diatom,Staurosira,venter,,2,2,10.4,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,elliptic prism,98.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,2.7,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,sphere,7.24,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,4,4,31.5,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,2 cones,17.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,9.3,,,i,BSA.04-01,AB,Cannot meet tally in 50 fields.,cone + half sphere,236.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,9:00,E0422B0667,C3A,3,59,6,10.17%,0.0683,314.159,3.415,50,15.33,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,299,598,0.8,0.8,0.8,c,BSA.04-01,AB,Cannot meet tally in 50 fields.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,25.9,,,i,BSA.04-02,CB,,elliptic prism,923.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,16,16,7.4,,,i,BSA.04-02,CB,,cylinder,142.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,27.8,,,i,BSA.04-02,CB,,elliptic prism,597.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/6/2022,10:45,E0422B0668,C9,3,62,5,8.06%,0.0683,314.159,1.5026,22,41.82,846,Planothidium sp.,Diatom,Planothidium,sp.,,1,1,20.4,,,i,BSA.04-02,CB,,elliptic prism,358.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
