MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,3,3,16.7,,,i,BSA.06-01,AB,Moderate sediment.,elliptic prism,245.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,25,25,6,,,i,BSA.06-01,AB,Moderate sediment.,cylinder,77.87,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,24.1,,,i,BSA.06-01,AB,Moderate sediment.,prism on parallelogram,111.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,7,7,4.4,,,i,BSA.06-01,AB,Moderate sediment.,cylinder + 2 cones,5.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,4,4,5.6,,,i,BSA.06-01,AB,Moderate sediment.,ellipsoid,7.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,17,17,7.4,,,i,BSA.06-01,AB,Moderate sediment.,2 cones,5.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,3,3,8.5,,,i,BSA.06-01,AB,Moderate sediment.,cone + half sphere,250.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,25,25,11.1,,,i,BSA.06-01,AB,Moderate sediment.,cone + half sphere,282.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,6/21/2022,13:45,E0622B1201,D19,3,59,9,15.25%,0.0683,314.159,2.1173,31,16.49,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,29,29,7.4,,,i,BSA.06-01,AB,Moderate sediment.,cone + half sphere,112.82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
