MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,9/19/2022,11:20,E0922B2130,D6,3,63,3,4.76%,0.0683,314.159,2.8686,42,36.51,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,13,13,6.5,,,i,BSA.09-01,AB,Low sediment and detritus.,cylinder,91.86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,11:20,E0922B2130,D6,3,63,3,4.76%,0.0683,314.159,2.8686,42,36.51,744,Nitzschia cf. sigma,Diatom,Nitzschia,sigma,,1,1,57.4,,,i,BSA.09-01,AB,Low sediment and detritus.,prism on parallelogram,1446.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,11:20,E0922B2130,D6,3,63,3,4.76%,0.0683,314.159,2.8686,42,36.51,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,2,2,10.7,,,i,BSA.09-01,AB,Low sediment and detritus.,sphere,270.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,11:20,E0922B2130,D6,3,63,3,4.76%,0.0683,314.159,2.8686,42,36.51,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,7.4,,,i,BSA.09-01,AB,Low sediment and detritus.,cone + half sphere,163.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/19/2022,11:20,E0922B2130,D6,3,63,3,4.76%,0.0683,314.159,2.8686,42,36.51,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,388,776,0.8,0.8,0.8,c,BSA.09-01,AB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,9.3,,,i,BSA.09-02,CB,,cylinder,186.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,481,Gyrosigma sp.,Diatom,Gyrosigma,sp.,,1,1,129.6,,,i,BSA.09-02,CB,,prism on parallelogram,7328.88,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,42.6,,,i,BSA.09-02,CB,,prism on parallelogram,158.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,17,17,18.5,,,i,BSA.09-02,CB,,cylinder + 2 half spheres,418.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,1,1,5.6,,,i,BSA.09-02,CB,,cone + half sphere,91.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,4,4,16.7,,,i,BSA.09-02,CB,,prolate spheroid,251.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.09-02,CB,,cone + half sphere,337.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,15,15,5.6,,,i,BSA.09-02,CB,,cone + half sphere,72.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/21/2022,11:45,E0922B2209,D41,3,64,6,9.38%,0.0683,314.159,1.0928,16,47.91,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,368,736,0.8,0.8,0.8,c,BSA.09-02,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
