MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,24.1,,,i,BSA.11-01,CB,,elliptic prism,959.65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,13,,,i,BSA.11-01,CB,,elliptic prism,166.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,18.5,,,i,BSA.11-01,CB,,elliptic prism,227.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,2,2,14.8,,,i,BSA.11-01,CB,,cylinder + 2 half spheres,91.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,11.1,,,i,BSA.11-01,CB,,2 cones,20.98,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,1305,cf. Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,1,1,7.4,,,i,BSA.11-01,CB,,prolate spheroid,121.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,1,1,5.6,,,i,BSA.11-01,CB,,cone + half sphere,91.95,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,3,3,19.8,,,i,BSA.11-01,CB,,prolate spheroid,725.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,16,16,11.1,,,i,BSA.11-01,CB,,cone + half sphere,357.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,1733,Teleaulax amphioxeia,Soft Body,Teleaulax,amphioxeia,Plagioselmis prolonga,16,16,5.6,,,i,BSA.11-01,CB,,cone + half sphere,73.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2022,14:30,E1122B2487,D28A,3,59,5,8.47%,0.0683,314.159,1.1611,17,54.11,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,371,742,0.8,0.8,0.8,c,BSA.11-01,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
