"","DateTime","Month","Year","StationCode","Region","Study","Factor","Taxon","Genus","Species","UnitAbundance","TotalCells","GALD","BV.Avg","Units.per.mL","BV.um3.per.mL","Group"
"1",2016-06-09 06:25:00,"Jun","2016","D12","Confluence","EMP",900.86,"cf. Cyclotella sp.","Cyclotella","sp.",2,2,5,39.27,1801.72,70753.5444,"Diatoms"
"2",2016-06-09 06:25:00,"Jun","2016","D12","Confluence","EMP",900.86,"Entomoneis sp.","Entomoneis","sp.",1,1,44.4,10322.01,900.86,9298685.9286,"Diatoms"
"3",2016-06-09 06:25:00,"Jun","2016","D12","Confluence","EMP",900.86,"Chlorella vulgaris","Chlorella","vulgaris",46,46,2.8,11.49,41439.56,476140.5444,"Green Algae"
"4",2016-06-09 06:25:00,"Jun","2016","D12","Confluence","EMP",900.86,"Eucapsis microscopica","Eucapsis","microscopicus",477,995,0.65,0.17,429710.22,152380.469,"Cyanobacteria"
"5",2016-06-10 05:40:00,"Jun","2016","D16","Central Delta","EMP",750.72,"Chlorella vulgaris","Chlorella","vulgaris",14,14,2.8,11.49,10510.08,120760.8192,"Green Algae"
"6",2016-06-10 05:40:00,"Jun","2016","D16","Central Delta","EMP",750.72,"Eucapsis microscopica","Eucapsis","microscopicus",441,916,0.65,0.17,331067.52,116902.1184,"Cyanobacteria"
"7",2016-06-13 12:35:00,"Jun","2016","D22","Confluence","EMP",900.86,"Aulacoseira sp.","Aulacoseira","sp.",1,1,20.4,1385.75,900.86,1248366.745,"Diatoms"
"8",2016-06-13 12:35:00,"Jun","2016","D22","Confluence","EMP",900.86,"cf. Cyclotella sp.","Cyclotella","sp.",7,7,5.6,93.07,6306.02,586901.2814,"Diatoms"
"9",2016-06-13 12:35:00,"Jun","2016","D22","Confluence","EMP",900.86,"Chlorella vulgaris","Chlorella","vulgaris",44,44,2.8,11.49,39637.84,455438.7816,"Green Algae"
"10",2016-06-13 12:35:00,"Jun","2016","D22","Confluence","EMP",900.86,"Eucapsis microscopica","Eucapsis","microscopicus",607,1277,0.65,0.17,546822.02,195567.6974,"Cyanobacteria"
"11",2016-06-13 12:35:00,"Jun","2016","D22","Confluence","EMP",900.86,"cf. Planktolyngbya limnetica","Planktolyngbya","limnetica",1,11,1.9,1.21,900.86,11990.4466,"Cyanobacteria"
"12",2014-04-09 09:55:00,"Apr","2014","EZ6","Entrapment Zone","EMP",750.72,"Synedra ulna","Synedra","ulna",1,1,22.4,738.9,750.72,554707.008,"Diatoms"
"13",2014-04-09 09:55:00,"Apr","2014","EZ6","Entrapment Zone","EMP",750.72,"Eucapsis microscopica","Eucapsis","microscopicus",422,896,0.85,0.325,316803.84,218609.664,"Cyanobacteria"
"14",2014-04-08 12:30:00,"Apr","2014","P8","Southern Interior Delta","EMP",50.05,"Aulacoseira sp.","Aulacoseira","sp.",3,3,5.6,60.21,150.15,9040.5315,"Diatoms"
"15",2014-04-08 12:30:00,"Apr","2014","P8","Southern Interior Delta","EMP",50.05,"Bacillaria paxillifer","Bacillaria","paxillifer",1,1,97.2,4082.4,50.05,204324.12,"Diatoms"
"16",2014-04-08 12:30:00,"Apr","2014","P8","Southern Interior Delta","EMP",50.05,"Cocconeis placentula","Cocconeis","placentula",1,1,22.4,729.05,50.05,36488.9525,"Diatoms"
"17",2014-04-08 12:30:00,"Apr","2014","P8","Southern Interior Delta","EMP",50.05,"Craticula buderi","Craticula","buderi",1,1,16.8,273.39,50.05,13683.1695,"Diatoms"
"18",2014-04-08 12:30:00,"Apr","2014","P8","Southern Interior Delta","EMP",50.05,"Cyclotella sp.","Cyclotella","sp.",1,1,11.2,738.9,50.05,36981.945,"Diatoms"
"19",2014-04-08 12:30:00,"Apr","2014","P8","Southern Interior Delta","EMP",50.05,"Hippodonta capitata","Hippodonta","capitata",1,1,18.7,304.31,50.05,15230.7155,"Diatoms"
