"","DateTime","Month","Year","StationCode","Study","Region","Factor","Group","Taxon","Genus","Species","UnitAbundance","TotalCells","BV.Avg","Units.per.mL","BV.um3.per.mL"
"1",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Diatoms","Achnanthidium sp.","Achnanthidium","sp.",1,1,17.44,102.22,1782.7168
"2",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Diatoms","Cocconeis placentula","Cocconeis","placentula",4,4,986.68,408.88,403433.7184
"3",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Diatoms","cf. Cyclotella sp.","Cyclotella","sp.",2,2,232.75,204.44,47583.41
"4",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Diatoms","Diatoma sp.","Diatoma","sp.",1,1,296.79,102.22,30337.8738
"5",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Diatoms","Melosira sp.","Melosira","sp.",1,1,3509.48,102.22,358739.0456
"6",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Diatoms","Navicula sp.","Navicula","sp.",1,1,795.65,102.22,81331.343
"7",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Diatoms","Nitzschia sp.","Nitzschia","sp.",3,3,152.9,306.66,46888.314
"8",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Green Algae","Monoraphidium sp.","Monoraphidium","sp.",1,1,34.97,102.22,3574.6334
"9",2022-01-16 08:05:00,"Jan","2022","D12","EMP","Confluence",102.22,"Cyanobacteria","Eucapsis microscopica","Eucapsis","microscopica",392,784,0.18,40070.24,14425.2864
"10",2022-01-07 08:15:00,"Jan","2022","D26","EMP","Central Delta",71.87,"Diatoms","Cocconeis sp.","Cocconeis","sp.",1,1,586.77,71.87,42171.1599
"11",2022-01-07 08:15:00,"Jan","2022","D26","EMP","Central Delta",71.87,"Diatoms","Cyclotella sp.","Cyclotella","sp.",1,1,153.94,71.87,11063.6678
"12",2022-01-07 08:15:00,"Jan","2022","D26","EMP","Central Delta",71.87,"Diatoms","Navicula sp.","Navicula","sp.",1,1,732.3,71.87,52630.401
"13",2022-01-07 08:15:00,"Jan","2022","D26","EMP","Central Delta",71.87,"Diatoms","cf. Nitzschia sp.","Nitzschia","sp.",1,1,40.5,71.87,2910.735
"14",2022-01-07 08:15:00,"Jan","2022","D26","EMP","Central Delta",71.87,"Diatoms","Nitzschia sp.","Nitzschia","sp.",1,1,135,71.87,9702.45
"15",2022-01-07 08:15:00,"Jan","2022","D26","EMP","Central Delta",71.87,"Cryptophytes","Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica",2,2,392.23,143.74,56379.1402
"16",2022-01-07 08:15:00,"Jan","2022","D26","EMP","Central Delta",71.87,"Cyanobacteria","Eucapsis microscopica","Eucapsis","microscopica",415,830,0.18,29826.05,10737.378
