SampleID,Genus,Year,Month,Region,StationCode,Group,Units.per.L,BV.um3.per.L
EMP.D19.2013.09.23,Chroomonas,2013,Sep,Central Delta,D19,Cryptophytes,64350,12413758.5
EMP.D19.2013.09.23,Chroococcus,2013,Sep,Central Delta,D19,Cyanobacteria,1737450,255354313.5
EMP.D19.2013.09.23,Eucapsis,2013,Sep,Central Delta,D19,Cyanobacteria,24453000,15915363.75
EMP.D19.2013.09.23,Merismopedia,2013,Sep,Central Delta,D19,Cyanobacteria,128700,5642208
EMP.D19.2013.09.23,Aulacoseira,2013,Sep,Central Delta,D19,Diatoms,965250,2110036500
EMP.D19.2013.09.23,Cocconeis,2013,Sep,Central Delta,D19,Diatoms,128700,42074604
EMP.D19.2013.09.23,Cyclotella,2013,Sep,Central Delta,D19,Diatoms,257400,103160772
EMP.D19.2013.09.23,Nitzschia,2013,Sep,Central Delta,D19,Diatoms,64350,18799852.5
EMP.D19.2013.09.23,Pseudokephyrion,2013,Sep,Central Delta,D19,Golden Algae,64350,3602956.5
EMP.D28A.2013.09.23,Chroomonas,2013,Sep,Central Delta,D28A,Cryptophytes,56300,10860833
EMP.D28A.2013.09.23,Plagioselmis,2013,Sep,Central Delta,D28A,Cryptophytes,394100,101922142
EMP.D28A.2013.09.23,Rhodomonas,2013,Sep,Central Delta,D28A,Cryptophytes,56300,52105650
EMP.D28A.2013.09.23,Eucapsis,2013,Sep,Central Delta,D28A,Cyanobacteria,20662100,13576745
EMP.D28A.2013.09.23,Aulacoseira,2013,Sep,Central Delta,D28A,Diatoms,788200,2211582230
EMP.D28A.2013.09.23,Bacillaria,2013,Sep,Central Delta,D28A,Diatoms,56300,17498040
EMP.D28A.2013.09.23,Cocconeis,2013,Sep,Central Delta,D28A,Diatoms,506700,265149354
EMP.D28A.2013.09.23,Epithemia,2013,Sep,Central Delta,D28A,Diatoms,56300,17659058
EMP.D28A.2013.09.23,Nitzschia,2013,Sep,Central Delta,D28A,Diatoms,168900,6739110
EMP.D28A.2013.09.23,Planothidium,2013,Sep,Central Delta,D28A,Diatoms,56300,4540032
EMP.D28A.2013.09.23,Synedra,2013,Sep,Central Delta,D28A,Diatoms,56300,46267903
EMP.D28A.2013.09.23,Tryblionella,2013,Sep,Central Delta,D28A,Diatoms,56300,484211528
EMP.D28A.2013.09.23,Pseudokephyrion,2013,Sep,Central Delta,D28A,Golden Algae,56300,2623017
EMP.D28A.2013.09.23,Chlamydomonas,2013,Sep,Central Delta,D28A,Green Algae,56300,5176785
EMP.C3A.2013.09.23,Eucapsis,2013,Sep,Northern Interior Delta,C3A,Cyanobacteria,30778700,20225734.75
EMP.C3A.2013.09.23,Achnanthidium,2013,Sep,Northern Interior Delta,C3A,Diatoms,225210,36321868.8
EMP.C3A.2013.09.23,Bacillaria,2013,Sep,Northern Interior Delta,C3A,Diatoms,75070,29322342
EMP.C3A.2013.09.23,Cocconeis,2013,Sep,Northern Interior Delta,C3A,Diatoms,300280,64013690.4
EMP.C3A.2013.09.23,Cyclotella,2013,Sep,Northern Interior Delta,C3A,Diatoms,225210,14456229.9
EMP.C3A.2013.09.23,Nitzschia,2013,Sep,Northern Interior Delta,C3A,Diatoms,225210,20194580.7
EMP.C3A.2013.09.23,Pseudostaurosira,2013,Sep,Northern Interior Delta,C3A,Diatoms,75070,11361093.8
EMP.C3A.2013.09.23,Stauroneis,2013,Sep,Northern Interior Delta,C3A,Diatoms,75070,77696699.3
EMP.C3A.2013.09.23,Synedra,2013,Sep,Northern Interior Delta,C3A,Diatoms,2101960,256544218
EMP.D26.2013.09.24,Komma,2013,Sep,Central Delta,D26,Cryptophytes,75070,12381295.1
EMP.D26.2013.09.24,Plagioselmis,2013,Sep,Central Delta,D26,Cryptophytes,75070,23797190
EMP.D26.2013.09.24,Chroococcus,2013,Sep,Central Delta,D26,Cyanobacteria,150140,1078005.2
EMP.D26.2013.09.24,Eucapsis,2013,Sep,Central Delta,D26,Cyanobacteria,31529400,22037699.34
EMP.D26.2013.09.24,Aulacoseira,2013,Sep,Central Delta,D26,Diatoms,1576470,1170056034
EMP.D26.2013.09.24,Cyclotella,2013,Sep,Central Delta,D26,Diatoms,150140,13682258.2
EMP.D26.2013.09.24,Fragilaria,2013,Sep,Central Delta,D26,Diatoms,75070,17225562.2
EMP.P8.2013.09.24,Chroococcus,2013,Sep,Southern Interior Delta,P8,Cyanobacteria,150140,1617007.8
EMP.P8.2013.09.24,Eucapsis,2013,Sep,Southern Interior Delta,P8,Cyanobacteria,25673940,16688061
EMP.P8.2013.09.24,Merismopedia,2013,Sep,Southern Interior Delta,P8,Cyanobacteria,150140,7927392
EMP.P8.2013.09.24,Microcystis,2013,Sep,Southern Interior Delta,P8,Cyanobacteria,3228010,191797844.4
EMP.P8.2013.09.24,Oscillatoria,2013,Sep,Southern Interior Delta,P8,Cyanobacteria,75070,280227301.6
EMP.P8.2013.09.24,Pseudanabaena,2013,Sep,Southern Interior Delta,P8,Cyanobacteria,75070,10729004.4
EMP.P8.2013.09.24,Aulacoseira,2013,Sep,Southern Interior Delta,P8,Diatoms,975910,400962382.6
EMP.P8.2013.09.24,Cyclotella,2013,Sep,Southern Interior Delta,P8,Diatoms,450420,52140619.2
EMP.P8.2013.09.24,Nitzschia,2013,Sep,Southern Interior Delta,P8,Diatoms,150140,5067225
EMP.P8.2013.09.24,Pseudostaurosira,2013,Sep,Southern Interior Delta,P8,Diatoms,600560,76175030.4
EMP.P8.2013.09.24,Synedra,2013,Sep,Southern Interior Delta,P8,Diatoms,75070,28556628
EMP.P8.2013.09.24,Tryblionella,2013,Sep,Southern Interior Delta,P8,Diatoms,75070,55469223
EMP.P8.2013.09.24,Monoraphidium,2013,Sep,Southern Interior Delta,P8,Green Algae,75070,922610.3
EMP.P8.2013.09.24,Scenedesmus,2013,Sep,Southern Interior Delta,P8,Green Algae,300280,7736714.2
EMP.C10A.2013.09.24,Rhodomonas,2013,Sep,Southern Interior Delta,C10A,Cryptophytes,90090,55325169.9
EMP.C10A.2013.09.24,Eucapsis,2013,Sep,Southern Interior Delta,C10A,Cyanobacteria,42702660,29119970.88
EMP.C10A.2013.09.24,Gloeocapsa,2013,Sep,Southern Interior Delta,C10A,Cyanobacteria,90090,9556747.2
EMP.C10A.2013.09.24,Oscillatoria,2013,Sep,Southern Interior Delta,C10A,Cyanobacteria,90090,586641755.7
EMP.C10A.2013.09.24,Achnanthidium,2013,Sep,Southern Interior Delta,C10A,Diatoms,90090,4931526.6
EMP.C10A.2013.09.24,Amphora,2013,Sep,Southern Interior Delta,C10A,Diatoms,180180,98891793
EMP.C10A.2013.09.24,Cocconeis,2013,Sep,Southern Interior Delta,C10A,Diatoms,180180,26416189.8
EMP.C10A.2013.09.24,Cyclotella,2013,Sep,Southern Interior Delta,C10A,Diatoms,1891890,172407935.7
EMP.C10A.2013.09.24,Hippodonta,2013,Sep,Southern Interior Delta,C10A,Diatoms,90090,27415287.9
EMP.C10A.2013.09.24,Navicula,2013,Sep,Southern Interior Delta,C10A,Diatoms,720720,641176836.3
EMP.C10A.2013.09.24,Nitzschia,2013,Sep,Southern Interior Delta,C10A,Diatoms,450450,92964771.9
EMP.C10A.2013.09.24,Plagiotropis,2013,Sep,Southern Interior Delta,C10A,Diatoms,90090,609743534.4
EMP.C10A.2013.09.24,Pseudostaurosira,2013,Sep,Southern Interior Delta,C10A,Diatoms,1441440,262716854.4
EMP.C10A.2013.09.24,Sellaphora,2013,Sep,Southern Interior Delta,C10A,Diatoms,90090,111031420.5
EMP.C10A.2013.09.24,Stephanocyclus,2013,Sep,Southern Interior Delta,C10A,Diatoms,1081080,2446365121
EMP.C10A.2013.09.24,Surirella,2013,Sep,Southern Interior Delta,C10A,Diatoms,90090,1135715081
EMP.C10A.2013.09.24,Synedra,2013,Sep,Southern Interior Delta,C10A,Diatoms,180180,1079919641
EMP.C10A.2013.09.24,Pseudokephyrion,2013,Sep,Southern Interior Delta,C10A,Golden Algae,90090,3616212.6
EMP.C10A.2013.09.24,Crucigenia,2013,Sep,Southern Interior Delta,C10A,Green Algae,90090,7091884.8
EMP.C10A.2013.09.24,Scenedesmus,2013,Sep,Southern Interior Delta,C10A,Green Algae,180180,9223414.2
EMP.C10A.2013.09.24,Tetraedron,2013,Sep,Southern Interior Delta,C10A,Green Algae,90090,28829700.9
EMP.MD10A.2013.09.24,Eucapsis,2013,Sep,Southern Interior Delta,MD10A,Cyanobacteria,13513500,8512194.6
EMP.MD10A.2013.09.24,Achnanthidium,2013,Sep,Southern Interior Delta,MD10A,Diatoms,40950,6606463.5
EMP.MD10A.2013.09.24,Aulacoseira,2013,Sep,Southern Interior Delta,MD10A,Diatoms,3644550,18421432848
EMP.MD10A.2013.09.24,Nitzschia,2013,Sep,Southern Interior Delta,MD10A,Diatoms,40950,2159293.5
EMP.D8.2013.09.25,Hillea,2013,Sep,Grizzly and Suisun Bay,D8,Cryptophytes,56300,3026688
EMP.D8.2013.09.25,Plagioselmis,2013,Sep,Grizzly and Suisun Bay,D8,Cryptophytes,168900,53541300
EMP.D8.2013.09.25,Eucapsis,2013,Sep,Grizzly and Suisun Bay,D8,Cyanobacteria,22520000,14887521.6
EMP.D8.2013.09.25,Aulacoseira,2013,Sep,Grizzly and Suisun Bay,D8,Diatoms,168900,52416426
EMP.D8.2013.09.25,Bacillaria,2013,Sep,Grizzly and Suisun Bay,D8,Diatoms,56300,10849010
EMP.D8.2013.09.25,Cyclotella,2013,Sep,Grizzly and Suisun Bay,D8,Diatoms,225200,82089904
EMP.D8.2013.09.25,Fragilaria,2013,Sep,Grizzly and Suisun Bay,D8,Diatoms,56300,7141092
EMP.D8.2013.09.25,Navicula,2013,Sep,Grizzly and Suisun Bay,D8,Diatoms,56300,22945628
EMP.D8.2013.09.25,Nitzschia,2013,Sep,Grizzly and Suisun Bay,D8,Diatoms,112600,8631916
EMP.D4.2013.09.25,Hillea,2013,Sep,Confluence,D4,Cryptophytes,300280,5792401.2
EMP.D4.2013.09.25,Rhodomonas,2013,Sep,Confluence,D4,Cryptophytes,150140,136176980
EMP.D4.2013.09.25,Eucapsis,2013,Sep,Confluence,D4,Cyanobacteria,30328280,18999015.88
EMP.D4.2013.09.25,Aulacoseira,2013,Sep,Confluence,D4,Diatoms,150140,61686520.4
EMP.D4.2013.09.25,Cyclotella,2013,Sep,Confluence,D4,Diatoms,300280,36868378.4
EMP.D4.2013.09.25,Entomoneis,2013,Sep,Confluence,D4,Diatoms,75070,122962407.9
EMP.D4.2013.09.25,Synedra,2013,Sep,Confluence,D4,Diatoms,150140,22722187.6
