SampleID,Genus,BV.um3.per.L,,Year,Month,Region,StationCode
EMP.D19.2013.09.23,Chroomonas,12413758.5,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Chroococcus,255354313.5,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Eucapsis,15915363.75,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Merismopedia,5642208,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Aulacoseira,2110036500,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Cocconeis,42074604,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Cyclotella,103160772,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Nitzschia,18799852.5,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Pseudokephyrion,3602956.5,,2013,Sep,Central Delta,D19
EMP.D28A.2013.09.23,Chroomonas,10860833,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Plagioselmis,101922142,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Rhodomonas,52105650,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Eucapsis,13576745,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Aulacoseira,2211582230,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Bacillaria,17498040,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Cocconeis,265149354,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Epithemia,17659058,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Nitzschia,6739110,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Planothidium,4540032,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Synedra,46267903,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Tryblionella,484211528,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Pseudokephyrion,2623017,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Chlamydomonas,5176785,,2013,Sep,Central Delta,D28A
