SampleID,Genus,Units.per.L,,Year,Month,Region,StationCode
EMP.D19.2013.09.23,Chroomonas,64350,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Chroococcus,1737450,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Eucapsis,24453000,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Merismopedia,128700,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Aulacoseira,965250,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Cocconeis,128700,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Cyclotella,257400,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Nitzschia,64350,,2013,Sep,Central Delta,D19
EMP.D19.2013.09.23,Pseudokephyrion,64350,,2013,Sep,Central Delta,D19
EMP.D28A.2013.09.23,Chroomonas,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Plagioselmis,394100,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Rhodomonas,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Eucapsis,20662100,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Aulacoseira,788200,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Bacillaria,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Cocconeis,506700,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Epithemia,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Nitzschia,168900,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Planothidium,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Synedra,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Tryblionella,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Pseudokephyrion,56300,,2013,Sep,Central Delta,D28A
EMP.D28A.2013.09.23,Chlamydomonas,56300,,2013,Sep,Central Delta,D28A
EMP.C3A.2013.09.23,Eucapsis,30778700,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Achnanthidium,225210,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Bacillaria,75070,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Cocconeis,300280,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Cyclotella,225210,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Nitzschia,225210,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Pseudostaurosira,75070,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Stauroneis,75070,,2013,Sep,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Synedra,2101960,,2013,Sep,Northern Interior Delta,C3A
EMP.D26.2013.09.24,Komma,75070,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Plagioselmis,75070,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Chroococcus,150140,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Eucapsis,31529400,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Aulacoseira,1576470,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Cyclotella,150140,,2013,Sep,Central Delta,D26
EMP.D26.2013.09.24,Fragilaria,75070,,2013,Sep,Central Delta,D26
EMP.P8.2013.09.24,Chroococcus,150140,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Eucapsis,25673940,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Merismopedia,150140,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Microcystis,3228010,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Oscillatoria,75070,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Pseudanabaena,75070,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Aulacoseira,975910,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Cyclotella,450420,,2013,Sep,Southern Interior Delta,P8
EMP.P8.2013.09.24,Nitzschia,150140,,2013,Sep,Southern Interior Delta,P8
