"","Year","Month","DateTime","Region","StationCode","Group","Units.per.mL","BV.um3.per.mL"
"1","2013","Sep",2013-09-23 08:52:00,"Central Delta","D19","Cryptophytes",64.35,12413.7585
"2","2013","Sep",2013-09-23 08:52:00,"Central Delta","D19","Cyanobacteria",26319.15,276911.88525
"3","2013","Sep",2013-09-23 08:52:00,"Central Delta","D19","Diatoms",1415.7,2274071.7285
"4","2013","Sep",2013-09-23 08:52:00,"Central Delta","D19","Golden Algae",64.35,3602.9565
"5","2013","Sep",2013-09-23 09:56:00,"Central Delta","D28A","Cryptophytes",506.7,164888.625
"6","2013","Sep",2013-09-23 09:56:00,"Central Delta","D28A","Cyanobacteria",20662.1,13576.745
"7","2013","Sep",2013-09-23 09:56:00,"Central Delta","D28A","Diatoms",1745.3,3053647.255
"8","2013","Sep",2013-09-23 09:56:00,"Central Delta","D28A","Golden Algae",56.3,2623.017
"9","2013","Sep",2013-09-23 09:56:00,"Central Delta","D28A","Green Algae",56.3,5176.785
"10","2013","Sep",2013-09-23 12:30:00,"Northern Interior Delta","C3A","Cyanobacteria",30778.7,20225.73475
"11","2013","Sep",2013-09-23 12:30:00,"Northern Interior Delta","C3A","Diatoms",3303.08,509910.7229
"12","2013","Sep",2013-09-24 08:00:00,"Central Delta","D26","Cryptophytes",150.14,36178.4851
"13","2013","Sep",2013-09-24 08:00:00,"Central Delta","D26","Cyanobacteria",31679.54,23115.70454
"14","2013","Sep",2013-09-24 08:00:00,"Central Delta","D26","Diatoms",1801.68,1200963.8544
"15","2013","Sep",2013-09-24 09:21:00,"Southern Interior Delta","P8","Cyanobacteria",29352.37,508986.6112
"16","2013","Sep",2013-09-24 09:21:00,"Southern Interior Delta","P8","Diatoms",2327.17,618371.1082
"17","2013","Sep",2013-09-24 09:21:00,"Southern Interior Delta","P8","Green Algae",375.35,8659.3245
"18","2013","Sep",2013-09-24 09:52:00,"Southern Interior Delta","C10A","Cryptophytes",90.09,55325.1699
"19","2013","Sep",2013-09-24 09:52:00,"Southern Interior Delta","C10A","Cyanobacteria",42882.84,625318.47378
"20","2013","Sep",2013-09-24 09:52:00,"Southern Interior Delta","C10A","Diatoms",6576.57,6709695.993
"21","2013","Sep",2013-09-24 09:52:00,"Southern Interior Delta","C10A","Golden Algae",90.09,3616.2126
"22","2013","Sep",2013-09-24 09:52:00,"Southern Interior Delta","C10A","Green Algae",360.36,45144.9999
"23","2013","Sep",2013-09-24 10:45:00,"Southern Interior Delta","MD10A","Cyanobacteria",13513.5,8512.1946
"24","2013","Sep",2013-09-24 10:45:00,"Southern Interior Delta","MD10A","Diatoms",3726.45,18430198.605
"25","2013","Sep",2013-09-25 08:15:00,"Grizzly and Suisun Bay","D8","Cryptophytes",225.2,56567.988
"26","2013","Sep",2013-09-25 08:15:00,"Grizzly and Suisun Bay","D8","Cyanobacteria",22520,14887.5216
"27","2013","Sep",2013-09-25 08:15:00,"Grizzly and Suisun Bay","D8","Diatoms",675.6,184073.976
"28","2013","Sep",2013-09-25 09:35:00,"Confluence","D4","Cryptophytes",450.42,141969.3812
"29","2013","Sep",2013-09-25 09:35:00,"Confluence","D4","Cyanobacteria",30328.28,18999.01588
"30","2013","Sep",2013-09-25 09:35:00,"Confluence","D4","Diatoms",675.63,244239.4943
"31","2013","Sep",2013-09-25 09:35:00,"Confluence","D4","Dinoflagellates",75.07,55222.9934
"32","2013","Sep",2013-09-25 09:35:00,"Confluence","D4","Green Algae",75.07,16582.2123
"33","2013","Sep",2013-09-25 09:35:00,"Confluence","D4","Other",75.07,75548.1959
"34","2013","Sep",2013-09-25 09:35:00,"Entrapment Zone","EZ6","Cyanobacteria",36936.9,26502.6762
"35","2013","Sep",2013-09-25 09:35:00,"Entrapment Zone","EZ6","Diatoms",810.81,223641.2178
"36","2013","Sep",2013-09-25 10:20:00,"Entrapment Zone","EZ2","Cyanobacteria",43423.38,28488.71025
"37","2013","Sep",2013-09-25 10:20:00,"Entrapment Zone","EZ2","Diatoms",1351.35,720788.4684
"38","2013","Sep",2013-09-26 08:45:00,"Grizzly and Suisun Bay","D7","Cyanobacteria",23983.8,16192.7808
"39","2013","Sep",2013-09-26 08:45:00,"Grizzly and Suisun Bay","D7","Diatoms",337.8,81307.334
"40","2013","Sep",2013-09-27 08:25:00,"San Pablo Bay","D41A","Cryptophytes",23.1,6799.716
"41","2013","Sep",2013-09-27 08:25:00,"San Pablo Bay","D41A","Cyanobacteria",5255.25,3294.2679
"42","2013","Sep",2013-09-27 08:25:00,"San Pablo Bay","D41A","Diatoms",127.05,125339.214
"43","2013","Sep",2013-09-27 08:25:00,"San Pablo Bay","D41A","Green Algae",11.55,1062.0225
"44","2013","Sep",2013-09-27 09:25:00,"San Pablo Bay","D41","Cryptophytes",2123.55,466424.244
"45","2013","Sep",2013-09-27 09:25:00,"San Pablo Bay","D41","Cyanobacteria",25804.35,17297.28
"46","2013","Sep",2013-09-27 09:25:00,"San Pablo Bay","D41","Diatoms",643.5,69474.1905
"47","2013","Sep",2013-09-27 09:25:00,"San Pablo Bay","D41","Dinoflagellates",128.7,2143411.6275
"48","2013","Sep",2013-09-27 09:25:00,"San Pablo Bay","D41","Golden Algae",128.7,2060.487
"49","2013","Sep",2013-09-27 09:25:00,"San Pablo Bay","D41","Other",64.35,21227.1345
"50","2013","Sep",2013-09-27 11:10:00,"San Pablo Bay","D6","Cryptophytes",150.15,95333.238
"51","2013","Sep",2013-09-27 11:10:00,"San Pablo Bay","D6","Cyanobacteria",19819.8,12947.935
"52","2013","Sep",2013-09-27 11:10:00,"San Pablo Bay","D6","Diatoms",150.15,31395.8645
"53","2013","Sep",2013-09-27 11:10:00,"San Pablo Bay","D6","Golden Algae",150.15,6027.021
"54","2013","Sep",2013-09-27 11:10:00,"San Pablo Bay","D6","Green Algae",50.05,7196.6895
"55","2013","Nov",2013-11-07 08:15:00,"Central Delta","D26","Cryptophytes",300.28,165667.4788
"56","2013","Nov",2013-11-07 08:15:00,"Central Delta","D26","Cyanobacteria",28676.74,20070.7152
"57","2013","Nov",2013-11-07 08:15:00,"Central Delta","D26","Diatoms",3978.71,973940.1632
"58","2013","Nov",2013-11-07 08:15:00,"Central Delta","D26","Golden Algae",75.07,4035.7632
"59","2013","Nov",2013-11-07 08:15:00,"Central Delta","D26","Green Algae",75.07,4080.8052
"60","2013","Nov",2013-11-07 09:15:00,"Northern Interior Delta","C3A","Cyanobacteria",24195.6,15664.39875
"61","2013","Nov",2013-11-07 09:15:00,"Northern Interior Delta","C3A","Diatoms",3088.8,993108.402
"62","2013","Nov",2013-11-07 09:15:00,"Northern Interior Delta","C3A","Green Algae",64.35,14214.2715
"63","2013","Nov",2013-11-07 09:30:00,"Southern Interior Delta","MD10A","Cryptophytes",337.8,107082.6
"64","2013","Nov",2013-11-07 09:30:00,"Southern Interior Delta","MD10A","Cyanobacteria",20549.5,13187.9372
"65","2013","Nov",2013-11-07 09:30:00,"Southern Interior Delta","MD10A","Diatoms",2195.7,8226134.876
"66","2013","Nov",2013-11-07 09:30:00,"Southern Interior Delta","MD10A","Golden Algae",56.3,3420.225
"67","2013","Nov",2013-11-07 09:30:00,"Southern Interior Delta","MD10A","Green Algae",731.9,67298.205
"68","2013","Nov",2013-11-07 11:00:00,"Southern Interior Delta","P8","Cryptophytes",90.09,21800.8791
"69","2013","Nov",2013-11-07 11:00:00,"Southern Interior Delta","P8","Cyanobacteria",32972.94,23841.86805
"70","2013","Nov",2013-11-07 11:00:00,"Southern Interior Delta","P8","Diatoms",3153.15,2859000.7446
"71","2013","Nov",2013-11-07 11:00:00,"Southern Interior Delta","P8","Golden Algae",90.09,6152.2461
"72","2013","Nov",2013-11-07 11:00:00,"Southern Interior Delta","P8","Green Algae",450.45,41418.8775
"73","2013","Nov",2013-11-07 11:00:00,"Southern Interior Delta","P8","Other",90.09,1695.4938
"74","2013","Nov",2013-11-07 12:23:00,"Southern Interior Delta","C10A","Cryptophytes",193.05,106507.6155
"75","2013","Nov",2013-11-07 12:23:00,"Southern Interior Delta","C10A","Cyanobacteria",23423.4,18882.2205
"76","2013","Nov",2013-11-07 12:23:00,"Southern Interior Delta","C10A","Diatoms",2445.3,1398272.733
"77","2013","Nov",2013-11-07 12:23:00,"Southern Interior Delta","C10A","Golden Algae",257.4,56857.086
"78","2013","Nov",2013-11-07 12:23:00,"Southern Interior Delta","C10A","Green Algae",450.45,28979.379
"79","2013","Nov",2013-11-07 12:23:00,"Southern Interior Delta","C10A","Other",64.35,46914.3675
"80","2013","Nov",2013-11-08 10:20:00,"Central Delta","D19","Cryptophytes",64.35,20398.95
"81","2013","Nov",2013-11-08 10:20:00,"Central Delta","D19","Cyanobacteria",26898.3,16993.1619
"82","2013","Nov",2013-11-08 10:20:00,"Central Delta","D19","Diatoms",321.75,78452.3025
"83","2013","Nov",2013-11-08 10:20:00,"Central Delta","D19","Golden Algae",64.35,1479.4065
"84","2013","Nov",2013-11-08 11:50:00,"Central Delta","D28A","Cryptophytes",800.8,152019.868
"85","2013","Nov",2013-11-08 11:50:00,"Central Delta","D28A","Cyanobacteria",20570.55,13468.455
"86","2013","Nov",2013-11-08 11:50:00,"Central Delta","D28A","Diatoms",500.5,247603.8565
"87","2013","Nov",2013-11-08 11:50:00,"Central Delta","D28A","Golden Algae",50.05,3828.3245
"88","2013","Nov",2013-11-12 11:40:00,"Grizzly and Suisun Bay","D8","Cyanobacteria",28700.1,18508.66875
"89","2013","Nov",2013-11-12 11:40:00,"Grizzly and Suisun Bay","D8","Diatoms",643.5,128158.173
"90","2013","Nov",2013-11-12 11:40:00,"Grizzly and Suisun Bay","D8","Other",64.35,10296.6435
"91","2013","Nov",2013-11-12 13:10:00,"Confluence","D4","Cryptophytes",50.05,12111.5995
"92","2013","Nov",2013-11-12 13:10:00,"Confluence","D4","Cyanobacteria",20170.15,13807.794
"93","2013","Nov",2013-11-12 13:10:00,"Confluence","D4","Diatoms",1201.2,1377940.564
"94","2013","Nov",2013-11-12 13:10:00,"Confluence","D4","Green Algae",50.05,4602.0975
"95","2013","Nov",2013-11-12 13:45:00,"Entrapment Zone","EZ6","Cryptophytes",75.07,44535.2775
"96","2013","Nov",2013-11-12 13:45:00,"Entrapment Zone","EZ6","Cyanobacteria",28977.02,19800.4632
"97","2013","Nov",2013-11-12 13:45:00,"Entrapment Zone","EZ6","Diatoms",1050.98,168666.5253
"98","2013","Nov",2013-11-12 13:45:00,"Entrapment Zone","EZ6","Dinoflagellates",75.07,24763.3409
"99","2013","Nov",2013-11-12 14:30:00,"Entrapment Zone","EZ2","Cyanobacteria",31679.54,20811.28075
"100","2013","Nov",2013-11-12 14:30:00,"Entrapment Zone","EZ2","Diatoms",1050.98,201045.7177
"101","2013","Nov",2013-11-13 11:15:00,"Grizzly and Suisun Bay","D7","Cryptophytes",75.07,18166.1893
"102","2013","Nov",2013-11-13 11:15:00,"Grizzly and Suisun Bay","D7","Cyanobacteria",33706.43,21616.4065
"103","2013","Nov",2013-11-13 11:15:00,"Grizzly and Suisun Bay","D7","Diatoms",1050.98,211612.5709
"104","2013","Nov",2013-11-13 11:15:00,"Grizzly and Suisun Bay","D7","Green Algae",75.07,6902.6865
"105","2013","Nov",2013-11-14 09:45:00,"San Pablo Bay","D41A","Cyanobacteria",22857.8,15606.36
"106","2013","Nov",2013-11-14 09:45:00,"San Pablo Bay","D41A","Diatoms",844.5,195528.211
"107","2013","Nov",2013-11-14 10:55:00,"San Pablo Bay","D41","Cryptophytes",23.71,4290.5616
"108","2013","Nov",2013-11-14 10:55:00,"San Pablo Bay","D41","Cyanobacteria",9815.94,6268.63948
"109","2013","Nov",2013-11-14 10:55:00,"San Pablo Bay","D41","Diatoms",213.39,37724.7439
"110","2013","Nov",2013-11-14 10:55:00,"San Pablo Bay","D41","Golden Algae",23.71,545.0929
"111","2013","Nov",2013-11-14 10:55:00,"San Pablo Bay","D41","Green Algae",23.71,1467.1748
"112","2013","Nov",2013-11-14 13:00:00,"San Pablo Bay","D6","Cryptophytes",187.7,108266.1108
"113","2013","Nov",2013-11-14 13:00:00,"San Pablo Bay","D6","Cyanobacteria",15992.04,11236.6605
"114","2013","Nov",2013-11-14 13:00:00,"San Pablo Bay","D6","Diatoms",262.78,43776.1448
"115","2013","Nov",2013-11-14 13:00:00,"San Pablo Bay","D6","Dinoflagellates",37.54,79564.9038
"116","2013","Nov",2013-11-14 13:00:00,"San Pablo Bay","D6","Golden Algae",75.08,3013.7112
"117","2014","Jan",2014-01-07 10:30:00,"Northern Interior Delta","C3A","Cyanobacteria",41441.4,141378.237
"118","2014","Jan",2014-01-07 10:30:00,"Northern Interior Delta","C3A","Diatoms",3153.15,2633923.4922
"119","2014","Jan",2014-01-07 10:30:00,"Northern Interior Delta","C3A","Green Algae",90.09,2781.0783
"120","2014","Jan",2014-01-07 13:15:00,"Southern Interior Delta","C10A","Cryptophytes",225.21,100122.3604
"121","2014","Jan",2014-01-07 13:15:00,"Southern Interior Delta","C10A","Cyanobacteria",27475.62,64645.62966
"122","2014","Jan",2014-01-07 13:15:00,"Southern Interior Delta","C10A","Diatoms",5930.53,3892461.3263
"123","2014","Jan",2014-01-07 13:15:00,"Southern Interior Delta","C10A","Golden Algae",75.07,4035.7632
"124","2014","Jan",2014-01-07 13:15:00,"Southern Interior Delta","C10A","Green Algae",150.14,30106.8235
"125","2014","Jan",2014-01-08 11:23:00,"Central Delta","D19","Cyanobacteria",22966.93,15452.46192
"126","2014","Jan",2014-01-08 11:23:00,"Central Delta","D19","Diatoms",945.37,594141.6888
"127","2014","Jan",2014-01-08 11:23:00,"Central Delta","D19","Golden Algae",55.61,2981.8082
"128","2014","Jan",2014-01-08 12:24:00,"Central Delta","D28A","Cryptophytes",720.64,397584.2944
"129","2014","Jan",2014-01-08 12:24:00,"Central Delta","D28A","Cyanobacteria",16484.64,10963.862
"130","2014","Jan",2014-01-08 12:24:00,"Central Delta","D28A","Diatoms",765.68,373001.012
"131","2014","Jan",2014-01-08 12:24:00,"Central Delta","D28A","Green Algae",225.2,49744.428
"132","2014","Jan",2014-01-09 10:15:00,"Central Delta","D26","Cryptophytes",450.45,254481.7275
"133","2014","Jan",2014-01-09 10:15:00,"Central Delta","D26","Cyanobacteria",23680.8,16456.80465
"134","2014","Jan",2014-01-09 10:15:00,"Central Delta","D26","Diatoms",1866.15,1096710.615
"135","2014","Jan",2014-01-09 10:15:00,"Central Delta","D26","Golden Algae",64.35,4837.833
"136","2014","Jan",2014-01-09 11:15:00,"Southern Interior Delta","MD10A","Cryptophytes",1074.15,557167.4955
"137","2014","Jan",2014-01-09 11:15:00,"Southern Interior Delta","MD10A","Cyanobacteria",12612.6,8789.21505
"138","2014","Jan",2014-01-09 11:15:00,"Southern Interior Delta","MD10A","Diatoms",485.1,158920.4925
"139","2014","Jan",2014-01-09 11:15:00,"Southern Interior Delta","MD10A","Golden Algae",69.3,12839.5575
"140","2014","Jan",2014-01-09 13:00:00,"Southern Interior Delta","P8","Ciliates",225.2,152976.108
"141","2014","Jan",2014-01-09 13:00:00,"Southern Interior Delta","P8","Cryptophytes",855.76,472131.3496
"142","2014","Jan",2014-01-09 13:00:00,"Southern Interior Delta","P8","Cyanobacteria",16214.4,11092.81152
"143","2014","Jan",2014-01-09 13:00:00,"Southern Interior Delta","P8","Diatoms",675.6,209834.1536
"144","2014","Jan",2014-01-09 13:00:00,"Southern Interior Delta","P8","Golden Algae",135.12,10612.3248
"145","2014","Jan",2014-01-10 09:38:00,"Grizzly and Suisun Bay","D8","Cyanobacteria",25289.55,17595.6066
"146","2014","Jan",2014-01-10 09:38:00,"Grizzly and Suisun Bay","D8","Diatoms",965.25,483707.367
"147","2014","Jan",2014-01-10 09:38:00,"Grizzly and Suisun Bay","D8","Golden Algae",64.35,35441.406
"148","2014","Jan",2014-01-10 11:00:00,"Confluence","D4","Cryptophytes",257.4,120990.87
