SampleID,Group,BV.um3.per.L,,Year,Month,DateTime,Region,StationCode
EMP.D19.2013.09.23,Cryptophytes,12413758.5,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D19.2013.09.23,Cyanobacteria,276911885.3,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D19.2013.09.23,Diatoms,2274071729,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D19.2013.09.23,Golden Algae,3602956.5,,2013,Sep,9/23/2013 8:52,Central Delta,D19
EMP.D28A.2013.09.23,Cryptophytes,164888625,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Cyanobacteria,13576745,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Diatoms,3053647255,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Golden Algae,2623017,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.D28A.2013.09.23,Green Algae,5176785,,2013,Sep,9/23/2013 9:56,Central Delta,D28A
EMP.C3A.2013.09.23,Cyanobacteria,20225734.75,,2013,Sep,9/23/2013 12:30,Northern Interior Delta,C3A
EMP.C3A.2013.09.23,Diatoms,509910722.9,,2013,Sep,9/23/2013 12:30,Northern Interior Delta,C3A
EMP.D26.2013.09.24,Cryptophytes,36178485.1,,2013,Sep,9/24/2013 8:00,Central Delta,D26
EMP.D26.2013.09.24,Cyanobacteria,23115704.54,,2013,Sep,9/24/2013 8:00,Central Delta,D26
EMP.D26.2013.09.24,Diatoms,1200963854,,2013,Sep,9/24/2013 8:00,Central Delta,D26
EMP.P8.2013.09.24,Cyanobacteria,508986611.2,,2013,Sep,9/24/2013 9:21,Southern Interior Delta,P8
EMP.P8.2013.09.24,Diatoms,618371108.2,,2013,Sep,9/24/2013 9:21,Southern Interior Delta,P8
EMP.P8.2013.09.24,Green Algae,8659324.5,,2013,Sep,9/24/2013 9:21,Southern Interior Delta,P8
EMP.C10A.2013.09.24,Cryptophytes,55325169.9,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Cyanobacteria,625318473.8,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Diatoms,6709695993,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Golden Algae,3616212.6,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.C10A.2013.09.24,Green Algae,45144999.9,,2013,Sep,9/24/2013 9:52,Southern Interior Delta,C10A
EMP.MD10A.2013.09.24,Cyanobacteria,8512194.6,,2013,Sep,9/24/2013 10:45,Southern Interior Delta,MD10A
EMP.MD10A.2013.09.24,Diatoms,18430198605,,2013,Sep,9/24/2013 10:45,Southern Interior Delta,MD10A
EMP.D8.2013.09.25,Cryptophytes,56567988,,2013,Sep,9/25/2013 8:15,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Cyanobacteria,14887521.6,,2013,Sep,9/25/2013 8:15,Grizzly and Suisun Bay,D8
EMP.D8.2013.09.25,Diatoms,184073976,,2013,Sep,9/25/2013 8:15,Grizzly and Suisun Bay,D8
EMP.D4.2013.09.25,Cryptophytes,141969381.2,,2013,Sep,9/25/2013 9:35,Confluence,D4
EMP.D4.2013.09.25,Cyanobacteria,18999015.88,,2013,Sep,9/25/2013 9:35,Confluence,D4
EMP.D4.2013.09.25,Diatoms,244239494.3,,2013,Sep,9/25/2013 9:35,Confluence,D4
EMP.D4.2013.09.25,Dinoflagellates,55222993.4,,2013,Sep,9/25/2013 9:35,Confluence,D4
EMP.D4.2013.09.25,Green Algae,16582212.3,,2013,Sep,9/25/2013 9:35,Confluence,D4
EMP.D4.2013.09.25,Other,75548195.9,,2013,Sep,9/25/2013 9:35,Confluence,D4
EMP.EZ6.2013.09.25,Cyanobacteria,26502676.2,,2013,Sep,9/25/2013 9:35,Entrapment Zone,EZ6
EMP.EZ6.2013.09.25,Diatoms,223641217.8,,2013,Sep,9/25/2013 9:35,Entrapment Zone,EZ6
EMP.EZ2.2013.09.25,Cyanobacteria,28488710.25,,2013,Sep,9/25/2013 10:20,Entrapment Zone,EZ2
EMP.EZ2.2013.09.25,Diatoms,720788468.4,,2013,Sep,9/25/2013 10:20,Entrapment Zone,EZ2
EMP.D7.2013.09.26,Cyanobacteria,16192780.8,,2013,Sep,9/26/2013 8:45,Grizzly and Suisun Bay,D7
EMP.D7.2013.09.26,Diatoms,81307334,,2013,Sep,9/26/2013 8:45,Grizzly and Suisun Bay,D7
EMP.D41A.2013.09.27,Cryptophytes,6799716,,2013,Sep,9/27/2013 8:25,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Cyanobacteria,3294267.9,,2013,Sep,9/27/2013 8:25,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Diatoms,125339214,,2013,Sep,9/27/2013 8:25,San Pablo Bay,D41A
EMP.D41A.2013.09.27,Green Algae,1062022.5,,2013,Sep,9/27/2013 8:25,San Pablo Bay,D41A
EMP.D41.2013.09.27,Cryptophytes,466424244,,2013,Sep,9/27/2013 9:25,San Pablo Bay,D41
EMP.D41.2013.09.27,Cyanobacteria,17297280,,2013,Sep,9/27/2013 9:25,San Pablo Bay,D41
EMP.D41.2013.09.27,Diatoms,69474190.5,,2013,Sep,9/27/2013 9:25,San Pablo Bay,D41
EMP.D41.2013.09.27,Dinoflagellates,2143411628,,2013,Sep,9/27/2013 9:25,San Pablo Bay,D41
EMP.D41.2013.09.27,Golden Algae,2060487,,2013,Sep,9/27/2013 9:25,San Pablo Bay,D41
EMP.D41.2013.09.27,Other,21227134.5,,2013,Sep,9/27/2013 9:25,San Pablo Bay,D41
EMP.D6.2013.09.27,Cryptophytes,95333238,,2013,Sep,9/27/2013 11:10,San Pablo Bay,D6
EMP.D6.2013.09.27,Cyanobacteria,12947935,,2013,Sep,9/27/2013 11:10,San Pablo Bay,D6
EMP.D6.2013.09.27,Diatoms,31395864.5,,2013,Sep,9/27/2013 11:10,San Pablo Bay,D6
EMP.D6.2013.09.27,Golden Algae,6027021,,2013,Sep,9/27/2013 11:10,San Pablo Bay,D6
EMP.D6.2013.09.27,Green Algae,7196689.5,,2013,Sep,9/27/2013 11:10,San Pablo Bay,D6
EMP.D26.2013.11.07,Cryptophytes,165667478.8,,2013,Nov,11/7/2013 8:15,Central Delta,D26
EMP.D26.2013.11.07,Cyanobacteria,20070715.2,,2013,Nov,11/7/2013 8:15,Central Delta,D26
EMP.D26.2013.11.07,Diatoms,973940163.2,,2013,Nov,11/7/2013 8:15,Central Delta,D26
EMP.D26.2013.11.07,Golden Algae,4035763.2,,2013,Nov,11/7/2013 8:15,Central Delta,D26
EMP.D26.2013.11.07,Green Algae,4080805.2,,2013,Nov,11/7/2013 8:15,Central Delta,D26
EMP.C3A.2013.11.07,Cyanobacteria,15664398.75,,2013,Nov,11/7/2013 9:15,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Diatoms,993108402,,2013,Nov,11/7/2013 9:15,Northern Interior Delta,C3A
EMP.C3A.2013.11.07,Green Algae,14214271.5,,2013,Nov,11/7/2013 9:15,Northern Interior Delta,C3A
EMP.MD10A.2013.11.07,Cryptophytes,107082600,,2013,Nov,11/7/2013 9:30,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Cyanobacteria,13187937.2,,2013,Nov,11/7/2013 9:30,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Diatoms,8226134876,,2013,Nov,11/7/2013 9:30,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Golden Algae,3420225,,2013,Nov,11/7/2013 9:30,Southern Interior Delta,MD10A
EMP.MD10A.2013.11.07,Green Algae,67298205,,2013,Nov,11/7/2013 9:30,Southern Interior Delta,MD10A
EMP.P8.2013.11.07,Cryptophytes,21800879.1,,2013,Nov,11/7/2013 11:00,Southern Interior Delta,P8
EMP.P8.2013.11.07,Cyanobacteria,23841868.05,,2013,Nov,11/7/2013 11:00,Southern Interior Delta,P8
EMP.P8.2013.11.07,Diatoms,2859000745,,2013,Nov,11/7/2013 11:00,Southern Interior Delta,P8
EMP.P8.2013.11.07,Golden Algae,6152246.1,,2013,Nov,11/7/2013 11:00,Southern Interior Delta,P8
EMP.P8.2013.11.07,Green Algae,41418877.5,,2013,Nov,11/7/2013 11:00,Southern Interior Delta,P8
EMP.P8.2013.11.07,Other,1695493.8,,2013,Nov,11/7/2013 11:00,Southern Interior Delta,P8
EMP.C10A.2013.11.07,Cryptophytes,106507615.5,,2013,Nov,11/7/2013 12:23,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Cyanobacteria,18882220.5,,2013,Nov,11/7/2013 12:23,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Diatoms,1398272733,,2013,Nov,11/7/2013 12:23,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Golden Algae,56857086,,2013,Nov,11/7/2013 12:23,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Green Algae,28979379,,2013,Nov,11/7/2013 12:23,Southern Interior Delta,C10A
EMP.C10A.2013.11.07,Other,46914367.5,,2013,Nov,11/7/2013 12:23,Southern Interior Delta,C10A
EMP.D19.2013.11.08,Cryptophytes,20398950,,2013,Nov,11/8/2013 10:20,Central Delta,D19
EMP.D19.2013.11.08,Cyanobacteria,16993161.9,,2013,Nov,11/8/2013 10:20,Central Delta,D19
EMP.D19.2013.11.08,Diatoms,78452302.5,,2013,Nov,11/8/2013 10:20,Central Delta,D19
EMP.D19.2013.11.08,Golden Algae,1479406.5,,2013,Nov,11/8/2013 10:20,Central Delta,D19
EMP.D28A.2013.11.08,Cryptophytes,152019868,,2013,Nov,11/8/2013 11:50,Central Delta,D28A
EMP.D28A.2013.11.08,Cyanobacteria,13468455,,2013,Nov,11/8/2013 11:50,Central Delta,D28A
EMP.D28A.2013.11.08,Diatoms,247603856.5,,2013,Nov,11/8/2013 11:50,Central Delta,D28A
EMP.D28A.2013.11.08,Golden Algae,3828324.5,,2013,Nov,11/8/2013 11:50,Central Delta,D28A
EMP.D8.2013.11.12,Cyanobacteria,18508668.75,,2013,Nov,11/12/2013 11:40,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Diatoms,128158173,,2013,Nov,11/12/2013 11:40,Grizzly and Suisun Bay,D8
EMP.D8.2013.11.12,Other,10296643.5,,2013,Nov,11/12/2013 11:40,Grizzly and Suisun Bay,D8
EMP.D4.2013.11.12,Cryptophytes,12111599.5,,2013,Nov,11/12/2013 13:10,Confluence,D4
EMP.D4.2013.11.12,Cyanobacteria,13807794,,2013,Nov,11/12/2013 13:10,Confluence,D4
EMP.D4.2013.11.12,Diatoms,1377940564,,2013,Nov,11/12/2013 13:10,Confluence,D4
EMP.D4.2013.11.12,Green Algae,4602097.5,,2013,Nov,11/12/2013 13:10,Confluence,D4
EMP.EZ6.2013.11.12,Cryptophytes,44535277.5,,2013,Nov,11/12/2013 13:45,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Cyanobacteria,19800463.2,,2013,Nov,11/12/2013 13:45,Entrapment Zone,EZ6
EMP.EZ6.2013.11.12,Diatoms,168666525.3,,2013,Nov,11/12/2013 13:45,Entrapment Zone,EZ6
