StationCode,SampleDate,SampleTime
D19,9/8/2020,10:05
D16,9/8/2020,9:15
D28A,9/8/2020,10:40
D12,9/8/2020,7:40
P8,9/9/2020,10:15
D26,9/9/2020,7:45
MD10A,9/9/2020,9:00
NZ068,9/10/2020,11:30
D4,9/10/2020,9:30
D22,9/10/2020,10:45
D41A,9/15/2020,10:40
NZ002,9/15/2020,12:15
NZ325,9/15/2020,11:55
D41,9/15/2020,11:20
D8,9/15/2020,13:35
D6,9/15/2020,12:40
D10,9/15/2020,14:10
NZ004,9/15/2020,12:25
C3A,9/23/2020,10:30
C9,9/23/2020,12:10
C10A,9/23/2020,13:30
D7,9/24/2020,8:50
NZ032,9/24/2020,10:45
NZS42,9/24/2020,9:55
C9,10/6/2020,10:45
C3A,10/6/2020,8:45
C10A,10/6/2020,12:30
D28A,10/7/2020,12:30
D16,10/7/2020,10:55
D12,10/7/2020,9:10
D19,10/7/2020,11:50
MD10A,10/8/2020,10:30
D26,10/8/2020,9:15
P8,10/8/2020,11:50
NZ068,10/9/2020,13:45
D22,10/9/2020,11:55
D4,10/9/2020,10:25
D8,10/12/2020,13:25
D10,10/12/2020,14:05
D6,10/12/2020,12:20
NZS42,10/13/2020,13:10
D7,10/13/2020,12:15
NZ032,10/13/2020,14:05
D41,10/14/2020,10:35
D41A,10/14/2020,9:50
NZ004,10/14/2020,11:45
NZ002,10/14/2020,11:30
NZ325,10/14/2020,11:10
C3A,11/4/2020,9:15
C9,11/4/2020,11:00
C10A,11/4/2020,12:15
D12,11/5/2020,8:40
D16,11/5/2020,10:40
D19,11/5/2020,11:35
D28A,11/5/2020,12:10
D26,11/6/2020,9:00
MD10A,11/6/2020,10:15
P8,11/6/2020,11:25
D4,11/9/2020,11:15
D22,11/9/2020,12:30
NZ068,11/9/2020,13:50
D6,11/10/2020,10:45
D8,11/10/2020,11:40
D10,11/10/2020,12:20
D7,11/12/2020,11:25
NZS42,11/12/2020,12:20
NZ032,11/12/2020,13:30
D41A,11/13/2020,9:45
D41,11/13/2020,10:25
NZ325,11/13/2020,11:05
NZ002,11/13/2020,11:20
NZ004,11/13/2020,11:40
SHR,11/16/2020,10:25
LIS,11/17/2020,13:41
SHR,11/30/2020,10:13
LIS,12/1/2020,12:42
STTD,12/1/2020,9:55
C3A,12/3/2020,8:45
C9,12/3/2020,10:30
C10A,12/3/2020,11:45
D12,12/4/2020,8:25
D16,12/4/2020,10:50
D19,12/4/2020,11:40
D28A,12/4/2020,12:20
C3A,3/3/2021,8:45
C9,3/3/2021,10:45
C10A,3/3/2021,12:15
D12,3/4/2021,8:05
D16,3/4/2021,9:40
D19,3/4/2021,10:35
D28A,3/4/2021,11:20
P8,3/5/2021,11:00
D26,3/5/2021,8:30
MD10A,3/5/2021,9:40
D4,3/8/2021,11:35
NZ068,3/8/2021,14:15
D22,3/8/2021,13:00
D8,3/9/2021,11:15
D10,3/9/2021,12:00
D6,3/10/2021,11:35
NZ032,3/10/2021,14:05
NZS42,3/10/2021,13:10
D7,3/10/2021,12:20
NZ004,3/11/2021,12:15
NZ002,3/11/2021,11:50
NZ325,3/11/2021,11:10
D41,3/11/2021,10:30
D41A,3/11/2021,9:45
C10A,4/1/2021,11:15
C9,4/1/2021,9:45
C3A,4/1/2021,8:00
D28A,4/2/2021,11:00
D19,4/2/2021,10:05
D16,4/2/2021,9:00
D12,4/2/2021,7:15
P8,4/5/2021,13:05
MD10A,4/5/2021,11:35
D26,4/5/2021,10:15
D4,4/6/2021,11:20
D22,4/6/2021,12:15
NZ068,4/6/2021,13:10
D6,4/7/2021,11:20
D10,4/7/2021,13:00
D8,4/7/2021,12:15
NZ032,4/8/2021,13:50
NZS42,4/8/2021,12:45
D7,4/8/2021,11:40
D41A,4/9/2021,10:40
D41,4/9/2021,11:25
NZ325,4/9/2021,12:10
NZ004,4/9/2021,12:50
NZ002,4/9/2021,12:35
SHR,4/26/2021,9:13
LIS,4/27/2021,12:02
STTD,4/27/2021,9:33
C3A,5/3/2021,8:00
C9,5/3/2021,9:45
C10A,5/3/2021,11:30
D12,5/4/2021,10:15
