Station Name,Date,Time,secchi,water.temp,DO.probe,sp.cond,EC,pH,microcyst,turb
SHR,11/16/2020,10:25,3,11.4,10.43,142,105,7.48,1,3.4
STTD,11/17/2020,10:25,2,12.3,10.5,204,155,8.07,1,3.8
LIS,11/17/2020,13:41,0.42,12.5,8.11,296,226,7.83,1,15.96
SHR,11/30/2020,10:13,3,9.9,10.76,147,105,7.46,1,4.7
STTD,12/01/2020,9:55,1.3,9.5,11.1,222,157,8.11,1,6.5
LIS,12/01/2020,12:42,0.62,10.2,5.06,302,217,7.54,1,13.3
SHR,04/26/2021,9:13,0.85,16.9,8.82,138,117,7.82,1,6.9
STTD,04/27/2021,9:33,0.37,16.9,8,547,462,7.98,1,18.3
LIS,04/27/2021,12:02,0.37,17.6,6.91,559,480,7.82,1,15.9
SHR,05/10/2021,9:55,2.1,20.5,8.29,146,134,7.5,1,5.9
STTD,05/11/2021,9:31,0.45,20.0,7.76,264,238,7.84,1,16.1
LIS,05/11/2021,12:26,0.39,22.2,6.79,762,722,8.16,1,20.4
SHR,05/24/2021,9:44,1.38,20.0,8.72,137,124,7.74,1,5.8
STTD,05/25/2021,9:16,0.36,19.8,8.12,216,195,8.48,1,22.1
LIS,05/25/2021,12:52,0.3,23.8,8.25,292,285,8.08,1,37.8
SHR,06/07/2021,9:02,2.3,24.1,8,135,132,7.75,1,3.9
STTD,06/09/2021,9:37,0.38,19.7,7.9,210,189,8.47,1,17.7
LIS,06/09/2021,12:26,0.26,22.3,8.16,295,280,7.92,1,30.1
SHR,06/21/2021,8:58,1.5,24.5,7.81,124,123,7.71,1,3.5
STTD,06/22/2021,9:17,0.5,22.6,7.43,210,200,8.45,1,16.4
LIS,06/22/2021,12:55,0.34,25.5,7.66,272,274,8.03,1,26.9
STTD,07/06/2021,9:03,0.6,21.5,7.68,245,229,8.84,1,12
LIS,07/06/2021,11:00,0.4,23.7,7.65,262,256,8.25,1,18.2
SHR,07/07/2021,9:35,1.1,24.1,7.85,129,127,7.69,1,5
STTD,07/19/2021,9:40,0.51,23.5,8.47,248,241,9.05,1,11.4
LIS,07/19/2021,11:42,0.39,24.4,7.65,298,295,8.47,1,19.4
SHR,07/20/2021,9:18,1,23.7,8.11,134,131,7.93,1,5.6
LIS,08/02/2021,10:16,0.38,23.2,7.79,310,299,7.99,3,17
STTD,08/03/2021,10:55,1,22.6,7.63,251,239,8.35,2,10
SHR,08/03/2021,8:50,2,23.6,8.13,138,134,7.78,1,5.6
LIS,08/16/2021,10:50,0.42,25.4,7.67,290,292,7.92,2,13.8
STTD,08/17/2021,10:47,0.77,22.8,7.72,229,219,8.29,1,10.4
SHR,08/17/2021,7:55,1.7,23.4,8.97,148,143,7.8,1,3.8
LIS,08/30/2021,9:45,0.29,23.0,7.33,340,327,7.7,2,22.2
STTD,08/31/2021,11:06,0.56,23.1,7.74,234,226,8.18,1,13.2
SHR,08/31/2021,8:06,2.1,22.8,8.14,190,182,7.59,1,3.4
LIS,09/13/2021,9:46,0.49,23.5,3.01,416,404,7.33,1,14.2
STTD,09/14/2021,11:34,0.55,23.8,7.11,257,251,8.11,2,15.4
SHR,09/14/2021,7:51,2.1,23.3,7.87,188,182,7.71,1,3.5
LIS,09/27/2021,9:44,0.24,20.1,7.84,274,249,7.95,2,31
STTD,09/28/2021,11:25,0.75,19.1,8.08,143,216,8.36,1,13.8
SHR,09/28/2021,8:10,3,20.1,8.62,137,124,7.96,1,3.3
LIS,10/11/2021,9:34,0.31,16.7,8.58,235,198,8.04,1,22.6
STTD,10/13/2021,11:07,0.64,14.0,9.42,2248,1777,8.15,1,12.2
SHR,10/13/2021,8:24,2.79,15.3,9.45,134,109,7.99,1,8.4
SHR,10/18/2021,8:23,4.3,15.5,9.6,136,111,7.98,1,3.8
STTD,10/19/2021,8:13,1,16.3,9.73,197,164,7.71,1,8.6
LIS,10/19/2021,11:12,0.38,15.8,8.68,240,198,7.96,1,18.8
SHR,11/01/2021,8:31,0.85,16.0,7.82,194,161,7.23,1,11.9
STTD,11/02/2021,8:53,0.52,16.5,1.11,454,381,7.17,1,17.8
LIS,11/02/2021,12:38,0.78,17.0,4.94,458,388,7.26,1,14.1
SHR,11/15/2021,10:05,0.8,13.7,8.98,183,144,7.42,1,12.9
STTD,11/16/2021,9:48,0.72,14.5,1.14,541,432,7.34,1,5.2
LIS,11/16/2021,12:58,0.44,14.4,3.37,509,407,7.5,1,11.7
SHR,11/29/2021,9:19,1.05,11.7,10.24,190,141,7.56,1,5.5
STTD,11/30/2021,9:30,0.89,12.1,7.74,429,323,7.69,1,9.7
LIS,11/30/2021,12:35,0.45,12.9,3.86,705,543,7.5,1,19.2
SHR,12/13/2021,9:21,1.3,10.1,10.71,197,141,7.76,1,9.5
STTD,12/14/2021,10:25,0.38,9.8,8.6,550,390,7.73,,20.4
LIS,12/14/2021,15:26,0.11,10.2,7.82,285,204,7.6,1,126.9
SHR,12/27/2021,10:18,0.23,8.5,10.6,131,90,7.47,1,44.1
STTD,12/28/2021,10:48,0.14,8.0,8.84,500,337,7.59,1,75.7
LIS,12/28/2021,14:47,0.15,8.4,8.72,518,353,7.71,1,86.4
