Station,Date,Time,SampleDescription,Flag,FlagDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla_Sign,Chla,Pheophytin_Sign,Pheophytin,TotAlkalinity_Sign,TotAlkalinity,TotAmmonia_Sign,TotAmmonia,DissAmmonia_Sign,DissAmmonia,DissBromide_Sign,DissBromide,DissCalcium_Sign,DissCalcium,TotChloride_Sign,TotChloride,DissChloride_Sign,DissChloride,DissNitrateNitrite_Sign,DissNitrateNitrite,DOC_Sign,DOC,TOC_Sign,TOC,DON_Sign,DON,TON_Sign,TON,DissOrthophos_Sign,DissOrthophos,TotPhos_Sign,TotPhos,DissSilica_Sign,DissSilica,TDS_Sign,TDS,TSS_Sign,TSS,VSS_Sign,VSS,TKN_Sign,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface_FNU,TurbiditySurface_NTU,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom_FNU,TurbidityBottom_NTU,pHBottom
D19,9/8/2020,10:05:00,NA,NA,NA,no zooplankton tow,"overcast; ripples to small waves, no white caps; no rain",76.3,10.7,NA,NA,NA,=,5.32,=,1.98,=,56,=,NA,<,0.05,=,0.68,=,17,=,NA,=,218,=,0.159,=,2,=,1.9,=,0.2,=,NA,=,0.071,=,0.07,=,13.2,=,534,=,3.6,<,2.5,=,0.3,33.1,216,3,NA,970,8.2,94.9,22.48,2.5,NA,7.88,940,8.3,96,22.48,3.4,NA,7.86
D16,9/8/2020,9:15:00,NA,NA,NA,NA,"overcast; ripples to small waves, no white caps; no rain",75.5,29.2,NA,NA,NA,=,8.5,=,1.33,=,74,=,NA,<,0.05,=,0.68,=,17,=,NA,=,214,=,0.182,=,1.9,=,1.9,=,0.2,=,NA,=,0.071,=,0.07,=,14.7,=,522,=,6.2,<,2.5,=,0.3,24.6,160,3,NA,944,8.4,97.2,22.47,4.6,NA,7.99,946,8.34,96.5,22.5,4.6,NA,7.93
D28A,9/8/2020,10:40:00,NA,NA,NA,NA,"overcast; ripples to small waves, no white caps; no rain",77.9,26,NA,NA,NA,=,5.04,=,1.41,=,71,=,NA,<,0.05,=,0.68,=,17,=,NA,=,214,<,0.05,=,2.1,=,2.1,=,0.2,=,NA,=,0.059,=,0.078,=,9.9,=,525,=,5,<,2.5,=,0.3,20,200,3,NA,947,8.73,103.7,23.85,3.2,NA,8.37,941,8.52,101,23.74,3.6,NA,8.31
D12,9/8/2020,7:40:00,NA,NA,NA,"forgot to fill alkalinity sample to the top, so there is a little headspace in the bottle","overcast; ripples to small waves, no white caps; no rain",76.3,16.1,NA,NA,NA,=,4.22,=,1.32,=,74,=,NA,<,0.05,=,3.54,=,37,=,NA,=,1093,=,0.17,=,1.6,=,1.6,=,0.3,=,NA,=,0.075,=,0.08,=,13.2,=,2980,=,18.4,=,4,=,0.3,37.7,104,3,NA,4062,8.25,95.3,21.88,6.7,NA,7.92,5038,8.08,93.7,21.88,7.8,NA,7.78
P8,9/9/2020,10:15:00,NA,NA,NA,NA,"overcast; ripples to small waves, no white caps; no rain",68.2,2.3,NA,NA,NA,=,4.4,=,1.37,=,68,=,NA,=,0.062,=,0.27,=,18,=,NA,=,78,=,1.82,=,3.4,=,3.5,=,0.3,=,NA,=,0.474,=,0.49,=,11,=,266,=,3.5,<,2.5,=,0.6,34.5,172,3,NA,477,6.59,80.2,25.26,3.1,NA,7.53,474,6.3,76.5,25.12,4.7,NA,7.48
D26,9/9/2020,7:45:00,NA,NA,NA,NA,"overcast; ripples to small waves, no white caps; no rain",59.7,9.8,NA,NA,NA,=,2.47,=,4.92,=,75,=,NA,=,0.08,=,0.1608,=,14,=,NA,=,53,=,0.214,=,2,=,1.9,=,0.3,=,NA,=,0.067,=,0.07,=,15.4,=,203,=,6.2,=,2.5,=,0.4,39.7,148,3,NA,359,7.73,89.9,22.78,8,NA,7.79,377,7.71,89.6,22.81,4.7,NA,7.77
MD10A,9/9/2020,9:00:00,NA,NA,NA,NA,"overcast; no waves, flat; no rain",65.3,3.7,NA,NA,NA,=,2.77,=,2.28,=,78,=,NA,<,0.05,<,0.05,=,14,=,NA,=,13.98,=,0.08,=,2.7,=,2.6,=,0.3,=,NA,=,0.052,=,0.07,=,12,=,127,=,4.5,<,2.5,=,0.3,16.7,180,2,NA,216,6.88,81.4,23.7,3.5,NA,7.66,216,6.85,80.9,23.69,3.2,NA,7.64
NZ068,9/10/2020,11:30:00,NA,NA,NA,NA,"overcast; ripples to small waves, no white caps; no rain",66,11,NA,NA,NA,=,1.18,=,3.2,=,78,=,NA,=,0.112,=,0.13,=,14,=,NA,=,44,=,0.23,=,2.1,=,2.2,=,0.12,=,NA,=,0.083,=,0.08,=,16.1,=,178,=,3.3,<,2.5,=,0.3,18.4,204,2,NA,330,7.53,86.8,22.33,2.7,NA,7.86,328,7.45,85.7,22.31,2.9,NA,7.81
D4,9/10/2020,9:30:00,NA,NA,NA,EZ6 was found at D4,"overcast; ripples to small waves, no white caps; no rain",58.8,16.1,NA,NA,NA,=,1.13,=,4.58,=,75.5,=,NA,=,0.06,=,5.04,=,48,=,NA,=,1536.5,=,0.214,=,2,=,2,=,0.13,=,NA,=,0.085,=,0.08,=,14.1,=,3110,=,7,<,2.5,=,0.3,33.8,124,2,NA,5563,8.19,93.1,20.81,5.5,NA,7.94,6253,8,91.3,20.86,8.1,NA,7.88
D22,9/10/2020,10:45:00,NA,NA,NA,NA,"overcast; ripples to small waves, no white caps; no rain",63.5,7.8,NA,NA,NA,=,2.12,=,5.2,=,77,=,NA,=,0.07,=,0.47,=,16.5,=,NA,=,153,=,0.25,=,2.1,=,2.1,=,0.12,=,NA,=,0.082,=,0.08,=,15.7,=,386,=,10.6,<,2.5,=,0.3,30.5,76,2,NA,754,8.18,92.8,21.45,7.9,NA,7.99,1460,7.92,89.6,21.23,13.1,NA,7.87
