"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"1","D19",2020-09-08 10:05:00,"EMP",216,22.48,8.2,970,7.88,3,2.5
"2","D16",2020-09-08 09:15:00,"EMP",160,22.47,8.4,944,7.99,3,4.6
"3","D28A",2020-09-08 10:40:00,"EMP",200,23.85,8.73,947,8.37,3,3.2
"4","D12",2020-09-08 07:40:00,"EMP",104,21.88,8.25,4062,7.92,3,6.7
"5","P8",2020-09-09 10:15:00,"EMP",172,25.26,6.59,477,7.53,3,3.1
"6","D26",2020-09-09 07:45:00,"EMP",148,22.78,7.73,359,7.79,3,8
"7","MD10A",2020-09-09 09:00:00,"EMP",180,23.7,6.88,216,7.66,2,3.5
"8","NZ068",2020-09-10 11:30:00,"EMP",204,22.33,7.53,330,7.86,2,2.7
"9","D4",2020-09-10 09:30:00,"EMP",124,20.81,8.19,5563,7.94,2,5.5
"10","D22",2020-09-10 10:45:00,"EMP",76,21.45,8.18,754,7.99,2,7.9
"11","D41A",2020-09-15 10:40:00,"EMP",76,19.47,8.04,38727,7.96,1,10.8
"12","NZ002",2020-09-15 12:15:00,"EMP",56,19.53,7.13,35451,7.82,1,18.1
"13","NZ325",2020-09-15 11:55:00,"EMP",80,19.9,7.24,36528,7.84,1,7.3
"14","D41",2020-09-15 11:20:00,"EMP",104,18.73,6.95,43897,7.84,1,8.3
"15","D8",2020-09-15 13:35:00,"EMP",80,20.5,8.33,16252,7.91,2,9.1
"16","D6",2020-09-15 12:40:00,"EMP",56,19.65,7.64,27704,7.85,1,21.2
"17","D10",2020-09-15 14:10:00,"EMP",60,20.08,8.41,13317,7.9,2,17.8
"18","NZ004",2020-09-15 12:25:00,"EMP",84,19.78,7.49,30816,7.85,1,8.7
"19","C3A",2020-09-23 10:30:00,"EMP",NA,20.33,8.58,162,7.56,1,2.1
"20","C9",2020-09-23 12:10:00,"EMP",NA,22.78,8.17,591,7.79,3,3.6
"21","C10A",2020-09-23 13:30:00,"EMP",NA,23.91,9.58,652,7.92,1,5.1
"22","D7",2020-09-24 08:50:00,"EMP",48,20.58,8.21,19244,7.75,2,14.8
"23","NZ032",2020-09-24 10:45:00,"EMP",56,21.07,7.82,13740,7.67,2,12.1
"24","NZS42",2020-09-24 09:55:00,"EMP",52,20.88,7.38,13028,7.63,2,17.1
"25","C9",2020-10-06 10:45:00,"EMP",NA,22.84,7.37,529,7.7,2,3.2
