Region,Region Abbreviation,Year,Season,Month,SampleDate,SampleTime,StationCode,Factor,Taxon,Algal Type,Genus,Species,Unit Abundance,Total Cells Counted,GALD 1,Group Code,Biovolume (individual cell),Biovolume per mL
Confluence,CON,2018,Summer,Jul 18,7/18/2018,8:25,D22,450.43,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,2,2,5.6,i,91.13,82096.45
Confluence,CON,2018,Summer,Jul 18,7/18/2018,8:25,D22,450.43,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,3,3,13,i,26.00,35133.52
Confluence,CON,2018,Summer,Jul 18,7/18/2018,8:25,D22,450.43,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,527,1054,0.8,c,0.18,85455.54
Northern Interior Delta,NID,2018,Summer,Jul 18,7/18/2018,9:15,NZ068,300.29,Cocconeis sp.,Pennate Diatom,Cocconeis,sp.,1,1,14.8,i,367.55,110369.46
Northern Interior Delta,NID,2018,Summer,Jul 18,7/18/2018,9:15,NZ068,300.29,Nitzschia spp.,Pennate Diatom,Nitzschia,sp.,2,2,16.7,i,33.40,20059.14
Northern Interior Delta,NID,2018,Summer,Jul 18,7/18/2018,9:15,NZ068,300.29,Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,2,2,9.3,i,99.99,60053.97
Northern Interior Delta,NID,2018,Summer,Jul 18,7/18/2018,9:15,NZ068,300.29,cf. Chlorella sp.,Green Alga,Chlorella,sp.,3,3,2,i,4.19,3773.51
Northern Interior Delta,NID,2018,Summer,Jul 18,7/18/2018,9:15,NZ068,300.29,Plagioselmis prolonga,Cryptophyte,Plagioselmis,prolonga,1,1,7.4,i,159.13,47784.88
Northern Interior Delta,NID,2018,Summer,Jul 18,7/18/2018,9:15,NZ068,300.29,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,407,899,0.8,c,0.18,48592.36
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,10:40,D19,321.74,cf. Chlorella sp.,Green Alga,Chlorella,sp.,15,15,2,i,4.19,20215.22
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,10:40,D19,321.74,cf. Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,sp.,1,4,5.6,f,60.21,77489.00
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,10:40,D19,321.74,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,417,853,0.8,c,0.18,49399.28
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,10:40,D19,321.74,Merismopedia sp.,Cyanobacterium,Merismopedia,sp.,1,4,1,c,1.00,1286.94
Central Delta,CED,2018,Summer,Jul 18,7/19/2018,10:40,D19,321.74,Microcystis sp.,Cyanobacterium,Microcystis,sp.,5,5,9.3,i,421.16,677510.71
Confluence,CON,2018,Summer,Jul 18,7/19/2018,9:00,D12,450.43,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,6.5,i,122.78,55302.54
Confluence,CON,2018,Summer,Jul 18,7/19/2018,9:00,D12,450.43,Ulnaria sp.,Pennate Diatom,Ulnaria,sp.,1,1,7.4,i,51.61,23246.70
Confluence,CON,2018,Summer,Jul 18,7/19/2018,9:00,D12,450.43,cf. Chlorella sp.,Green Alga,Chlorella,sp.,11,11,2,i,4.19,20754.30
Confluence,CON,2018,Summer,Jul 18,7/19/2018,9:00,D12,450.43,Drepanochloris nannoselene,Green Alga,Drepanochloris,nannoselene,1,1,7.4,i,26.39,11886.55
Confluence,CON,2018,Summer,Jul 18,7/19/2018,9:00,D12,450.43,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,389,797,0.8,c,0.18,64618.66
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,12:10,D16,375.36,cf. Chlorella sp.,Green Alga,Chlorella,sp.,6,6,2,i,4.19,9433.77
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,12:10,D16,375.36,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,nannoplanctica,1,1,9.3,i,314.74,118139.41
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,12:10,D16,375.36,cf. Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,sp.,2,42,3.7,f,39.78,627176.57
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,12:10,D16,375.36,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,403,812,0.8,c,0.18,54862.35
Central Delta,CED,2018,Summer,Jul 18,7/9/2018,12:10,D16,375.36,cf. Microcystis sp.,Cyanobacterium,Microcystis,sp.,3,3,4.6,i,50.96,57390.35
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,12:15,D41A,136.49,cf. Chlorella sp.,Green Alga,Chlorella,sp.,1,1,2.2,i,5.58,760.99
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,12:15,D41A,136.49,Chroococcus minimus,Cyanobacterium,Chroococcus,minimus,1,2,2.2,c,5.58,1521.98
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,12:15,D41A,136.49,Eucapsis microscopica,Cyanobacterium,Eucapsis,microscopica,403,919,0.8,c,0.18,22578.82
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,13:10,D41,250.24,cf. Cyclotella sp.,Centric Diatom,Cyclotella,sp.,1,1,4.6,i,48.20,12060.29
San Pablo Bay,SPB,2018,Summer,Jul 18,7/12/2018,13:10,D41,250.24,Nitzschia sp.,Pennate Diatom,Nitzschia,sp.,1,1,11.1,i,22.20,5555.30
