Genus,Group
Acanthoceras,Centric Diatoms
Actinocyclus,Centric Diatoms
Actinoptychus,Centric Diatoms
Asteromphalus,Centric Diatoms
Aulacoseira,Centric Diatoms
Biddulphia,Centric Diatoms
Cerataulina,Centric Diatoms
Chaetoceros,Centric Diatoms
Corethron,Centric Diatoms
Coscinodiscus,Centric Diatoms
Cyclostephanos,Centric Diatoms
Cyclotella,Centric Diatoms
Ditylum,Centric Diatoms
Eucampia,Centric Diatoms
Eunotogramma,Centric Diatoms
Eupyxidicula,Centric Diatoms
Guinardia,Centric Diatoms
Hemiaulus,Centric Diatoms
Hydrosera,Centric Diatoms
Leptocylindrus,Centric Diatoms
Leptocylindrus,Centric Diatoms
Lindavia,Centric Diatoms
Melosira,Centric Diatoms
Odontella,Centric Diatoms
Paralia,Centric Diatoms
Pleurosira,Centric Diatoms
Rhizosolenia,Centric Diatoms
Skeletonema,Centric Diatoms
Stephanocyclus,Centric Diatoms
Stephanodiscus,Centric Diatoms
Terpsinoe,Centric Diatoms
Thalassiosira,Centric Diatoms
Triceratium,Centric Diatoms
Urosolenia,Centric Diatoms
Zygoceros,Centric Diatoms
Cyclotella,Centric Diatoms
Hemidiscus,Centric Diatoms
Thalassiosira,Centric Diatoms
Chromulina,Chrysophytes
Chrysocapsa,Chrysophytes
Chrysococcus,Chrysophytes
Chrysosaccus,Chrysophytes
Dinobryon,Chrysophytes
Epipyxis,Chrysophytes
Kephyrion,Chrysophytes
Ochromonas,Chrysophytes
Pseudokephyrion,Chrysophytes
Unknown,Chrysophytes
Myrionecta,Ciliates
Salpingella,Ciliates
Strombidium,Ciliates
Calyptrosphaera,Coccolithophores
Chroomonas,Cryptophytes
Cryptomonas,Cryptophytes
Hemiselmis,Cryptophytes
Hillea,Cryptophytes
Komma,Cryptophytes
Plagioselmis,Cryptophytes
Rhodomonas,Cryptophytes
Teleaulax,Cryptophytes
Anabaena,Cyanobacteria
Anabaenopsis,Cyanobacteria
Anathece,Cyanobacteria
Aphanizomenon,Cyanobacteria
Aphanocapsa,Cyanobacteria
Aphanothece,Cyanobacteria
Chroococcus,Cyanobacteria
Coelosphaerium,Cyanobacteria
Cuspidothrix,Cyanobacteria
Cyanodictyon,Cyanobacteria
Cyanophanon,Cyanobacteria
Cyanothece,Cyanobacteria
