Genus,Group
Acanthoceras,Centric Diatoms
Achnanthes,Pennate Diatoms
Achnanthidium,Pennate Diatoms
Actinastrum,Green Algae
Actinocyclus,Centric Diatoms
Actinoptychus,Centric Diatoms
Acutodesmus,Green Algae
Adlafia,Pennate Diatoms
Akashiwo,Dinoflagellates
Alexandrium,Dinoflagellates
Amphicampa,Pennate Diatoms
Amphidinium,Dinoflagellates
Amphipleura,Pennate Diatoms
Amphora,Pennate Diatoms
Anabaena,Cyanobacteria
Anabaenopsis,Cyanobacteria
Anathece,Cyanobacteria
Aneumastus,Pennate Diatoms
Ankistrodesmus,Green Algae
Anomoeoneis,Pennate Diatoms
Aphanizomenon,Cyanobacteria
Aphanocapsa,Cyanobacteria
Aphanothece,Cyanobacteria
Astartiella,Pennate Diatoms
Asterionella,Pennate Diatoms
Asterionellopsis,Pennate Diatoms
Asteromphalus,Centric Diatoms
Aulacoseira,Centric Diatoms
Bacillaria,Pennate Diatoms
Bangia,Red Algae
Belonastrum,Pennate Diatoms
Biddulphia,Centric Diatoms
Caloneis,Pennate Diatoms
Calyptrosphaera,Coccolithophores
Campylodiscus,Pennate Diatoms
Capartogramma,Pennate Diatoms
Cerataulina,Centric Diatoms
Ceratium,Dinoflagellates
Chaetoceros,Centric Diatoms
Characiopsis,Xanthophytes
Chlamydomonas,Green Algae
Chlamydonephris,Green Algae
Chlorella,Green Algae
Chlorococcum,Green Algae
Chloroidium,Green Algae
Chlorolobion,Green Algae
Chloromonas,Green Algae
Chromulina,Chrysophytes
Chroococcus,Cyanobacteria
Chroomonas,Cryptophytes
Chrysocapsa,Chrysophytes
Chrysochromulina,Haptophytes
Chrysococcus,Chrysophytes
Chrysosaccus,Chrysophytes
Cladophora,Green Algae
Closteriopsis,Green Algae
Closterium,Green Algae
Coccomyxa,Green Algae
Cocconeis,Pennate Diatoms
Coelastrum,Green Algae
Coelosphaerium,Cyanobacteria
Coenochloris,Green Algae
Coenococcus,Green Algae
Corethron,Centric Diatoms
Coscinodiscus,Centric Diatoms
Cosmarium,Green Algae
Craticula,Pennate Diatoms
Crucigenia,Green Algae
Crypthecodinium,Dinoflagellates
Cryptomonas,Cryptophytes
Cuspidothrix,Cyanobacteria
Cyanodictyon,Cyanobacteria
Cyanophanon,Cyanobacteria
Cyanothece,Cyanobacteria
Cyclostephanos,Centric Diatoms
Cyclotella,Centric Diatoms
Cylindrospermum,Cyanobacteria
