SampleDate,StationCode,Factor,Taxon,Algal Type,Genus,Unit Abundance,Total Cells Counted,GALD 1,Biovolume 1,Sample Type
7/18/2018,D22,450.43,cf. Cyclotella sp.,Centric Diatom,Cyclotella,2,2,5.6,91.13,Regular
7/18/2018,D22,450.43,Nitzschia sp.,Pennate Diatom,Nitzschia,3,3,13,26.00,Regular
7/18/2018,D22,450.43,Eucapsis microscopica,Cyanobacterium,Eucapsis,527,1054,0.8,0.18,Regular
7/18/2018,NZ068,300.29,Cocconeis sp.,Pennate Diatom,Cocconeis,1,1,14.8,367.55,Regular
7/18/2018,NZ068,300.29,Nitzschia spp.,Pennate Diatom,Nitzschia,2,2,16.7,33.40,Regular
7/18/2018,NZ068,300.29,Ulnaria sp.,Pennate Diatom,Ulnaria,2,2,9.3,99.99,Regular
7/18/2018,NZ068,300.29,cf. Chlorella sp.,Green Alga,Chlorella,3,3,2,4.19,Regular
7/18/2018,NZ068,300.29,Plagioselmis prolonga,Cryptophyte,Plagioselmis,1,1,7.4,159.13,Regular
7/18/2018,NZ068,300.29,Eucapsis microscopica,Cyanobacterium,Eucapsis,407,899,0.8,0.18,Regular
7/19/2018,D19,321.74,cf. Chlorella sp.,Green Alga,Chlorella,15,15,2,4.19,Regular
7/19/2018,D19,321.74,cf. Aphanizomenon sp.,Cyanobacterium,Aphanizomenon,1,4,5.6,60.21,Regular
7/19/2018,D19,321.74,Eucapsis microscopica,Cyanobacterium,Eucapsis,417,853,0.8,0.18,Regular
7/19/2018,D19,321.74,Merismopedia sp.,Cyanobacterium,Merismopedia,1,4,1,1.00,Regular
7/19/2018,D19,321.74,Microcystis sp.,Cyanobacterium,Microcystis,5,5,9.3,421.16,Regular
7/19/2018,D12,450.43,cf. Cyclotella sp.,Centric Diatom,Cyclotella,1,1,6.5,122.78,Regular
7/19/2018,D12,450.43,Ulnaria sp.,Pennate Diatom,Ulnaria,1,1,7.4,51.61,Regular
7/19/2018,D12,450.43,cf. Chlorella sp.,Green Alga,Chlorella,11,11,2,4.19,Regular
7/19/2018,D12,450.43,Drepanochloris nannoselene,Green Alga,Drepanochloris,1,1,7.4,26.39,Regular
