SampleDate,StationCode,Factor,Taxon,Algal Type,Genus,Unit Abundance,Total Cells Counted,GALD 1,Biovolume 1,Sample Type
7/12/2018,NZ325,321.95,cf. Synedra sp.,Pennate Diatom,Synedra,1,1,12,226.95,Surface
7/12/2018,NZ325,321.95,Chlorella sp.,Green Alga,Chlorella,8,8,1.9,3.59,Surface
7/12/2018,NZ325,321.95,Eucapsis microscopica,Cyanobacterium,Eucapsis,396,794,0.8,0.18,Surface
7/11/2018,NZS42,901.46,Eucapsis microscopica,Cyanobacterium,Eucapsis,554,1116,0.8,0.18,Surface
7/10/2018,EZ6,751.22,Chlorella sp.,Green Alga,Chlorella,2,2,1.9,3.59,Surface
7/10/2018,EZ6,751.22,Eucapsis microscopica,Cyanobacterium,Eucapsis,478,974,0.8,0.18,Surface
7/10/2018,EZ2,901.46,Nitzschia sp.,Pennate Diatom,Nitzschia,1,1,22.2,96.35,Surface
7/10/2018,EZ2,901.46,Chlorella sp.,Green Alga,Chlorella,3,3,1.9,3.59,Surface
7/10/2018,EZ2,901.46,Eucapsis microscopica,Cyanobacterium,Eucapsis,458,942,0.8,0.18,Surface
7/9/2018,P8,375.61,Chlorella sp.,Green Alga,Chlorella,21,21,1.9,3.59,Surface
7/9/2018,P8,375.61,Drepanochloris nannoselene,Green Alga,Drepanochloris,3,3,3.7,2.45,Surface
7/9/2018,P8,375.61,Chroococcus minutus,Cyanobacterium,Chroococcus,6,12,5.6,73.62,Surface
7/9/2018,P8,375.61,Eucapsis microscopica,Cyanobacterium,Eucapsis,390,780,0.8,0.18,Surface
7/9/2018,MD10A,375.61,Cyclotella sp.,Centric Diatom,Cyclotella,3,3,5.6,68.96,Surface
7/9/2018,MD10A,375.61,Chlorella sp.,Green Alga,Chlorella,34,34,1.9,3.59,Surface
7/9/2018,MD10A,375.61,Monoraphidium convolutum,Green Alga,Monoraphidium,1,1,6.5,5.75,Surface
7/9/2018,MD10A,375.61,Plagioselmis lacustris,Cryptophyte,Plagioselmis,2,2,13,942.40,Surface
7/9/2018,MD10A,375.61,Plagioselmis nannoplanctica,Cryptophyte,Plagioselmis,2,2,9.3,337.38,Surface
7/9/2018,MD10A,375.61,Plagioselmis prolonga,Cryptophyte,Plagioselmis,1,1,7.4,172.03,Surface
7/9/2018,MD10A,375.61,Chroococcus minimus,Cyanobacterium,Chroococcus,1,4,2.8,11.49,Surface
7/9/2018,MD10A,375.61,Chroococcus minutus,Cyanobacterium,Chroococcus,1,1,5.6,91.95,Surface
7/9/2018,MD10A,375.61,Eucapsis microscopica,Cyanobacterium,Eucapsis,390,786,0.8,0.18,Surface
7/19/2018,D28A,187.80,Cocconeis placentula,Pennate Diatom,Cocconeis,1,1,18.5,976.41,Surface
7/19/2018,D28A,187.80,Cyclotella sp.,Centric Diatom,Cyclotella,1,1,7.4,159.13,Surface
7/19/2018,D28A,187.80,Thalassiosira sp.,Centric Diatom,Thalassiosira,1,1,13.9,986.35,Surface
7/19/2018,D28A,187.80,Chlorella sp.,Green Alga,Chlorella,57,57,1.9,3.59,Surface
7/19/2018,D28A,187.80,Plagioselmis prolonga,Cryptophyte,Plagioselmis,2,2,7.4,172.03,Surface
7/19/2018,D28A,187.80,Chroococcus minimus,Cyanobacterium,Chroococcus,2,6,1.9,3.59,Surface
7/19/2018,D28A,187.80,Chroococcus minutus,Cyanobacterium,Chroococcus,74,87,5.6,73.62,Surface
7/19/2018,D28A,187.80,Eucapsis microscopica,Cyanobacterium,Eucapsis,286,576,0.8,0.18,Surface
7/19/2018,D28A,187.80,Komvophoron sp.,Cyanobacterium,Komvophoron,1,36,2.8,7.94,Surface
7/9/2018,D16,250.41,Chlorella sp.,Green Alga,Chlorella,23,23,1.9,3.59,Surface
7/9/2018,D16,250.41,Monoraphidium convolutum,Green Alga,Monoraphidium,1,1,7.4,6.55,Surface
7/9/2018,D16,250.41,Plagioselmis lacustris,Cryptophyte,Plagioselmis,1,1,12,780.37,Surface
7/9/2018,D16,250.41,Plagioselmis prolonga,Cryptophyte,Plagioselmis,1,1,5.6,71.43,Surface
7/9/2018,D16,250.41,Chroococcus minimus,Cyanobacterium,Chroococcus,1,4,1.9,3.59,Surface
7/9/2018,D16,250.41,Chroococcus minutus,Cyanobacterium,Chroococcus,26,35,5.6,73.62,Surface
7/9/2018,D16,250.41,Eucapsis microscopica,Cyanobacterium,Eucapsis,356,718,0.8,0.18,Surface
7/18/2018,D4,574.96,Chlorella sp.,Green Alga,Chlorella,1,1,1.9,3.59,Surface
7/18/2018,D4,574.96,Eucapsis microscopica,Cyanobacterium,Eucapsis,420,862,0.8,0.18,Surface
7/18/2018,D22,901.46,Achnanthidium minutissimum,Pennate Diatom,Achnanthidium,1,1,12,242.78,Surface
7/18/2018,D22,901.46,Cyclotella sp.,Centric Diatom,Cyclotella,2,2,11.1,354.71,Surface
7/18/2018,D22,901.46,Chlorella sp.,Green Alga,Chlorella,2,2,1.9,3.59,Surface
