Year,Month,Season,DateTime,StationCode,Region,RegionAbbreviation,AlgalType,Genus,BV.per.mL
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Cyanobacterium,Aphanizomenon,394225.27
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,65510.51
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Cyanobacterium,Microcystis,130036.99
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Green Alga,Chlorella,14347.59
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Green Alga,Drepanochloris,14575.18
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Green Alga,Mucidosphaerium,7533.81
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Centric Diatom,Cyclotella,407340.81
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Centric Diatom,Skeletonema,193030.63
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Cyanobacterium,Eucapsis,86984.42
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Cyanobacterium,Microcystis,1021719.2
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Green Alga,Chlorella,3587.53
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Green Alga,Drepanochloris,20821.68
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Green Alga,Monoraphidium,9972.84
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Green Alga,Mucidosphaerium,103318.66
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Green Alga,Scenedesmus,474807.1
