SampleID,Genus,BV.per.mL,,Year,Month,Season,StationCode,Region,RegionAbbreviation
C9.Aug.2018,Aphanizomenon,394225.27,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C9.Aug.2018,Eucapsis,65510.51,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C9.Aug.2018,Microcystis,130036.99,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C9.Aug.2018,Chlorella,14347.59,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C9.Aug.2018,Drepanochloris,14575.18,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C9.Aug.2018,Mucidosphaerium,7533.81,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C10A.Aug.2018,Cyclotella,407340.81,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Skeletonema,193030.63,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Eucapsis,86984.42,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Microcystis,1021719.2,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Chlorella,3587.53,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Drepanochloris,20821.68,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Monoraphidium,9972.84,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Mucidosphaerium,103318.66,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Scenedesmus,474807.1,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Nitzschia,229037.11,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Ulnaria,77489,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
D4.Aug.2018,Cyclotella,164192.9,,2018,Aug,Summer,D4,Confluence,CON
D4.Aug.2018,Eucapsis,146750.02,,2018,Aug,Summer,D4,Confluence,CON
D22.Aug.2018,Cyclotella,30498.06,,2018,Aug,Summer,D22,Confluence,CON
D22.Aug.2018,Plagioselmis,58533.54,,2018,Aug,Summer,D22,Confluence,CON
D22.Aug.2018,Eucapsis,122673.8,,2018,Aug,Summer,D22,Confluence,CON
D22.Aug.2018,Chlorella,22195.73,,2018,Aug,Summer,D22,Confluence,CON
D22.Aug.2018,Monoraphidium,16084.44,,2018,Aug,Summer,D22,Confluence,CON
NZ068.Aug.2018,Cyclotella,174350.24,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
