Year,Month,Season,DateTime,StationCode,Region,RegionAbbreviation,AlgalType,BV.per.mL
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Cyanobacterium,589772.77
2018,Aug,Summer,2018-08-01T16:20:00Z,C9,Southern Interior Delta,SID,Green Alga,36456.58
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Centric Diatom,600371.44
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Cyanobacterium,1108703.6199999999
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Green Alga,612507.8099999999
2018,Aug,Summer,2018-08-01T18:00:00Z,C10A,Southern Interior Delta,SID,Pennate Diatom,306526.11
2018,Aug,Summer,2018-08-02T13:50:00Z,D4,Confluence,CON,Centric Diatom,164192.9
2018,Aug,Summer,2018-08-02T13:50:00Z,D4,Confluence,CON,Cyanobacterium,146750.02
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Centric Diatom,30498.06
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Cryptophyte,58533.54
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Cyanobacterium,122673.8
2018,Aug,Summer,2018-08-02T14:40:00Z,D22,Confluence,CON,Green Alga,38280.17
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Centric Diatom,174350.24
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Cryptophyte,55349.28
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Cyanobacterium,53337.32
2018,Aug,Summer,2018-08-02T15:35:00Z,NZ068,Northern Interior Delta,NID,Green Alga,10781.45
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Centric Diatom,19546.77
2018,Aug,Summer,2018-08-02T16:00:00Z,C3A,Northern Interior Delta,NID,Cyanobacterium,38056.92
