SampleID,AlgalType,BV.per.mL,,Year,Month,Season,StationCode,Region,RegionAbbreviation
C9.Aug.2018,Cyanobacterium,589772.77,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C9.Aug.2018,Green Alga,36456.58,,2018,Aug,Summer,C9,Southern Interior Delta,SID
C10A.Aug.2018,Centric Diatom,600371.44,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Cyanobacterium,1108703.62,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Green Alga,612507.81,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
C10A.Aug.2018,Pennate Diatom,306526.11,,2018,Aug,Summer,C10A,Southern Interior Delta,SID
D4.Aug.2018,Centric Diatom,164192.9,,2018,Aug,Summer,D4,Confluence,CON
D4.Aug.2018,Cyanobacterium,146750.02,,2018,Aug,Summer,D4,Confluence,CON
D22.Aug.2018,Centric Diatom,30498.06,,2018,Aug,Summer,D22,Confluence,CON
D22.Aug.2018,Cryptophyte,58533.54,,2018,Aug,Summer,D22,Confluence,CON
D22.Aug.2018,Cyanobacterium,122673.8,,2018,Aug,Summer,D22,Confluence,CON
D22.Aug.2018,Green Alga,38280.17,,2018,Aug,Summer,D22,Confluence,CON
NZ068.Aug.2018,Centric Diatom,174350.24,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
NZ068.Aug.2018,Cryptophyte,55349.28,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
NZ068.Aug.2018,Cyanobacterium,53337.32,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
NZ068.Aug.2018,Green Alga,10781.45,,2018,Aug,Summer,NZ068,Northern Interior Delta,NID
C3A.Aug.2018,Centric Diatom,19546.77,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Cyanobacterium,38056.92,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Green Alga,6289.18,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
C3A.Aug.2018,Pennate Diatom,236210.75,,2018,Aug,Summer,C3A,Northern Interior Delta,NID
D12.Aug.2018,Centric Diatom,56567.33,,2018,Aug,Summer,D12,Confluence,CON
D12.Aug.2018,Cyanobacterium,288193.65,,2018,Aug,Summer,D12,Confluence,CON
D12.Aug.2018,Green Alga,13317.44,,2018,Aug,Summer,D12,Confluence,CON
EZ2 SJR.Aug.2018,Centric Diatom,242030.43,,2018,Aug,Summer,EZ2 SJR,Low Salinity Zone,LSZ
EZ2 SJR.Aug.2018,Cyanobacterium,433143.06,,2018,Aug,Summer,EZ2 SJR,Low Salinity Zone,LSZ
D19.Aug.2018,Centric Diatom,28746.48,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Cryptophyte,129424.77,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Cyanobacterium,219483.49,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Green Alga,20808.5,,2018,Aug,Summer,D19,Central Delta,CED
D19.Aug.2018,Pennate Diatom,272808.12,,2018,Aug,Summer,D19,Central Delta,CED
D28A.Aug.2018,Cryptophyte,46636.9,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Cyanobacterium,119026.14,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Green Alga,42712.97,,2018,Aug,Summer,D28A,Central Delta,CED
D28A.Aug.2018,Pennate Diatom,132347.95,,2018,Aug,Summer,D28A,Central Delta,CED
D16.Aug.2018,Cyanobacterium,100796.46,,2018,Aug,Summer,D16,Central Delta,CED
D16.Aug.2018,Green Alga,20190.08,,2018,Aug,Summer,D16,Central Delta,CED
D26.Aug.2018,Centric Diatom,41925389.18,,2018,Aug,Summer,D26,Central Delta,CED
D26.Aug.2018,Cyanobacterium,91251.13,,2018,Aug,Summer,D26,Central Delta,CED
D26.Aug.2018,Pennate Diatom,55925.6,,2018,Aug,Summer,D26,Central Delta,CED
MD10A.Aug.2018,Centric Diatom,9363754.95,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
MD10A.Aug.2018,Cyanobacterium,112925.8,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
MD10A.Aug.2018,Green Alga,110279.61,,2018,Aug,Summer,MD10A,Southern Interior Delta,SID
P8.Aug.2018,Chrysophyte,85979.39,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Cryptophyte,164144.38,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Cyanobacterium,110988.69,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Green Alga,25886.27,,2018,Aug,Summer,P8,Southern Interior Delta,SID
P8.Aug.2018,Pennate Diatom,29058.37,,2018,Aug,Summer,P8,Southern Interior Delta,SID
D8.Aug.2018,Cyanobacterium,139757.06,,2018,Aug,Summer,D8,Grizzly.Suisun Bay,GSB
D10.Aug.2018,Centric Diatom,46575.08,,2018,Aug,Summer,D10,Confluence,CON
D10.Aug.2018,Cyanobacterium,78470.75,,2018,Aug,Summer,D10,Confluence,CON
EZ6.Aug.2018,Centric Diatom,85054.88,,2018,Aug,Summer,EZ6,Low Salinity Zone,LSZ
EZ6.Aug.2018,Cyanobacterium,134634.83,,2018,Aug,Summer,EZ6,Low Salinity Zone,LSZ
EZ6.Aug.2018,Green Alga,8370.9,,2018,Aug,Summer,EZ6,Low Salinity Zone,LSZ
EZ2.Aug.2018,Centric Diatom,669609.08,,2018,Aug,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.Aug.2018,Cyanobacterium,131993.94,,2018,Aug,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.Aug.2018,Green Alga,5022.54,,2018,Aug,Summer,EZ2,Low Salinity Zone,LSZ
D6.Aug.2018,Cyanobacterium,28322.61,,2018,Aug,Summer,D6,San Pablo Bay,SPB
D6.Aug.2018,Green Alga,7212.53,,2018,Aug,Summer,D6,San Pablo Bay,SPB
D7.Aug.2018,Cyanobacterium,119859.36,,2018,Aug,Summer,D7,Grizzly.Suisun Bay,GSB
NZS42.Aug.2018,Cyanobacterium,191829.03,,2018,Aug,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZS42.Aug.2018,Pennate Diatom,6799659.47,,2018,Aug,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZ032.Aug.2018,Centric Diatom,139725.23,,2018,Aug,Summer,NZ032,Grizzly.Suisun Bay,GSB
NZ032.Aug.2018,Cyanobacterium,228788.71,,2018,Aug,Summer,NZ032,Grizzly.Suisun Bay,GSB
D41A.Aug.2018,Chrysophyte,11300.48,,2018,Aug,Summer,D41A,San Pablo Bay,SPB
D41A.Aug.2018,Cyanobacterium,44541.87,,2018,Aug,Summer,D41A,San Pablo Bay,SPB
D41.Aug.2018,Cyanobacterium,34093.03,,2018,Aug,Summer,D41,San Pablo Bay,SPB
D41.Aug.2018,Pennate Diatom,36998.3,,2018,Aug,Summer,D41,San Pablo Bay,SPB
NZ325.Aug.2018,Cyanobacterium,52236.98,,2018,Aug,Summer,NZ325,San Pablo Bay,SPB
NZ002.Aug.2018,Centric Diatom,43056.09,,2018,Aug,Summer,NZ002,San Pablo Bay,SPB
NZ002.Aug.2018,Cyanobacterium,40812.8,,2018,Aug,Summer,NZ002,San Pablo Bay,SPB
NZ002.Aug.2018,Green Alga,971.72,,2018,Aug,Summer,NZ002,San Pablo Bay,SPB
NZ004.Aug.2018,Centric Diatom,29941.12,,2018,Aug,Summer,NZ004,San Pablo Bay,SPB
NZ004.Aug.2018,Cyanobacterium,49854.1,,2018,Aug,Summer,NZ004,San Pablo Bay,SPB
NZ004.Aug.2018,Pennate Diatom,59347.58,,2018,Aug,Summer,NZ004,San Pablo Bay,SPB
C3A.Dec.2018,Cyanobacterium,23933.78,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Green Alga,13357.61,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C3A.Dec.2018,Pennate Diatom,2598666.91,,2018,Dec,Winter,C3A,Northern Interior Delta,NID
C9.Dec.2018,Centric Diatom,19127.24,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Cyanobacterium,14593.22,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Green Alga,9897.26,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C9.Dec.2018,Pennate Diatom,31365.35,,2018,Dec,Winter,C9,Southern Interior Delta,SID
C10A.Dec.2018,Centric Diatom,995112.27,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Cyanobacterium,23902.57,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Green Alga,180454.37,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
C10A.Dec.2018,Pennate Diatom,893974.41,,2018,Dec,Winter,C10A,Southern Interior Delta,SID
D4.Dec.2018,Cyanobacterium,68799.47,,2018,Dec,Winter,D4,Confluence,CON
EZ6.Dec.2018,Centric Diatom,81290.76,,2018,Dec,Winter,EZ6,Low Salinity Zone,LSZ
EZ6.Dec.2018,Cyanobacterium,58008.99,,2018,Dec,Winter,EZ6,Low Salinity Zone,LSZ
D22.Dec.2018,Centric Diatom,121936.14,,2018,Dec,Winter,D22,Confluence,CON
D22.Dec.2018,Cyanobacterium,81334.28,,2018,Dec,Winter,D22,Confluence,CON
D22.Dec.2018,Green Alga,8839.15,,2018,Dec,Winter,D22,Confluence,CON
D22.Dec.2018,Pennate Diatom,33270.66,,2018,Dec,Winter,D22,Confluence,CON
EZ2.Dec.2018,Cyanobacterium,726937.78,,2018,Dec,Winter,EZ2,Low Salinity Zone,LSZ
EZ2.Dec.2018,Pennate Diatom,2709862.52,,2018,Dec,Winter,EZ2,Low Salinity Zone,LSZ
NZ068.Dec.2018,Centric Diatom,281583.65,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
NZ068.Dec.2018,Cyanobacterium,30984.49,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
NZ068.Dec.2018,Green Alga,28320.19,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
NZ068.Dec.2018,Pennate Diatom,81208.16,,2018,Dec,Winter,NZ068,Northern Interior Delta,NID
D12.Dec.2018,Cyanobacterium,44773,,2018,Dec,Winter,D12,Confluence,CON
D12.Dec.2018,Green Alga,76785.49,,2018,Dec,Winter,D12,Confluence,CON
EZ2 SJR.Dec.2018,Cyanobacterium,50649.2,,2018,Dec,Winter,EZ2 SJR,Low Salinity Zone,LSZ
EZ2 SJR.Dec.2018,Green Alga,7416.86,,2018,Dec,Winter,EZ2 SJR,Low Salinity Zone,LSZ
D19.Dec.2018,Centric Diatom,210006.04,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Cryptophyte,202332.74,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Cyanobacterium,24778.9,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Green Alga,87725.54,,2018,Dec,Winter,D19,Central Delta,CED
D19.Dec.2018,Pennate Diatom,112070.53,,2018,Dec,Winter,D19,Central Delta,CED
D28A.Dec.2018,Cryptophyte,551203.14,,2018,Dec,Winter,D28A,Central Delta,CED
D28A.Dec.2018,Cyanobacterium,17037.6,,2018,Dec,Winter,D28A,Central Delta,CED
D28A.Dec.2018,Green Alga,35851.07,,2018,Dec,Winter,D28A,Central Delta,CED
D16.Dec.2018,Cyanobacterium,27787.52,,2018,Dec,Winter,D16,Central Delta,CED
D16.Dec.2018,Green Alga,6531.74,,2018,Dec,Winter,D16,Central Delta,CED
D16.Dec.2018,Pennate Diatom,235099.74,,2018,Dec,Winter,D16,Central Delta,CED
D26.Dec.2018,Cryptophyte,278613.02,,2018,Dec,Winter,D26,Central Delta,CED
D26.Dec.2018,Cyanobacterium,25120.7,,2018,Dec,Winter,D26,Central Delta,CED
D26.Dec.2018,Green Alga,2619.01,,2018,Dec,Winter,D26,Central Delta,CED
MD10A.Dec.2018,Cryptophyte,14125.68,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
MD10A.Dec.2018,Cyanobacterium,20761.71,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
MD10A.Dec.2018,Green Alga,28067.54,,2018,Dec,Winter,MD10A,Southern Interior Delta,SID
P8.Dec.2018,Cryptophyte,419243.03,,2018,Dec,Winter,P8,Southern Interior Delta,SID
P8.Dec.2018,Cyanobacterium,22013.67,,2018,Dec,Winter,P8,Southern Interior Delta,SID
P8.Dec.2018,Green Alga,5225.08,,2018,Dec,Winter,P8,Southern Interior Delta,SID
P8.Dec.2018,Pennate Diatom,13805.39,,2018,Dec,Winter,P8,Southern Interior Delta,SID
D8.Dec.2018,Cyanobacterium,46824.44,,2018,Dec,Winter,D8,Grizzly.Suisun Bay,GSB
D8.Dec.2018,Green Alga,2336.08,,2018,Dec,Winter,D8,Grizzly.Suisun Bay,GSB
D10.Dec.2018,Cyanobacterium,82145.59,,2018,Dec,Winter,D10,Confluence,CON
D10.Dec.2018,Green Alga,7880.68,,2018,Dec,Winter,D10,Confluence,CON
D6.Dec.2018,Cyanobacterium,12302.48,,2018,Dec,Winter,D6,San Pablo Bay,SPB
D6.Dec.2018,Green Alga,188.54,,2018,Dec,Winter,D6,San Pablo Bay,SPB
D7.Dec.2018,Cyanobacterium,68150.42,,2018,Dec,Winter,D7,Grizzly.Suisun Bay,GSB
D7.Dec.2018,Green Alga,22837.4,,2018,Dec,Winter,D7,Grizzly.Suisun Bay,GSB
NZS42.Dec.2018,Cyanobacterium,150579.97,,2018,Dec,Winter,NZS42,Grizzly.Suisun Bay,GSB
NZS42.Dec.2018,Green Alga,33303.6,,2018,Dec,Winter,NZS42,Grizzly.Suisun Bay,GSB
NZ032.Dec.2018,Cyanobacterium,110726.28,,2018,Dec,Winter,NZ032,Grizzly.Suisun Bay,GSB
D41A.Dec.2018,Centric Diatom,15749178.68,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41A.Dec.2018,Cyanobacterium,20946.67,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41A.Dec.2018,Green Alga,981.05,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41A.Dec.2018,Pennate Diatom,132004.93,,2018,Dec,Winter,D41A,San Pablo Bay,SPB
D41.Dec.2018,Cyanobacterium,21065.45,,2018,Dec,Winter,D41,San Pablo Bay,SPB
NZ325.Dec.2018,Cryptophyte,375397.45,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ325.Dec.2018,Cyanobacterium,55812.71,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ325.Dec.2018,Green Alga,8200.17,,2018,Dec,Winter,NZ325,San Pablo Bay,SPB
NZ002.Dec.2018,Cyanobacterium,36959.88,,2018,Dec,Winter,NZ002,San Pablo Bay,SPB
NZ002.Dec.2018,Green Alga,2650.56,,2018,Dec,Winter,NZ002,San Pablo Bay,SPB
NZ004.Dec.2018,Cyanobacterium,36779.59,,2018,Dec,Winter,NZ004,San Pablo Bay,SPB
D16.45125.2018,Cryptophyte,118139.41,,2018,18-Jul,Summer,D16,Central Delta,CED
D16.45125.2018,Cyanobacterium,739429.27,,2018,18-Jul,Summer,D16,Central Delta,CED
D16.45125.2018,Green Alga,9433.77,,2018,18-Jul,Summer,D16,Central Delta,CED
D26.45125.2018,Cyanobacterium,496756.24,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Green Alga,28590.62,,2018,18-Jul,Summer,D26,Central Delta,CED
D26.45125.2018,Pennate Diatom,616465.11,,2018,18-Jul,Summer,D26,Central Delta,CED
MD10A.45125.2018,Centric Diatom,100818.27,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
MD10A.45125.2018,Cyanobacterium,40776.27,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
MD10A.45125.2018,Green Alga,42329.89,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
MD10A.45125.2018,Pennate Diatom,10583.07,,2018,18-Jul,Summer,MD10A,Southern Interior Delta,SID
P8.45125.2018,Centric Diatom,56473.77,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Cryptophyte,651803.9,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Cyanobacterium,578893.68,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
P8.45125.2018,Green Alga,33456.17,,2018,18-Jul,Summer,P8,Southern Interior Delta,SID
D8.45125.2018,Centric Diatom,83835.14,,2018,18-Jul,Summer,D8,Grizzly.Suisun Bay,GSB
D8.45125.2018,Cryptophyte,379895.8,,2018,18-Jul,Summer,D8,Grizzly.Suisun Bay,GSB
D8.45125.2018,Cyanobacterium,138101.17,,2018,18-Jul,Summer,D8,Grizzly.Suisun Bay,GSB
D10.45125.2018,Centric Diatom,52396.96,,2018,18-Jul,Summer,D10,Confluence,CON
D10.45125.2018,Cryptophyte,326411.69,,2018,18-Jul,Summer,D10,Confluence,CON
D10.45125.2018,Cyanobacterium,94282.2,,2018,18-Jul,Summer,D10,Confluence,CON
EZ6.45125.2018,Cyanobacterium,153878.86,,2018,18-Jul,Summer,EZ6,Low Salinity Zone,LSZ
EZ2.45125.2018,Centric Diatom,112947.53,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.45125.2018,Cyanobacterium,218080.62,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.45125.2018,Green Alga,22578.67,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
EZ2.45125.2018,Pennate Diatom,1566294.9,,2018,18-Jul,Summer,EZ2,Low Salinity Zone,LSZ
D6.45125.2018,Centric Diatom,19960.75,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D6.45125.2018,Cyanobacterium,32013.86,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D6.45125.2018,Green Alga,5035.14,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D6.45125.2018,Pennate Diatom,26847.71,,2018,18-Jul,Summer,D6,San Pablo Bay,SPB
D7.45125.2018,Cyanobacterium,49735.82,,2018,18-Jul,Summer,D7,Grizzly.Suisun Bay,GSB
D7.45125.2018,Green Alga,8063.81,,2018,18-Jul,Summer,D7,Grizzly.Suisun Bay,GSB
NZS42.45125.2018,Cyanobacterium,144966.32,,2018,18-Jul,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZS42.45125.2018,Green Alga,15094.03,,2018,18-Jul,Summer,NZS42,Grizzly.Suisun Bay,GSB
NZ032.45125.2018,Cyanobacterium,95331.91,,2018,18-Jul,Summer,NZ032,Grizzly.Suisun Bay,GSB
NZ032.45125.2018,Green Alga,10990.52,,2018,18-Jul,Summer,NZ032,Grizzly.Suisun Bay,GSB
D41A.45125.2018,Cyanobacterium,24100.8,,2018,18-Jul,Summer,D41A,San Pablo Bay,SPB
D41A.45125.2018,Green Alga,760.99,,2018,18-Jul,Summer,D41A,San Pablo Bay,SPB
D41.45125.2018,Centric Diatom,12060.29,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
D41.45125.2018,Cyanobacterium,37565.84,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
D41.45125.2018,Green Alga,6281.84,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
D41.45125.2018,Pennate Diatom,5555.3,,2018,18-Jul,Summer,D41,San Pablo Bay,SPB
NZ325.45125.2018,Cryptophyte,114025.99,,2018,18-Jul,Summer,NZ325,San Pablo Bay,SPB
NZ325.45125.2018,Cyanobacterium,40347.91,,2018,18-Jul,Summer,NZ325,San Pablo Bay,SPB
NZ002.45125.2018,Centric Diatom,196430.49,,2018,18-Jul,Summer,NZ002,San Pablo Bay,SPB
NZ002.45125.2018,Cyanobacterium,28474.1,,2018,18-Jul,Summer,NZ002,San Pablo Bay,SPB
NZ002.45125.2018,Green Alga,9697.44,,2018,18-Jul,Summer,NZ002,San Pablo Bay,SPB
NZ004.45125.2018,Cyanobacterium,40179.67,,2018,18-Jul,Summer,NZ004,San Pablo Bay,SPB
NZ004.45125.2018,Green Alga,36724.56,,2018,18-Jul,Summer,NZ004,San Pablo Bay,SPB
C9.45125.2018,Centric Diatom,322707.24,,2018,18-Jul,Summer,C9,Southern Interior Delta,SID
C9.45125.2018,Cyanobacterium,1371095.65,,2018,18-Jul,Summer,C9,Southern Interior Delta,SID
C9.45125.2018,Green Alga,37313.9,,2018,18-Jul,Summer,C9,Southern Interior Delta,SID
C9.45125.2018,Pennate Diatom,29235.97,,2018,18-Jul,Summer,C9,Southern Interior Delta,SID
C10A.45125.2018,Centric Diatom,12029036.91,,2018,18-Jul,Summer,C10A,Southern Interior Delta,SID
C10A.45125.2018,Cyanobacterium,244565.88,,2018,18-Jul,Summer,C10A,Southern Interior Delta,SID
C10A.45125.2018,Green Alga,240464.15,,2018,18-Jul,Summer,C10A,Southern Interior Delta,SID
C10A.45125.2018,Pennate Diatom,1787529.28,,2018,18-Jul,Summer,C10A,Southern Interior Delta,SID
C3A.45125.2018,Centric Diatom,66429.56,,2018,18-Jul,Summer,C3A,Northern Interior Delta,NID
C3A.45125.2018,Cyanobacterium,46377.4,,2018,18-Jul,Summer,C3A,Northern Interior Delta,NID
C3A.45125.2018,Green Alga,4806.27,,2018,18-Jul,Summer,C3A,Northern Interior Delta,NID
C3A.45125.2018,Pennate Diatom,314884.14,,2018,18-Jul,Summer,C3A,Northern Interior Delta,NID
D4.45125.2018,Centric Diatom,188245.89,,2018,18-Jul,Summer,D4,Confluence,CON
D4.45125.2018,Cyanobacterium,229351.74,,2018,18-Jul,Summer,D4,Confluence,CON
D22.45125.2018,Centric Diatom,82096.45,,2018,18-Jul,Summer,D22,Confluence,CON
D22.45125.2018,Cyanobacterium,85455.54,,2018,18-Jul,Summer,D22,Confluence,CON
D22.45125.2018,Pennate Diatom,35133.52,,2018,18-Jul,Summer,D22,Confluence,CON
NZ068.45125.2018,Cryptophyte,47784.88,,2018,18-Jul,Summer,NZ068,Northern Interior Delta,NID
NZ068.45125.2018,Cyanobacterium,48592.36,,2018,18-Jul,Summer,NZ068,Northern Interior Delta,NID
NZ068.45125.2018,Green Alga,3773.51,,2018,18-Jul,Summer,NZ068,Northern Interior Delta,NID
NZ068.45125.2018,Pennate Diatom,190482.57,,2018,18-Jul,Summer,NZ068,Northern Interior Delta,NID
D12.45125.2018,Centric Diatom,55302.54,,2018,18-Jul,Summer,D12,Confluence,CON
