SampleID,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType,Genus,Units.per.mL,BV.um3.per.mL
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Aphanizomenon,750.72,627136.4736
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Chlorella,2252.16,9436.5504
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Eucapsis,151270.08000000002,54862.6176
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Microcystis,1126.08,57385.0368
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Plagioselmis,375.36,118140.8064
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Chlorella,5759.43,20676.3537
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Chroococcus,6761.07,648827.3346000001
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Eucapsis,89145.95999999999,32362.988400000002
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Monoraphidium,250.41,1640.1854999999998
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Plagioselmis,500.82,213299.238
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Aphanizomenon,375.36,238909.13280000002
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Chlorella,1126.08,8152.8192
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Cocconeis,375.36,358389.9744
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Eucapsis,154272.96,53781.5808
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Microcystis,3753.6000000000004,204045.69600000003
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Mucidosphaerium,1126.08,20445.859200000003
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Ulnaria,1876.8000000000002,258078.76799999998
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Chlorella,2606.44,29947.995600000002
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Chroococcus,153.32,15626.374399999999
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Cyclotella,153.32,13972.051599999999
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Eucapsis,61941.28,22988.800799999997
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Nitzschia,153.32,11753.511199999999
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Chlorella,4599.68,42317.056
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Cocconeis,287.48,10582.1388
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Cyclotella,862.44,100819.23600000002
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Eucapsis,110967.28000000001,40776.1632
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Chlorella,12770.74,45846.956600000005
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Chroococcus,751.22,51800.375100000005
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Cyclotella,1126.83,77706.1968
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Eucapsis,146487.9,53141.3028
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Monoraphidium,375.61,2159.7575
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Plagioselmis,1878.0500000000002,1026012.5199
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Chlorella,6899.55,33462.817500000005
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Chroococcus,1379.91,126882.72450000001
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Cryptomonas,919.94,599911.2728
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Cyclotella,459.97,56475.1166
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Eucapsis,189967.61000000002,69216.2856
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Plagioselmis,459.97,51893.8154
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Pseudanabaena,919.94,382759.43580000004
2018-07-09-P8-Surface,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Surface,Chlorella,7887.81,28317.2379
2018-07-09-P8-Surface,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Surface,Chroococcus,2253.66,331828.8984
2018-07-09-P8-Surface,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Surface,Drepanochloris,1126.83,2760.7335000000003
2018-07-09-P8-Surface,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Surface,Eucapsis,146487.9,52735.64400000001
2018-07-10-D10-Regular,2018-07-10,Summer,Jul,D10,Confluence,CON,Regular,Cyclotella,574.96,52396.1048
2018-07-10-D10-Regular,2018-07-10,Summer,Jul,D10,Confluence,CON,Regular,Eucapsis,259306.96000000002,94281.9408
2018-07-10-D10-Regular,2018-07-10,Summer,Jul,D10,Confluence,CON,Regular,Plagioselmis,574.96,326410.54160000006
2018-07-10-D10-Surface,2018-07-10,Summer,Jul,D10,Confluence,CON,Surface,Chlorella,1437.4,13224.080000000002
2018-07-10-D10-Surface,2018-07-10,Summer,Jul,D10,Confluence,CON,Surface,Eucapsis,113554.6,42587.2872
2018-07-10-D8-Regular,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular,Cryptomonas,919.94,379898.4224
2018-07-10-D8-Regular,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular,Cyclotella,919.94,83834.13220000001
2018-07-10-D8-Regular,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,378095.34,138101.3928
2018-07-10-D8-Surface,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface,Chlorella,255.54,917.3885999999999
2018-07-10-D8-Surface,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface,Cyclotella,255.54,47486.9982
2018-07-10-D8-Surface,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,107582.34,39281.6088
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Chlorella,2759.82,22575.3276
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Cyclotella,919.94,112950.2332
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Eucapsis,600720.8200000001,218080.9764
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Navicula,919.94,1566299.0434
2018-07-10-EZ2-Surface,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface,Chlorella,2704.38,9708.7242
2018-07-10-EZ2-Surface,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface,Eucapsis,412868.68,152851.5576
2018-07-10-EZ2-Surface,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface,Nitzschia,901.46,86855.671
2018-07-10-EZ6-Regular,2018-07-10,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular,Chroococcus,766.62,39066.955200000004
2018-07-10-EZ6-Regular,2018-07-10,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular,Eucapsis,316614.06,114809.0112
2018-07-10-EZ6-Surface,2018-07-10,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface,Chlorella,1502.44,5393.7596
2018-07-10-EZ6-Surface,2018-07-10,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface,Eucapsis,359083.16000000003,131703.8904
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Chlorella,438.06,5033.3094
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Cocconeis,219.03,26846.5071
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Cyclotella,219.03,19960.2039
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Eucapsis,87612,32013.4248
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Chlorella,459.96,3330.1104
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Cyclotella,229.98,988118.2692
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Eucapsis,96361.62,35932.07519999999
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Plagioselmis,229.98,77590.65239999999
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Thalassiosira,229.98,1164492.231
2018-07-11-D7-Regular,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular,Chlorella,985.6500000000001,8062.617
2018-07-11-D7-Regular,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,135362.6,49735.899
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Chlorella,4245.9,15242.780999999999
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Cyclotella,707.65,695067.983
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,285890.6,105595.533
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Plagioselmis,1415.3,292776.0345
2018-07-11-NZ032-Regular,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular,Chlorella,1971.3000000000002,10999.854000000001
2018-07-11-NZ032-Regular,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,261525.80000000002,95332.068
2018-07-11-NZ032-Surface,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,230558.96000000002,84657.11039999999
2018-07-11-NZ032-Surface,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface,Thalassiosira,574.96,3881710.1992000006
2018-07-11-NZS42-Regular,2018-07-11,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular,Chlorella,3603.44,15098.413600000002
2018-07-11-NZS42-Regular,2018-07-11,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular,Eucapsis,417098.18,144966.39119999998
2018-07-11-NZS42-Surface,2018-07-11,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Surface,Eucapsis,499408.84,181085.2848
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Chlorella,500.48,2097.0112000000004
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Cyclotella,250.24,12061.568000000001
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Eucapsis,100096,37566.0288
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Mucidosphaerium,500.48,4189.017600000001
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Nitzschia,250.24,5555.328
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Chlorella,638.85,2293.4714999999997
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Eucapsis,51108,18812.854799999997
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Fragilaria,127.77,14744.658
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Plagioselmis,511.08,27490.993199999997
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Teleaulax,638.85,271345.149
2018-07-12-D41A-Regular,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Regular,Chlorella,136.49,761.6142000000001
2018-07-12-D41A-Regular,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Regular,Chroococcus,136.49,1523.2284000000002
2018-07-12-D41A-Regular,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Regular,Eucapsis,55005.47,22578.1758
2018-07-12-D41A-Surface,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Surface,Chlorella,1254.4499999999998,19569.42
2018-07-12-D41A-Surface,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Surface,Cyclotella,418.15,100711.42749999999
2018-07-12-D41A-Surface,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Surface,Eucapsis,166841.84999999998,62546.87699999999
2018-07-12-NZ002-Regular,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular,Chlorella,1999.9,9699.515000000001
2018-07-12-NZ002-Regular,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular,Eucapsis,78596.07,28474.5762
2018-07-12-NZ002-Regular,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular,Thalassiosira,199.99,196434.1778
2018-07-12-NZ002-Surface,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface,Chlorella,287.48,1032.0532
2018-07-12-NZ002-Surface,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface,Coscinodiscus,287.48,10700925.536
2018-07-12-NZ002-Surface,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface,Cyclotella,287.48,258717.62600000002
