SampleID,Genus,BV.um3.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-09-D16-Regular,Aphanizomenon,627136.4736,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Chlorella,9436.5504,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Eucapsis,54862.6176,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Microcystis,57385.0368,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Plagioselmis,118140.8064,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Surface,Chlorella,20676.3537,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Chroococcus,648827.3346,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Eucapsis,32362.9884,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Monoraphidium,1640.1855,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Plagioselmis,213299.238,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D26-Regular,Aphanizomenon,238909.1328,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Chlorella,8152.8192,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Cocconeis,358389.9744,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Eucapsis,53781.5808,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Microcystis,204045.696,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Mucidosphaerium,20445.8592,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Ulnaria,258078.768,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Surface,Chlorella,29947.9956,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Chroococcus,15626.3744,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Cyclotella,13972.0516,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Eucapsis,22988.8008,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Nitzschia,11753.5112,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-MD10A-Regular,Chlorella,42317.056,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Cocconeis,10582.1388,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Cyclotella,100819.236,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Regular,Eucapsis,40776.1632,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular
2018-07-09-MD10A-Surface,Chlorella,45846.9566,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Chroococcus,51800.3751,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Cyclotella,77706.1968,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Eucapsis,53141.3028,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Monoraphidium,2159.7575,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-MD10A-Surface,Plagioselmis,1026012.52,,7/9/2018,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface
2018-07-09-P8-Regular,Chlorella,33462.8175,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Chroococcus,126882.7245,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cryptomonas,599911.2728,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Cyclotella,56475.1166,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Eucapsis,69216.2856,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Plagioselmis,51893.8154,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Regular,Pseudanabaena,382759.4358,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Regular
2018-07-09-P8-Surface,Chlorella,28317.2379,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-09-P8-Surface,Chroococcus,331828.8984,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-09-P8-Surface,Drepanochloris,2760.7335,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-09-P8-Surface,Eucapsis,52735.644,,7/9/2018,Summer,Jul,P8,Southern Interior Delta,SID,Surface
2018-07-10-D10-Regular,Cyclotella,52396.1048,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Eucapsis,94281.9408,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Regular,Plagioselmis,326410.5416,,7/10/2018,Summer,Jul,D10,Confluence,CON,Regular
2018-07-10-D10-Surface,Chlorella,13224.08,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D10-Surface,Eucapsis,42587.2872,,7/10/2018,Summer,Jul,D10,Confluence,CON,Surface
2018-07-10-D8-Regular,Cryptomonas,379898.4224,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Cyclotella,83834.1322,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Regular,Eucapsis,138101.3928,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular
2018-07-10-D8-Surface,Chlorella,917.3886,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-D8-Surface,Cyclotella,47486.9982,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-D8-Surface,Eucapsis,39281.6088,,7/10/2018,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface
2018-07-10-EZ2-Regular,Chlorella,22575.3276,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Cyclotella,112950.2332,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Eucapsis,218080.9764,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Regular,Navicula,1566299.043,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ2-Surface,Chlorella,9708.7242,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Eucapsis,152851.5576,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ2-Surface,Nitzschia,86855.671,,7/10/2018,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Regular,Chroococcus,39066.9552,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ6-Regular,Eucapsis,114809.0112,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular
2018-07-10-EZ6-Surface,Chlorella,5393.7596,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-10-EZ6-Surface,Eucapsis,131703.8904,,7/10/2018,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface
2018-07-11-D6-Regular,Chlorella,5033.3094,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Cocconeis,26846.5071,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Cyclotella,19960.2039,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Regular,Eucapsis,32013.4248,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Regular
2018-07-11-D6-Surface,Chlorella,3330.1104,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Cyclotella,988118.2692,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Eucapsis,35932.0752,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Plagioselmis,77590.6524,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D6-Surface,Thalassiosira,1164492.231,,7/11/2018,Summer,Jul,D6,San Pablo Bay,SPB,Surface
2018-07-11-D7-Regular,Chlorella,8062.617,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Regular,Eucapsis,49735.899,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-D7-Surface,Chlorella,15242.781,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Cyclotella,695067.983,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Eucapsis,105595.533,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-D7-Surface,Plagioselmis,292776.0345,,7/11/2018,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Regular,Chlorella,10999.854,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Regular,Eucapsis,95332.068,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZ032-Surface,Eucapsis,84657.1104,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZ032-Surface,Thalassiosira,3881710.199,,7/11/2018,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface
2018-07-11-NZS42-Regular,Chlorella,15098.4136,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Regular,Eucapsis,144966.3912,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular
2018-07-11-NZS42-Surface,Eucapsis,181085.2848,,7/11/2018,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Surface
2018-07-12-D41-Regular,Chlorella,2097.0112,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Cyclotella,12061.568,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
2018-07-12-D41-Regular,Eucapsis,37566.0288,,7/12/2018,Summer,Jul,D41,San Pablo Bay,SPB,Regular
