SampleID,Genus,Units.per.mL,,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType
2018-07-09-D16-Regular,Aphanizomenon,750.72,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Chlorella,2252.16,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Eucapsis,151270.08,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Microcystis,1126.08,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Regular,Plagioselmis,375.36,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Regular
2018-07-09-D16-Surface,Chlorella,5759.43,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Chroococcus,6761.07,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Eucapsis,89145.96,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Monoraphidium,250.41,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D16-Surface,Plagioselmis,500.82,,7/9/2018,Summer,Jul,D16,Central Delta,CED,Surface
2018-07-09-D26-Regular,Aphanizomenon,375.36,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Chlorella,1126.08,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Cocconeis,375.36,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Eucapsis,154272.96,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Microcystis,3753.6,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Mucidosphaerium,1126.08,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Regular,Ulnaria,1876.8,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Regular
2018-07-09-D26-Surface,Chlorella,2606.44,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Chroococcus,153.32,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Cyclotella,153.32,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
2018-07-09-D26-Surface,Eucapsis,61941.28,,7/9/2018,Summer,Jul,D26,Central Delta,CED,Surface
