SampleID,SampleDate,Season,Month,StationCode,Region,RegionAbbreviation,SampleType,AlgalType,Units.per.mL,BV.um3.per.mL
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Cryptophyte,375.36,118140.8064
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Cyanobacterium,153146.88,739384.128
2018-07-09-D16-Regular,2018-07-09,Summer,Jul,D16,Central Delta,CED,Regular,Green Alga,2252.16,9436.5504
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Cryptophyte,500.82,213299.238
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Cyanobacterium,95907.03,681190.3230000001
2018-07-09-D16-Surface,2018-07-09,Summer,Jul,D16,Central Delta,CED,Surface,Green Alga,6009.84,22316.5392
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Cyanobacterium,158401.91999999998,496736.4096000001
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Green Alga,2252.16,28598.678400000004
2018-07-09-D26-Regular,2018-07-09,Summer,Jul,D26,Central Delta,CED,Regular,Pennate Diatom,2252.1600000000003,616468.7424
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Centric Diatom,153.32,13972.051599999999
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Cyanobacterium,62094.6,38615.1752
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Green Alga,2606.44,29947.995600000002
2018-07-09-D26-Surface,2018-07-09,Summer,Jul,D26,Central Delta,CED,Surface,Pennate Diatom,153.32,11753.511199999999
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Centric Diatom,862.44,100819.23600000002
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Cyanobacterium,110967.28000000001,40776.1632
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Green Alga,4599.68,42317.056
2018-07-09-MD10A-Regular,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Regular,Pennate Diatom,287.48,10582.1388
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Centric Diatom,1126.83,77706.1968
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Cryptophyte,1878.0500000000002,1026012.5199
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Cyanobacterium,147239.12,104941.6779
2018-07-09-MD10A-Surface,2018-07-09,Summer,Jul,MD10A,Southern Interior Delta,SID,Surface,Green Alga,13146.35,48006.714100000005
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Centric Diatom,459.97,56475.1166
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Cryptophyte,1379.91,651805.0882
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Cyanobacterium,192267.46000000002,578858.4459
2018-07-09-P8-Regular,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Regular,Green Alga,6899.55,33462.817500000005
2018-07-09-P8-Surface,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Surface,Cyanobacterium,148741.56,384564.54240000003
2018-07-09-P8-Surface,2018-07-09,Summer,Jul,P8,Southern Interior Delta,SID,Surface,Green Alga,9014.64,31077.971400000002
2018-07-10-D10-Regular,2018-07-10,Summer,Jul,D10,Confluence,CON,Regular,Centric Diatom,574.96,52396.1048
2018-07-10-D10-Regular,2018-07-10,Summer,Jul,D10,Confluence,CON,Regular,Cryptophyte,574.96,326410.54160000006
2018-07-10-D10-Regular,2018-07-10,Summer,Jul,D10,Confluence,CON,Regular,Cyanobacterium,259306.96000000002,94281.9408
2018-07-10-D10-Surface,2018-07-10,Summer,Jul,D10,Confluence,CON,Surface,Cyanobacterium,113554.6,42587.2872
2018-07-10-D10-Surface,2018-07-10,Summer,Jul,D10,Confluence,CON,Surface,Green Alga,1437.4,13224.080000000002
2018-07-10-D8-Regular,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular,Centric Diatom,919.94,83834.13220000001
2018-07-10-D8-Regular,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular,Cryptophyte,919.94,379898.4224
2018-07-10-D8-Regular,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Regular,Cyanobacterium,378095.34,138101.3928
2018-07-10-D8-Surface,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface,Centric Diatom,255.54,47486.9982
2018-07-10-D8-Surface,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface,Cyanobacterium,107582.34,39281.6088
2018-07-10-D8-Surface,2018-07-10,Summer,Jul,D8,Grizzly.Suisun Bay,GSB,Surface,Green Alga,255.54,917.3885999999999
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Centric Diatom,919.94,112950.2332
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Cyanobacterium,600720.8200000001,218080.9764
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Green Alga,2759.82,22575.3276
2018-07-10-EZ2-Regular,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Regular,Pennate Diatom,919.94,1566299.0434
2018-07-10-EZ2-Surface,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface,Cyanobacterium,412868.68,152851.5576
2018-07-10-EZ2-Surface,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface,Green Alga,2704.38,9708.7242
2018-07-10-EZ2-Surface,2018-07-10,Summer,Jul,EZ2,Low Salinity Zone,LSZ,Surface,Pennate Diatom,901.46,86855.671
2018-07-10-EZ6-Regular,2018-07-10,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Regular,Cyanobacterium,317380.68,153875.9664
2018-07-10-EZ6-Surface,2018-07-10,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface,Cyanobacterium,359083.16000000003,131703.8904
2018-07-10-EZ6-Surface,2018-07-10,Summer,Jul,EZ6,Low Salinity Zone,LSZ,Surface,Green Alga,1502.44,5393.7596
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Centric Diatom,219.03,19960.2039
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Cyanobacterium,87612,32013.4248
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Green Alga,438.06,5033.3094
2018-07-11-D6-Regular,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Regular,Pennate Diatom,219.03,26846.5071
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Centric Diatom,459.96,2152610.5001999997
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Cryptophyte,229.98,77590.65239999999
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Cyanobacterium,96361.62,35932.07519999999
2018-07-11-D6-Surface,2018-07-11,Summer,Jul,D6,San Pablo Bay,SPB,Surface,Green Alga,459.96,3330.1104
2018-07-11-D7-Regular,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular,Cyanobacterium,135362.6,49735.899
2018-07-11-D7-Regular,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Regular,Green Alga,985.6500000000001,8062.617
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Centric Diatom,707.65,695067.983
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Cryptophyte,1415.3,292776.0345
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Cyanobacterium,285890.6,105595.533
2018-07-11-D7-Surface,2018-07-11,Summer,Jul,D7,Grizzly.Suisun Bay,GSB,Surface,Green Alga,4245.9,15242.780999999999
2018-07-11-NZ032-Regular,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular,Cyanobacterium,261525.80000000002,95332.068
2018-07-11-NZ032-Regular,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Regular,Green Alga,1971.3000000000002,10999.854000000001
2018-07-11-NZ032-Surface,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface,Centric Diatom,574.96,3881710.1992000006
2018-07-11-NZ032-Surface,2018-07-11,Summer,Jul,NZ032,Grizzly.Suisun Bay,GSB,Surface,Cyanobacterium,230558.96000000002,84657.11039999999
2018-07-11-NZS42-Regular,2018-07-11,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular,Cyanobacterium,417098.18,144966.39119999998
2018-07-11-NZS42-Regular,2018-07-11,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Regular,Green Alga,3603.44,15098.413600000002
2018-07-11-NZS42-Surface,2018-07-11,Summer,Jul,NZS42,Grizzly.Suisun Bay,GSB,Surface,Cyanobacterium,499408.84,181085.2848
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Centric Diatom,250.24,12061.568000000001
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Cyanobacterium,100096,37566.0288
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Green Alga,1000.96,6286.028800000002
2018-07-12-D41-Regular,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Regular,Pennate Diatom,250.24,5555.328
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Cryptophyte,1149.93,298836.1422
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Cyanobacterium,51108,18812.854799999997
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Green Alga,638.85,2293.4714999999997
2018-07-12-D41-Surface,2018-07-12,Summer,Jul,D41,San Pablo Bay,SPB,Surface,Pennate Diatom,127.77,14744.658
2018-07-12-D41A-Regular,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Regular,Cyanobacterium,55141.96,24101.4042
2018-07-12-D41A-Regular,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Regular,Green Alga,136.49,761.6142000000001
2018-07-12-D41A-Surface,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Surface,Centric Diatom,418.15,100711.42749999999
2018-07-12-D41A-Surface,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Surface,Cyanobacterium,166841.84999999998,62546.87699999999
2018-07-12-D41A-Surface,2018-07-12,Summer,Jul,D41A,San Pablo Bay,SPB,Surface,Green Alga,1254.4499999999998,19569.42
2018-07-12-NZ002-Regular,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular,Centric Diatom,199.99,196434.1778
2018-07-12-NZ002-Regular,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular,Cyanobacterium,78596.07,28474.5762
2018-07-12-NZ002-Regular,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Regular,Green Alga,1999.9,9699.515000000001
2018-07-12-NZ002-Surface,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface,Centric Diatom,574.96,10959643.162
2018-07-12-NZ002-Surface,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface,Cyanobacterium,115854.44,42173.316
2018-07-12-NZ002-Surface,2018-07-12,Summer,Jul,NZ002,San Pablo Bay,SPB,Surface,Green Alga,287.48,1032.0532
2018-07-12-NZ004-Regular,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular,Cyanobacterium,110663.12999999999,40179.645
2018-07-12-NZ004-Regular,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Regular,Green Alga,1352.85,36719.05469999999
2018-07-12-NZ004-Surface,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface,Centric Diatom,836.3,325145.07700000005
2018-07-12-NZ004-Surface,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface,Cyanobacterium,170187.05,62998.47899999999
2018-07-12-NZ004-Surface,2018-07-12,Summer,Jul,NZ004,San Pablo Bay,SPB,Surface,Green Alga,418.15,4804.5435
2018-07-12-NZ325-Regular,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular,Cryptophyte,264.96,114025.536
2018-07-12-NZ325-Regular,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Regular,Cyanobacterium,106513.92,40348.108799999995
2018-07-12-NZ325-Surface,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface,Cyanobacterium,127492.2,46013.094
2018-07-12-NZ325-Surface,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface,Green Alga,2575.6,9246.403999999999
2018-07-12-NZ325-Surface,2018-07-12,Summer,Jul,NZ325,San Pablo Bay,SPB,Surface,Pennate Diatom,321.95,73066.55249999999
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Centric Diatom,12879.16,12029057.2451
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Cyanobacterium,162829.38,244579.8481
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Green Alga,5519.64,240463.1166
2018-07-16-C10A-Regular,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Regular,Pennate Diatom,2299.8500000000004,1787526.2146
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Centric Diatom,16482.33,13166131.2012
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Chrysophyte,383.31,19533.477600000002
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Cyanobacterium,143357.94,294765.39
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Green Alga,10349.369999999999,188040.38670000003
2018-07-16-C10A-Surface,2018-07-16,Summer,Jul,C10A,Southern Interior Delta,SID,Surface,Pennate Diatom,3066.48,1653994.1493000002
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Centric Diatom,328.55,322708.381
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Cyanobacterium,139633.75,1371118.002
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Green Alga,4271.1500000000005,37303.566999999995
2018-07-16-C9-Regular,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Regular,Pennate Diatom,328.55,29237.6645
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Centric Diatom,191.65,201577.47
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Cyanobacterium,77809.9,1203780.4810000001
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Green Alga,2491.4500000000003,42753.28200000001
2018-07-16-C9-Surface,2018-07-16,Summer,Jul,C9,Southern Interior Delta,SID,Surface,Pennate Diatom,191.65,15326.2505
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Centric Diatom,627.24,66430.9884
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Cyanobacterium,82795.68000000001,46378.1256
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Green Alga,418.16,4804.6584
2018-07-17-C3A-Regular,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Regular,Pennate Diatom,627.24,314889.1156
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Centric Diatom,135.29,121754.2355
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Cyanobacterium,54116,20261.030399999996
2018-07-17-C3A-Surface,2018-07-17,Summer,Jul,C3A,Northern Interior Delta,NID,Surface,Pennate Diatom,541.16,109626.83989999999
2018-07-18-D22-Regular,2018-07-18,Summer,Jul,D22,Confluence,CON,Regular,Centric Diatom,900.86,82095.3718
2018-07-18-D22-Regular,2018-07-18,Summer,Jul,D22,Confluence,CON,Regular,Cyanobacterium,237376.61000000002,85455.5796
2018-07-18-D22-Regular,2018-07-18,Summer,Jul,D22,Confluence,CON,Regular,Pennate Diatom,1351.29,35133.54
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Centric Diatom,1802.92,639513.7532
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Cryptophyte,901.46,107688.41159999999
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Cyanobacterium,385824.88,155447.7624
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Green Alga,1802.92,6472.4828
2018-07-18-D22-Surface,2018-07-18,Summer,Jul,D22,Confluence,CON,Surface,Pennate Diatom,901.46,218856.45880000002
2018-07-18-D4-Regular,2018-07-18,Summer,Jul,D4,Confluence,CON,Regular,Centric Diatom,1533.24,188251.2072
2018-07-18-D4-Regular,2018-07-18,Summer,Jul,D4,Confluence,CON,Regular,Cyanobacterium,325813.5,229311.37439999997
2018-07-18-D4-Surface,2018-07-18,Summer,Jul,D4,Confluence,CON,Surface,Cyanobacterium,241483.2,89210.7936
